slot_id,start_time,end_time,price_yuan_per_kwh
1,00:00,00:10,0.4248
2,00:10,00:20,0.4245
3,00:20,00:30,0.4269
4,00:30,00:40,0.4272
5,00:40,00:50,0.4271
6,00:50,01:00,0.4285
7,01:00,01:10,0.4311
8,01:10,01:20,0.4302
9,01:20,01:30,0.4279
10,01:30,01:40,0.4312
11,01:40,01:50,0.4333
12,01:50,02:00,0.4311
13,02:00,02:10,0.4293
14,02:10,02:20,0.4324
15,02:20,02:30,0.4367
16,02:30,02:40,0.4348
17,02:40,02:50,0.4335
18,02:50,03:00,0.4357
19,03:00,03:10,0.4374
20,03:10,03:20,0.4371
21,03:20,03:30,0.4356
22,03:30,03:40,0.4353
23,03:40,03:50,0.436
24,03:50,04:00,0.4378
25,04:00,04:10,0.4401
26,04:10,04:20,0.4389
27,04:20,04:30,0.4364
28,04:30,04:40,0.4393
29,04:40,04:50,0.4422
30,04:50,05:00,0.4395
31,05:00,05:10,0.4333
32,05:10,05:20,0.4439
33,05:20,05:30,0.4301
34,05:30,05:40,0.3713
35,05:40,05:50,0.5708
36,05:50,06:00,0.9099
37,06:00,06:10,0.9368
38,06:10,06:20,0.8758
39,06:20,06:30,0.8759
40,06:30,06:40,0.8601
41,06:40,06:50,0.8442
42,06:50,07:00,0.8334
43,07:00,07:10,0.8092
44,07:10,07:20,0.7972
45,07:20,07:30,0.7644
46,07:30,07:40,0.6899
47,07:40,07:50,0.86
48,07:50,08:00,1.1617
49,08:00,08:10,1.1683
50,08:10,08:20,1.0956
51,08:20,08:30,1.0849
52,08:30,08:40,1.061
53,08:40,08:50,1.043
54,08:50,09:00,1.036
55,09:00,09:10,1.0147
56,09:10,09:20,0.9922
57,09:20,09:30,0.97
58,09:30,09:40,0.9422
59,09:40,09:50,0.9569
60,09:50,10:00,0.9977
61,10:00,10:10,0.9919
62,10:10,10:20,0.9588
63,10:20,10:30,0.9549
64,10:30,10:40,0.9839
65,10:40,10:50,0.799
66,10:50,11:00,0.5025
67,11:00,11:10,0.4662
68,11:10,11:20,0.5007
69,11:20,11:30,0.4827
70,11:30,11:40,0.4785
71,11:40,11:50,0.4662
72,11:50,12:00,0.4432
73,12:00,12:10,0.4411
74,12:10,12:20,0.4551
75,12:20,12:30,0.4463
76,12:30,12:40,0.4113
77,12:40,12:50,0.5682
78,12:50,13:00,0.8279
79,13:00,13:10,0.8636
80,13:10,13:20,0.8416
81,13:20,13:30,0.8618
82,13:30,13:40,0.8623
83,13:40,13:50,0.9026
84,13:50,14:00,0.9754
85,14:00,14:10,1.0002
86,14:10,14:20,0.9978
87,14:20,14:30,1.0271
88,14:30,14:40,1.0906
89,14:40,14:50,0.9376
90,14:50,15:00,0.6694
91,15:00,15:10,0.66
92,15:10,15:20,0.7217
93,15:20,15:30,0.7308
94,15:30,15:40,0.7534
95,15:40,15:50,0.7823
96,15:50,16:00,0.8055
97,16:00,16:10,0.8271
98,16:10,16:20,0.8519
99,16:20,16:30,0.8791
100,16:30,16:40,0.9024
101,16:40,16:50,0.9163
102,16:50,17:00,0.9264
103,17:00,17:10,0.9462
104,17:10,17:20,0.9742
105,17:20,17:30,0.9862
106,17:30,17:40,0.976
107,17:40,17:50,1.0742
108,17:50,18:00,1.2313
109,18:00,18:10,1.2561
110,18:10,18:20,1.2447
111,18:20,18:30,1.2545
112,18:30,18:40,1.2522
113,18:40,18:50,1.2881
114,18:50,19:00,1.3466
115,19:00,19:10,1.3523
116,19:10,19:20,1.3445
117,19:20,19:30,1.3483
118,19:30,19:40,1.349
119,19:40,19:50,1.3473
120,19:50,20:00,1.3482
121,20:00,20:10,1.3513
122,20:10,20:20,1.34
123,20:20,20:30,1.3489
124,20:30,20:40,1.3952
125,20:40,20:50,1.2226
126,20:50,21:00,0.9332
127,21:00,21:10,0.9068
128,21:10,21:20,0.9371
129,21:20,21:30,0.9371
130,21:30,21:40,0.9871
131,21:40,21:50,0.7764
132,21:50,22:00,0.4209
133,22:00,22:10,0.3859
134,22:10,22:20,0.4368
135,22:20,22:30,0.4198
136,22:30,22:40,0.4186
137,22:40,22:50,0.4241
138,22:50,23:00,0.4237
139,23:00,23:10,0.4248
140,23:10,23:20,0.424
141,23:20,23:30,0.422
142,23:30,23:40,0.424
143,23:40,23:50,0.4271
144,23:50,24:00,0.4276
