source_file,source_sheet,source_cell,original_value,new_value,reason
附件3.xlsx,Sheet1,A3,"""""",2025-1-1,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A4,"""""",2025-1-1,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A5,"""""",2025-1-1,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A7,"""""",2025-1-2,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A8,"""""",2025-1-2,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A9,"""""",2025-1-2,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A11,"""""",2025-1-3,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A12,"""""",2025-1-3,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A13,"""""",2025-1-3,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A15,"""""",2025-1-4,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A16,"""""",2025-1-4,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A17,"""""",2025-1-4,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A19,"""""",2025-1-5,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A20,"""""",2025-1-5,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A21,"""""",2025-1-5,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A23,"""""",2025-1-6,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A24,"""""",2025-1-6,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A25,"""""",2025-1-6,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A27,"""""",2025-1-7,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A28,"""""",2025-1-7,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A29,"""""",2025-1-7,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A31,"""""",2025-1-8,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A32,"""""",2025-1-8,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A33,"""""",2025-1-8,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A35,"""""",2025-1-9,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A36,"""""",2025-1-9,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A37,"""""",2025-1-9,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A39,"""""",2025-1-10,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A40,"""""",2025-1-10,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A41,"""""",2025-1-10,同日后续发布行空日期按原行序向下填充；未修改功率
附件3.xlsx,Sheet1,A43,"""""",2025-1-11,同日后续发布行空日期按原行序向下填充；未修改功率
