issue_time,target_time,horizon_h,pv_forecast_kw,forecast_interval_count,forecast_hour_kwh,actual_interval_count,actual_hour_kwh,comparison_status,interval_start,target_business_date,issue_hour,lead_block,error_kwh,error_available_time,actual_positive_pv
2025-01-01T00:00:00,2025-01-01T01:00:00,1,0.0,0,,6,0.0,missing_forecast,2025-01-01T00:00:00,2025-01-01,0,1,,,False
2025-01-01T00:00:00,2025-01-01T02:00:00,2,0.0,6,0.0,6,0.0,comparable,2025-01-01T01:00:00,2025-01-01,0,1,0.0,2025-01-01T02:00:00,False
2025-01-01T00:00:00,2025-01-01T03:00:00,3,0.0,6,0.0,6,0.0,comparable,2025-01-01T02:00:00,2025-01-01,0,1,0.0,2025-01-01T03:00:00,False
2025-01-01T00:00:00,2025-01-01T04:00:00,4,0.0,6,0.0,6,0.0,comparable,2025-01-01T03:00:00,2025-01-01,0,1,0.0,2025-01-01T04:00:00,False
2025-01-01T00:00:00,2025-01-01T05:00:00,5,0.0,6,0.0,6,0.0,comparable,2025-01-01T04:00:00,2025-01-01,0,1,0.0,2025-01-01T05:00:00,False
2025-01-01T00:00:00,2025-01-01T06:00:00,6,0.0,6,0.0,6,0.005333333333333333,comparable,2025-01-01T05:00:00,2025-01-01,0,1,-0.005333333333333333,2025-01-01T06:00:00,True
2025-01-01T00:00:00,2025-01-01T07:00:00,7,3.1173,6,1.55865,6,1.5496833333333333,comparable,2025-01-01T06:00:00,2025-01-01,0,2,0.00896666666666679,2025-01-01T07:00:00,True
2025-01-01T00:00:00,2025-01-01T08:00:00,8,1603.3305,6,803.2239000000001,6,845.5100833333333,comparable,2025-01-01T07:00:00,2025-01-01,0,2,-42.28618333333327,2025-01-01T08:00:00,True
2025-01-01T00:00:00,2025-01-01T09:00:00,9,3409.0929,6,2506.2117,6,2658.6947333333333,comparable,2025-01-01T08:00:00,2025-01-01,0,2,-152.48303333333342,2025-01-01T09:00:00,True
2025-01-01T00:00:00,2025-01-01T10:00:00,10,4871.2875,6,4140.1902,6,4248.687683333334,comparable,2025-01-01T09:00:00,2025-01-01,0,2,-108.49748333333355,2025-01-01T10:00:00,True
2025-01-01T00:00:00,2025-01-01T11:00:00,11,5785.111,6,5328.199250000001,6,5353.411766666666,comparable,2025-01-01T10:00:00,2025-01-01,0,2,-25.21251666666558,2025-01-01T11:00:00,True
2025-01-01T00:00:00,2025-01-01T12:00:00,12,5737.1717,6,5761.14135,6,5305.20105,comparable,2025-01-01T11:00:00,2025-01-01,0,2,455.9403000000002,2025-01-01T12:00:00,True
2025-01-01T00:00:00,2025-01-01T13:00:00,13,6047.3964,6,5892.28405,6,5264.49645,comparable,2025-01-01T12:00:00,2025-01-01,0,3,627.7876000000006,2025-01-01T13:00:00,True
2025-01-01T00:00:00,2025-01-01T14:00:00,14,4687.1165,6,5367.25645,6,4898.815683333333,comparable,2025-01-01T13:00:00,2025-01-01,0,3,468.4407666666666,2025-01-01T14:00:00,True
2025-01-01T00:00:00,2025-01-01T15:00:00,15,3572.6529,6,4129.8847000000005,6,3768.4540500000003,comparable,2025-01-01T14:00:00,2025-01-01,0,3,361.43065000000024,2025-01-01T15:00:00,True
2025-01-01T00:00:00,2025-01-01T16:00:00,16,1629.9964,6,2601.32465,6,2313.699,comparable,2025-01-01T15:00:00,2025-01-01,0,3,287.62564999999995,2025-01-01T16:00:00,True
2025-01-01T00:00:00,2025-01-01T17:00:00,17,3.1956,6,816.596,6,591.3871166666667,comparable,2025-01-01T16:00:00,2025-01-01,0,3,225.20888333333335,2025-01-01T17:00:00,True
2025-01-01T00:00:00,2025-01-01T18:00:00,18,0.0,6,1.5978,6,1.06425,comparable,2025-01-01T17:00:00,2025-01-01,0,3,0.5335500000000002,2025-01-01T18:00:00,True
2025-01-01T00:00:00,2025-01-01T19:00:00,19,0.0,6,0.0,6,0.005483333333333334,comparable,2025-01-01T18:00:00,2025-01-01,0,4,-0.005483333333333334,2025-01-01T19:00:00,True
2025-01-01T00:00:00,2025-01-01T20:00:00,20,0.0,6,0.0,6,0.0,comparable,2025-01-01T19:00:00,2025-01-01,0,4,0.0,2025-01-01T20:00:00,False
