date,interval_start,interval_end,intervals,emergency_kwh
2025-02-02,2025-02-02 20:30:00,2025-02-02 20:40:00,1,121.72045059588879
2025-02-03,2025-02-03 20:30:00,2025-02-03 20:40:00,1,305.82837208113415
2025-02-05,2025-02-05 20:30:00,2025-02-05 20:40:00,1,305.0074673844077
2025-02-07,2025-02-07 20:50:00,2025-02-07 21:10:00,2,44.89061695173494
2025-02-07,2025-02-07 21:30:00,2025-02-07 21:40:00,1,54.24337893856659
2025-02-08,2025-02-08 08:10:00,2025-02-08 08:40:00,3,106.23465248239565
2025-02-08,2025-02-08 20:20:00,2025-02-08 20:50:00,3,1123.1568914389848
2025-02-08,2025-02-08 21:30:00,2025-02-08 21:40:00,1,174.95568888288807
2025-02-09,2025-02-09 20:20:00,2025-02-09 21:10:00,5,1096.2767727914106
2025-02-09,2025-02-09 21:20:00,2025-02-09 21:40:00,2,36.952298756941374
2025-02-10,2025-02-10 05:50:00,2025-02-10 06:00:00,1,23.44464797936098
2025-02-10,2025-02-10 20:30:00,2025-02-10 21:00:00,3,344.9272724583438
2025-02-10,2025-02-10 21:20:00,2025-02-10 21:50:00,3,59.713406366986604
2025-02-11,2025-02-11 06:00:00,2025-02-11 06:10:00,1,24.43077145049267
2025-02-11,2025-02-11 10:20:00,2025-02-11 10:40:00,2,70.82517119773327
2025-02-11,2025-02-11 20:30:00,2025-02-11 21:40:00,7,450.4993668612113
2025-02-12,2025-02-12 06:00:00,2025-02-12 06:10:00,1,5.3520333848880455
2025-02-12,2025-02-12 20:30:00,2025-02-12 21:50:00,8,420.81401282959024
2025-02-13,2025-02-13 06:20:00,2025-02-13 06:30:00,1,45.156666666666524
2025-02-13,2025-02-13 20:20:00,2025-02-13 21:10:00,5,884.2039187580756
2025-02-13,2025-02-13 21:30:00,2025-02-13 21:40:00,1,17.913921874438756
2025-02-14,2025-02-14 07:50:00,2025-02-14 08:30:00,4,218.4078584262457
2025-02-14,2025-02-14 20:30:00,2025-02-14 20:50:00,2,749.5480886604502
2025-02-14,2025-02-14 21:20:00,2025-02-14 21:40:00,2,206.20034198919393
2025-02-15,2025-02-15 07:30:00,2025-02-15 08:20:00,5,709.6027832731602
2025-02-15,2025-02-15 20:40:00,2025-02-15 21:50:00,7,621.4136481702762
2025-02-16,2025-02-16 05:50:00,2025-02-16 06:10:00,2,62.646638581022216
2025-02-16,2025-02-16 20:30:00,2025-02-16 20:40:00,1,528.9452964835265
2025-02-16,2025-02-16 21:40:00,2025-02-16 21:50:00,1,14.13125972154271
2025-02-17,2025-02-17 05:50:00,2025-02-17 06:10:00,2,27.79534979245102
2025-02-17,2025-02-17 20:20:00,2025-02-17 20:40:00,2,944.023313538799
2025-02-17,2025-02-17 21:30:00,2025-02-17 21:40:00,1,12.904839922944824
2025-02-18,2025-02-18 05:50:00,2025-02-18 06:10:00,2,49.377838244163854
2025-02-18,2025-02-18 06:20:00,2025-02-18 06:30:00,1,10.793333333333294
2025-02-18,2025-02-18 20:00:00,2025-02-18 20:40:00,4,2458.202113186748
2025-02-19,2025-02-19 05:50:00,2025-02-19 06:10:00,2,36.80268304140941
2025-02-19,2025-02-19 06:20:00,2025-02-19 06:30:00,1,77.96624999999995
2025-02-19,2025-02-19 09:50:00,2025-02-19 10:40:00,5,287.0281474890488
2025-02-19,2025-02-19 20:00:00,2025-02-19 21:50:00,11,2559.217596497216
2025-02-20,2025-02-20 05:50:00,2025-02-20 06:10:00,2,68.22754869606433
2025-02-20,2025-02-20 20:20:00,2025-02-20 21:20:00,6,1054.8566786104523
2025-02-21,2025-02-21 07:40:00,2025-02-21 08:30:00,5,460.3896612562467
2025-02-21,2025-02-21 20:40:00,2025-02-21 21:20:00,4,464.9077105092655
2025-02-21,2025-02-21 21:30:00,2025-02-21 21:50:00,2,177.7891328679756
2025-02-22,2025-02-22 07:30:00,2025-02-22 08:20:00,5,646.8616812721899
2025-02-22,2025-02-22 20:30:00,2025-02-22 20:50:00,2,488.5857242882702
2025-02-22,2025-02-22 21:30:00,2025-02-22 21:50:00,2,97.73141510730082
2025-02-23,2025-02-23 06:00:00,2025-02-23 06:20:00,2,43.78397642080972
2025-02-23,2025-02-23 10:10:00,2025-02-23 10:40:00,3,145.88511051133037
2025-02-23,2025-02-23 20:30:00,2025-02-23 20:40:00,1,469.13941797358734
2025-02-23,2025-02-23 21:00:00,2025-02-23 21:30:00,3,54.7538902534116
2025-02-23,2025-02-23 21:40:00,2025-02-23 21:50:00,1,4.591248589473503
2025-02-24,2025-02-24 06:00:00,2025-02-24 06:20:00,2,75.6442428956451
2025-02-24,2025-02-24 20:30:00,2025-02-24 21:00:00,3,389.99165101633724
2025-02-24,2025-02-24 21:30:00,2025-02-24 21:50:00,2,26.895582056841544
2025-02-25,2025-02-25 05:50:00,2025-02-25 06:30:00,4,79.34482841014835
2025-02-25,2025-02-25 20:30:00,2025-02-25 21:50:00,8,543.5090692515907
2025-02-26,2025-02-26 06:00:00,2025-02-26 06:30:00,3,58.493384222386226
2025-02-26,2025-02-26 09:30:00,2025-02-26 10:00:00,3,129.04261232307766
2025-02-26,2025-02-26 19:50:00,2025-02-26 20:50:00,6,3348.5338192354375
2025-02-27,2025-02-27 05:50:00,2025-02-27 06:20:00,3,46.53028519716554
2025-02-27,2025-02-27 10:00:00,2025-02-27 10:20:00,2,69.71619361870498
2025-02-27,2025-02-27 20:10:00,2025-02-27 20:50:00,4,2019.1209681494674
2025-02-27,2025-02-27 21:20:00,2025-02-27 21:40:00,2,46.16766572718211
2025-02-28,2025-02-28 07:20:00,2025-02-28 08:10:00,5,782.5224741799336
2025-02-28,2025-02-28 20:40:00,2025-02-28 21:50:00,7,433.06472941783034
2025-03-01,2025-03-01 20:40:00,2025-03-01 21:20:00,4,252.9511134880268
2025-03-01,2025-03-01 21:30:00,2025-03-01 21:50:00,2,94.23978222528122
2025-03-02,2025-03-02 20:30:00,2025-03-02 21:10:00,4,431.33283197154765
2025-03-02,2025-03-02 21:20:00,2025-03-02 21:40:00,2,69.76767191359765
2025-03-03,2025-03-03 20:20:00,2025-03-03 21:40:00,8,1380.1217249706044
2025-03-04,2025-03-04 06:00:00,2025-03-04 06:10:00,1,0.6247333333333245
2025-03-04,2025-03-04 20:20:00,2025-03-04 21:10:00,5,1238.679107759347
2025-03-04,2025-03-04 21:20:00,2025-03-04 21:50:00,3,19.222194170148462
2025-03-05,2025-03-05 05:50:00,2025-03-05 06:10:00,2,6.6182999999999765
2025-03-05,2025-03-05 20:30:00,2025-03-05 20:50:00,2,494.89770808240223
2025-03-05,2025-03-05 21:10:00,2025-03-05 21:30:00,2,16.20895850266497
2025-03-06,2025-03-06 20:30:00,2025-03-06 21:10:00,4,561.3603572361909
2025-03-07,2025-03-07 21:30:00,2025-03-07 21:50:00,2,91.25632124652216
2025-03-08,2025-03-08 07:00:00,2025-03-08 08:00:00,6,777.8457806580118
2025-03-08,2025-03-08 20:40:00,2025-03-08 20:50:00,1,154.44048876610253
2025-03-08,2025-03-08 21:30:00,2025-03-08 21:50:00,2,132.74753733022044
2025-03-09,2025-03-09 20:30:00,2025-03-09 20:40:00,1,441.59061476571105
2025-03-09,2025-03-09 20:50:00,2025-03-09 21:00:00,1,2.5946627884568443
2025-03-10,2025-03-10 08:50:00,2025-03-10 10:20:00,9,1489.0032917426051
2025-03-10,2025-03-10 20:20:00,2025-03-10 20:40:00,2,1099.23475172204
2025-03-11,2025-03-11 08:40:00,2025-03-11 09:30:00,5,774.0674964170476
2025-03-11,2025-03-11 19:20:00,2025-03-11 20:40:00,8,5324.504057158892
2025-03-11,2025-03-11 21:20:00,2025-03-11 21:30:00,1,11.471189839548014
2025-03-12,2025-03-12 20:30:00,2025-03-12 20:40:00,1,212.67185342677016
2025-03-12,2025-03-12 21:00:00,2025-03-12 21:10:00,1,8.93237454455393
2025-03-13,2025-03-13 20:10:00,2025-03-13 20:50:00,4,1635.3002930612777
2025-03-14,2025-03-14 06:50:00,2025-03-14 07:50:00,6,719.6867810817191
2025-03-14,2025-03-14 20:40:00,2025-03-14 20:50:00,1,448.45722111036105
