date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,emergency_intervals
2025-02-01,42307.706433448344,42307.706433448344,83.30468526339317,21611.485099557223,0.0,0.0,21611.485099557223,470.4393104464916,22081.924410003714,19776.758620453704,16071.794366028073,4307.870930952773,1439.6051659700954,2868.265764982678,7268.4231640740745,7209.956626895661,4
2025-02-02,88638.28019093875,88638.28019093875,164.77252824356572,55598.434438379576,0.0,0.0,55598.434438379576,1149.4531570271145,56747.88759540669,22676.537900088282,18126.446842081372,5896.683711175396,5837.509644508729,59.174066666666704,7209.956626895661,7478.34424577359,1
2025-02-03,87331.54291087718,87331.54291087718,516.3713980510875,54756.01743870616,0.0,0.0,54756.01743870616,3602.206872804386,58358.224311510545,23210.235687886023,18694.927052903287,3115.689173945532,3115.689173945532,0.0,7478.34424577359,7595.415194978479,1
2025-02-04,88221.70007331794,88221.70007331794,43.15123681178363,55386.25103075451,0.0,0.0,55386.25103075451,294.5444653234482,55680.79549607796,24460.779565032262,19772.037704856222,2381.245499953685,2381.245499953685,0.0,7595.415194978479,7641.186020333942,2
2025-02-05,86701.57841775607,86701.57841775607,546.6503496225079,54246.19615561995,0.0,0.0,54246.19615561995,3813.432838966615,58059.628994586565,24116.667035636383,19413.327499387342,1796.4622477962043,1796.4622477962043,0.0,7641.186020333942,7775.822464198527,1
2025-02-06,87759.19766533886,87759.19766533886,48.90018853626198,55266.392318733735,0.0,0.0,55266.392318733735,292.8298798489157,55559.22219858265,23261.11940784308,18800.992642809048,3076.9138721744084,3076.9138721744084,0.0,7775.822464198527,7820.838105913923,2
2025-02-07,40959.55575617573,40959.55575617573,191.78422101640723,20965.04688684503,0.0,0.0,20965.04688684503,969.6789104222202,21934.725797267252,19984.891616078832,16345.864145695226,5706.632840141864,1499.5207076863323,4207.1121324555315,7820.838105913923,7645.169287390173,5
2025-02-08,35997.41569033741,35997.41569033741,652.6059127044637,18417.73977619044,0.0,0.0,18417.73977619044,3754.365880546793,22172.105656737232,19539.426594630277,15940.188087325248,1473.620379070179,364.77658451740876,1108.8437945527703,7645.169287390173,7519.333125529364,2
2025-02-09,81991.53242819199,81991.53242819199,2396.6759048466533,50841.31987130797,0.0,0.0,50841.31987130797,15050.941373848525,65892.2612451565,23438.736505876197,19026.861900003776,420.91776049954865,420.91776049954865,0.0,7519.333125529364,7473.2383141470755,12
2025-02-10,83462.16280896994,83462.16280896994,427.0376188389562,52074.667861697846,0.0,0.0,52074.667861697846,2700.548486336158,54775.216348034,21342.036498316516,17498.066458134297,5718.592804293348,5390.468104293348,328.1247000000003,7473.2383141470755,7238.775098038282,7
2025-02-11,81532.70817946455,81532.70817946455,859.0662439027142,50580.36049913658,0.0,0.0,50580.36049913658,5601.654540278741,56182.01503941532,23205.007714317486,18881.211007917693,2847.3805836341417,2767.6056033275286,79.77498030661349,7238.775098038282,7144.158698793248,8
2025-02-12,81207.18021854054,81207.18021854054,745.0731625765783,50392.80854515278,0.0,0.0,50392.80854515278,4811.766330091917,55204.5748752447,22939.730300451414,18692.908272994697,2438.6952203270603,2303.965310296094,134.72991003096638,7144.158698793248,7020.017888094299,9
2025-02-13,80691.8711688542,80691.8711688542,501.40582846929766,50048.261999609254,0.0,0.0,50048.261999609254,3330.876634695462,53379.13863430471,21115.190643561982,17122.226810357915,5870.834147452759,5473.309967688087,397.5241797646713,7020.017888094299,6998.99301134685,8
2025-02-14,34143.13614192607,34143.13614192607,1436.813546832535,17567.299230655,0.0,0.0,17567.299230655,7694.150247744422,25261.449478399423,18333.734740182208,15147.464186072686,2591.8773179824166,451.2436679824182,2140.6336499999984,6998.99301134685,6668.8385152078545,9
2025-02-15,33646.438354081074,33646.438354081074,1589.3448499862925,17217.261355158378,0.0,0.0,17217.261355158378,8213.305246586511,25430.56660174489,17806.85380653453,14782.17749096577,2931.0157884986043,241.87992183193825,2689.135866666666,6668.8385152078545,6270.365284460298,13
2025-02-16,78094.44016154745,78094.44016154745,1934.5876829612077,48029.14930053959,0.0,0.0,48029.14930053959,12394.81231415864,60423.96161469823,22924.94885333572,18623.730366543918,350.4302577168427,350.4302577168427,0.0,6270.365284460298,6209.785511858098,8
2025-02-17,77316.95865064622,77316.95865064622,911.117587253624,47506.90190724575,0.0,0.0,47506.90190724575,6150.686599151035,53657.58850639679,21309.517243166927,17443.477695681067,3178.1735237473263,2531.4744904139925,646.6990333333338,6209.785511858098,6006.709146618265,5
2025-02-18,76825.39197653686,76825.39197653686,883.845906758564,47287.353767434804,0.0,0.0,47287.353767434804,5941.417399091468,53228.771166526276,22181.930248904428,18068.53241356822,1504.452264625885,1465.562070592964,38.890194032920945,6006.709146618265,5894.299244445333,5
