grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,rule,initial_energy_kwh,final_energy_kwh,emergency_intervals,solves,solver_seconds,max_mip_gap,policy,group,inventory_adjusted_cost_yuan,gate_decisions,accepted_updates,accepted_change_kwh,baseline,saving_yuan,saving_percent,march_selected
16688736.05792652,16821022.016692676,115781.78323601186,10094556.493423373,822188.6978971309,-146502.77772273708,10770242.413597766,667892.8285192519,11438135.242117018,5582355.286411214,4521970.895028875,1177427.2521130147,226204.49388916374,951222.758223851,275,39600,A,7465.440572772747,7173.092755226488,1267,1100,23.721556250049616,6.621050615877101e-16,pv_raw,pv,11438336.838594172,0,0,0.0,pv_raw,0.0,0.0,False
16547654.604741823,16886058.84728934,107231.28806624858,9995377.675117679,901126.0845712575,-112986.26043097462,10783517.499257963,608471.2566038698,11391988.755861834,5650951.545765405,4577586.24742762,1220932.680584471,267692.23994396307,953240.440640508,275,39600,A,7465.440572772747,7114.890175392208,1200,1100,23.15704420700058,4.152030273860526e-16,pv_bias,pv,11392230.487528482,0,0,0.0,pv_raw,46146.486255183816,0.403444139087158,True
16225376.621996004,16225376.621996004,676738.3894571092,9832801.577726176,0.0,0.0,9832801.577726176,3917565.950172662,13750367.527898837,5263882.531812216,4262421.164680857,1201661.487888422,243327.110274876,958334.3776135461,275,39600,A,1252.8578340593256,2723.6201529907166,3865,275,6.792393927920784,2.757153279003857e-16,risk_none,risk,13749353.323295854,0,0,0.0,risk_none,0.0,0.0,False
16225377.189387042,16225377.189387042,676735.9705795337,9832801.71862854,0.0,0.0,9832801.71862854,3917560.7786124055,13750362.497240946,5263872.78714622,4262413.2715014005,1201661.487888422,243444.46716876165,958217.0207196602,275,39600,A,1252.8578340593256,2723.6201529907166,3865,275,6.990755674014508,2.4198491050559263e-16,risk_fixed,risk,13749348.292637963,0,0,0.0,risk_none,5.030657891184092,3.658562493676717e-05,True
16225377.189387042,16225377.189387042,676735.9705795338,9832801.71862854,0.0,0.0,9832801.71862854,3917560.7786124055,13750362.497240946,5263872.78714622,4262413.2715014005,1201661.487888422,243444.46716876165,958217.0207196602,275,39600,A,1252.8578340593256,2723.6201529907166,3865,275,6.836656953018974,2.4198491050559263e-16,risk_g05,risk,13749348.292637963,0,0,0.0,risk_none,5.030657891184092,3.658562493676717e-05,False
16225367.24115743,16225367.24115743,676735.9705795338,9832804.387057878,0.0,0.0,9832804.387057878,3917560.7786124055,13750365.165670283,5263820.428042995,4262370.860627788,1201661.487888422,243396.14255450747,958265.3453339145,275,39600,A,1252.8578340593256,2723.6201529907166,3865,275,6.966302507011278,2.757153279003857e-16,risk_g10,risk,13749350.9610673,0,0,0.0,risk_none,2.3622285537421703,1.7179384834254954e-05,False
16688669.214573514,16820959.47382404,115748.10300040434,10094544.912965454,822186.0751328389,-146500.2139150037,10770230.774183288,667821.3934792805,11438052.167662568,5581932.786666751,4521706.452574242,1177489.086298599,226260.63416836123,951228.4521302377,275,39600,A,7465.440572772747,7086.667934802389,1266,1100,24.779344740047236,6.754679561182053e-16,gate_paid,gate,11438313.360751329,825,825,1490133.300103054,gate_paid,0.0,0.0,True
16688619.69596317,16870172.25377971,119018.24257248058,10094523.766112983,788839.2858399848,-123500.37773771056,10759862.674215259,680469.48353488,11440332.157750139,5581287.280348219,4521178.970727794,1230090.0302984344,265740.1630365899,964349.8672618445,275,39600,A,7465.440572772747,7091.803188621104,1295,1100,24.14142149798863,6.833188711771049e-16,gate_q50,gate,11440589.809683409,825,651,1338990.8807370383,gate_paid,-2279.9900875706226,-0.0199333772407208,False
16688348.076431332,17153338.202240996,145217.44823646382,10094401.42099899,704810.5489745544,-31179.52496698185,10768032.445006562,805598.4489783929,11573630.893984957,5586944.424065786,4525775.528731704,1538394.5987100455,477236.03211356787,1061158.5665964775,275,39600,A,7465.440572772747,7075.945863420762,1489,1100,24.625900044076843,9.43362553588011e-16,gate_q75,gate,11573899.480772896,825,357,737456.4399403195,gate_paid,-135578.72632238828,-1.1853305469762914,False
16677070.107950743,16677070.107950743,507500.07039540046,10090345.79798419,0.0,0.0,10090345.79798419,3149185.683368242,13239531.481352434,5428863.720630417,4400167.0347016705,1456881.3359840638,431647.10697960097,1025234.229004463,275,39600,A,7465.440572772747,4368.306138292007,2317,275,7.022791378047259,2.6394845395290524e-16,gate_frozen,gate,13241667.195572928,0,0,0.0,gate_paid,-1801479.3136898652,-15.749878452058221,False
16677070.107950743,16677070.107950743,507500.07039540046,10090345.79798419,0.0,0.0,10090345.79798419,3149185.683368242,13239531.481352434,5428863.720630417,4400167.0347016705,1456881.3359840638,431647.10697960097,1025234.229004463,275,39600,A,7465.440572772747,4368.306138292007,2317,1100,24.93693590087787,1.6677455043413236e-15,gate_info_frozen,gate,13241667.195572928,0,0,0.0,gate_paid,-1801479.3136898652,-15.749878452058221,False
