date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-06-21,0,259.79076417704346,2107.5989840474367,240
2025-06-21,240,426.7191120975875,4410.491723519911,480
2025-06-21,480,10201.60474836054,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,97.74453983160492,5767.452020770802,1200
2025-06-21,1200,8238.391516544412,2545.130302464578,1440
2025-09-23,0,4528.352906179477,200.49179013872242,240
2025-09-23,240,1027.4537488697893,6648.394087748743,480
2025-09-23,480,5599.96995230348,1896.6157166666667,720
2025-09-23,720,5436.557238840227,443.57747812649245,960
2025-09-23,960,22.03145358579866,6162.277865111735,1200
2025-09-23,1200,5504.2989156260755,2455.615050832941,1440
2025-12-21,0,5258.5304277618825,135.70893329029684,240
2025-12-21,240,1430.6821343044912,1580.707082985345,480
2025-12-21,480,5698.3351932714995,7351.757881545873,720
2025-12-21,720,7415.93657620354,2469.595872952719,960
2025-12-21,960,35.27711068165365,5772.654153862814,1200
2025-12-21,1200,5377.240216594399,2842.5257666666666,1440
