date,interval_start,interval_end,intervals,emergency_kwh
2025-04-01,2025-04-01 20:30:00,2025-04-01 20:50:00,2,107.06020184860097
2025-04-01,2025-04-01 21:40:00,2025-04-01 21:50:00,1,31.096016967467584
2025-04-02,2025-04-02 20:30:00,2025-04-02 21:50:00,8,306.11468641654847
2025-04-03,2025-04-03 20:30:00,2025-04-03 20:40:00,1,193.10665693469264
2025-04-03,2025-04-03 21:00:00,2025-04-03 21:20:00,2,9.272606223242724
2025-04-04,2025-04-04 06:50:00,2025-04-04 07:30:00,4,470.81101699648866
2025-04-04,2025-04-04 20:40:00,2025-04-04 21:00:00,2,76.14030741415587
2025-04-04,2025-04-04 21:30:00,2025-04-04 21:50:00,2,233.74314510807932
2025-04-05,2025-04-05 06:50:00,2025-04-05 07:20:00,3,169.11053963478017
2025-04-05,2025-04-05 20:40:00,2025-04-05 21:10:00,3,168.0944718215832
2025-04-05,2025-04-05 21:40:00,2025-04-05 21:50:00,1,0.5876379067432147
2025-04-06,2025-04-06 20:30:00,2025-04-06 21:00:00,3,147.55713216844924
2025-04-06,2025-04-06 21:30:00,2025-04-06 21:50:00,2,40.94132518169592
2025-04-07,2025-04-07 20:30:00,2025-04-07 20:40:00,1,124.36039911543685
2025-04-07,2025-04-07 21:00:00,2025-04-07 21:20:00,2,13.725102354983711
2025-04-08,2025-04-08 20:30:00,2025-04-08 20:40:00,1,193.03612183049347
2025-04-08,2025-04-08 21:00:00,2025-04-08 21:30:00,3,77.22341815095338
2025-04-09,2025-04-09 20:30:00,2025-04-09 21:00:00,3,127.58945290175677
2025-04-10,2025-04-10 20:30:00,2025-04-10 21:00:00,3,129.88375844663608
2025-04-10,2025-04-10 21:30:00,2025-04-10 21:50:00,2,63.86901473036314
2025-04-11,2025-04-11 06:20:00,2025-04-11 07:20:00,6,697.8109789723724
2025-04-11,2025-04-11 20:40:00,2025-04-11 20:50:00,1,255.4022010326674
2025-04-11,2025-04-11 21:20:00,2025-04-11 21:30:00,1,8.032943309078211
2025-04-13,2025-04-13 20:30:00,2025-04-13 21:20:00,5,122.3160707458992
2025-04-14,2025-04-14 20:30:00,2025-04-14 20:50:00,2,375.74644429295114
2025-04-14,2025-04-14 21:30:00,2025-04-14 21:40:00,1,8.000117632303976
2025-04-15,2025-04-15 20:30:00,2025-04-15 21:10:00,4,211.28707024899154
