date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,emergency_intervals
2025-04-01,59696.557264385585,59696.557264385585,3825.838472141667,35668.32999316521,0.0,0.0,35668.32999316521,25831.405571065592,61499.7355642308,17537.865711875427,14247.620345396563,23.29885338172096,23.29885338172096,0.0,1252.8578340593256,1206.247702084361,8
2025-04-02,59205.10333805304,59205.10333805304,4893.954946363171,35268.736471718876,0.0,0.0,35268.736471718876,28478.829759352157,63747.56623107103,19180.77405895128,15542.04991962646,24.99874509139397,24.99874509139397,0.0,1206.247702084361,1200.0,29
2025-04-03,60328.21260213813,60328.21260213813,1652.080721823195,35780.51001609093,0.0,0.0,35780.51001609093,9125.584692021623,44906.09470811255,21503.602026585108,17406.12844950397,2019.2894802135158,938.4776802135166,1080.8117999999993,1200.0,1213.0991022555177,11
2025-04-04,25425.597776113013,25425.597776113013,2018.1387446228168,12512.064808192194,0.0,0.0,12512.064808192194,8239.645831096921,20751.710639289115,13864.102611014505,11241.712306951717,18390.543966673045,262.27195000637636,18128.272016666666,1213.0991022555177,1200.0,23
2025-04-05,26379.388478089088,26379.388478089088,1462.8759186308173,13028.883443523886,0.0,0.0,13028.883443523886,6053.613811437741,19082.497254961625,13958.052715144237,11306.022699266832,13146.119397509166,221.95773084249873,12924.161666666667,1200.0,1200.0,19
2025-04-06,60567.943379193326,60567.943379193326,645.8839153219895,35757.90041754908,0.0,0.0,35757.90041754908,3961.256860991008,39719.15727854008,21087.63010099654,17061.523670006532,2777.6445968586404,656.9773383281116,2120.6672585305287,1200.0,1221.6185686674064,8
2025-04-07,59380.33702748962,59380.33702748962,927.5372130635936,35101.78151774787,0.0,0.0,35101.78151774787,4296.728701589119,39398.51021933699,20639.75678909948,16737.659710971246,3163.0578790916497,1412.3914352284805,1750.6664438631692,1221.6185686674064,1200.0,13
2025-04-08,59881.53921957834,59881.53921957834,1596.879613968463,35455.6604716877,0.0,0.0,35455.6604716877,8566.053596567594,44021.71406825529,21524.315243619778,17434.695347332025,3035.6053205923836,1687.9113318621428,1347.693988730241,1200.0,1200.0,20
2025-04-09,59122.675328160214,59122.675328160214,3629.214124357366,35115.2628192108,0.0,0.0,35115.2628192108,22932.646267912667,58047.90908712347,18357.47224755945,14869.552520523159,129.65870881462024,129.65870881462024,0.0,1200.0,1200.0,15
2025-04-10,58887.3605430228,58887.3605430228,853.6737939343009,35023.88751390828,0.0,0.0,35023.88751390828,5373.593418349249,40397.48093225753,21433.53830329902,17332.935239440583,1179.7933730986633,1118.2645978716578,61.52877522700544,1200.0,1231.3675402573583,10
2025-04-11,25436.33872732851,25436.33872732851,1719.5521563230664,12520.43483064837,0.0,0.0,12520.43483064837,6670.506912900719,19190.941743549087,13670.862110993821,11101.629096136614,19270.007702127703,275.63896879437203,18994.368733333333,1231.3675402573583,1200.0,20
2025-04-12,26182.377491535382,26182.377491535382,558.9755517503569,12922.329632176446,0.0,0.0,12922.329632176446,2107.71763965646,15030.047271832907,13684.16314757657,11084.17214953702,15116.20149524619,156.2123589668505,14959.98913627934,1200.0,1200.0,10
2025-04-13,57216.63717276213,57216.63717276213,1154.7510822016895,33957.349544085126,0.0,0.0,33957.349544085126,7370.672590132029,41328.02213421715,20668.105648918106,16741.165575623665,168.08969833604556,168.08969833604556,0.0,1200.0,1200.0,10
2025-04-14,56831.44482743317,56831.44482743317,815.2107272613002,33556.735036192214,0.0,0.0,33556.735036192214,4964.388826444655,38521.12386263687,20604.800579834682,16689.88846966609,1203.7116445258775,1203.7116445258775,0.0,1200.0,1200.0,7
2025-04-15,57576.52270962793,57576.52270962793,413.3464908729499,34252.45581787815,0.0,0.0,34252.45581787815,2639.8324571663234,36892.28827504448,19318.24215120079,15631.409643938468,4163.607859905217,1528.8438681675982,2634.763991737619,1200.0,1218.1849983713057,6
2025-04-16,56843.787874719,56843.787874719,2528.3621515153986,33731.96303642321,0.0,0.0,33731.96303642321,15883.771496770503,49615.73453319371,18661.73077093786,15132.368422993837,63.19572829037122,63.19572829037122,0.0,1218.1849983713057,1200.0,16
