policy,date,issue_hour,alternative,horizon_intervals,milp_objective_yuan,independent_lp_bound_yuan,milp_minus_lp_yuan,lp_equality_residual,lp_inequality_violation,lp_bound_violation,lp_variables,lp_equalities,lp_inequalities,solver_status,solver_message,runtime_seconds,passed
risk_fixed,2025-04-01,0,selected,144,35668.32999316521,35668.32999316522,-1.4551915228366852e-11,1.8189894035458565e-12,2.311140363275232e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004699875004007481,True
risk_fixed,2025-06-21,0,selected,144,19122.230893135446,19122.230893135442,3.637978807091713e-12,2.2737367544323206e-13,3.7074526164963215e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0040434580005239695,True
risk_fixed,2025-09-23,0,selected,144,37879.62202560462,37879.62202560463,-7.275957614183426e-12,4.547473508864641e-13,2.273737191341604e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004411416004586499,True
risk_fixed,2025-12-21,0,selected,144,59820.68340343161,59820.68340343161,0.0,9.094947017729282e-13,3.313731014326526e-15,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0040982080026878975,True
risk_g10,2025-04-01,0,selected,144,35668.32999316521,35668.32999316522,-1.4551915228366852e-11,1.8189894035458565e-12,2.311140363275232e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004421083001943771,True
risk_g10,2025-06-21,0,selected,144,19122.230893135446,19122.230893135442,3.637978807091713e-12,2.2737367544323206e-13,3.7074526164963215e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.00403429199650418,True
risk_g10,2025-09-23,0,selected,144,37879.62202560462,37879.62202560463,-7.275957614183426e-12,4.547473508864641e-13,2.273737191341604e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004285916998924222,True
risk_g10,2025-12-21,0,selected,144,59820.68340343161,59820.68340343161,0.0,9.094947017729282e-13,3.313731014326526e-15,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0041746659990167245,True
pv_raw,2025-04-01,0,selected,144,40455.5805267657,40455.58052676569,7.275957614183426e-12,4.547473508864641e-13,4.3343593154101625e-15,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004528833000222221,True
pv_raw,2025-06-21,0,selected,144,19763.135904887888,19763.135904887895,-7.275957614183426e-12,4.547473508864641e-13,4.620461332900103e-14,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.003995332997874357,True
