date,interval_start,interval_end,emergency_kwh
2025-02-01,2025-02-01 02:20:00,2025-02-01 02:30:00,3.788826622132092
2025-02-01,2025-02-01 03:30:00,2025-02-01 03:40:00,18.39219907229875
2025-02-01,2025-02-01 03:40:00,2025-02-01 03:50:00,1.0230748505881593
2025-02-01,2025-02-01 06:00:00,2025-02-01 06:10:00,1.3155775097358173
2025-02-01,2025-02-01 06:10:00,2025-02-01 06:20:00,8.656800743913209
2025-02-01,2025-02-01 06:20:00,2025-02-01 06:30:00,10.806995077740794
2025-02-01,2025-02-01 06:30:00,2025-02-01 06:40:00,32.51533308731109
2025-02-01,2025-02-01 06:40:00,2025-02-01 06:50:00,37.697449802671485
2025-02-01,2025-02-01 06:50:00,2025-02-01 07:00:00,24.60304561541807
2025-02-01,2025-02-01 07:00:00,2025-02-01 07:10:00,39.96194113786248
2025-02-01,2025-02-01 15:20:00,2025-02-01 15:30:00,7.6760628125740595
2025-02-01,2025-02-01 15:30:00,2025-02-01 15:40:00,2.8427592618367044
2025-02-01,2025-02-01 16:30:00,2025-02-01 16:40:00,18.664008919924527
2025-02-01,2025-02-01 16:40:00,2025-02-01 16:50:00,51.954652119475156
2025-02-01,2025-02-01 16:50:00,2025-02-01 17:00:00,60.01819619694771
2025-02-01,2025-02-01 17:00:00,2025-02-01 17:10:00,66.61894402959928
2025-02-01,2025-02-01 17:10:00,2025-02-01 17:20:00,60.30816018281985
2025-02-01,2025-02-01 17:20:00,2025-02-01 17:30:00,50.01148421411756
2025-02-01,2025-02-01 17:30:00,2025-02-01 17:40:00,36.18751778169451
2025-02-01,2025-02-01 17:40:00,2025-02-01 17:50:00,12.048542498856989
2025-02-01,2025-02-01 18:00:00,2025-02-01 18:10:00,8.044376930607314
2025-02-01,2025-02-01 18:10:00,2025-02-01 18:20:00,11.460950461166533
2025-02-01,2025-02-01 19:10:00,2025-02-01 19:20:00,24.425770086328782
2025-02-01,2025-02-01 19:20:00,2025-02-01 19:30:00,58.55714815414825
2025-02-01,2025-02-01 19:30:00,2025-02-01 19:40:00,38.28450259399875
2025-02-01,2025-02-01 21:00:00,2025-02-01 21:10:00,3.091454729479267
2025-02-01,2025-02-01 21:10:00,2025-02-01 21:20:00,37.23210169638804
2025-02-01,2025-02-01 21:20:00,2025-02-01 21:30:00,21.18565273823816
2025-02-01,2025-02-01 21:30:00,2025-02-01 21:40:00,4.445408183911013
2025-02-01,2025-02-01 22:40:00,2025-02-01 22:50:00,15.0842267459023
2025-02-01,2025-02-01 22:50:00,2025-02-01 23:00:00,47.10081210910886
2025-02-01,2025-02-01 23:00:00,2025-02-01 23:10:00,21.93419517062108
2025-02-01,2025-02-01 23:10:00,2025-02-01 23:20:00,2.8701701737311396
2025-02-01,2025-02-01 23:50:00,2025-02-02 00:00:00,31.484592412204165
2025-02-02,2025-02-02 01:40:00,2025-02-02 01:50:00,12.51203405479498
2025-02-02,2025-02-02 02:50:00,2025-02-02 03:00:00,59.30348732398693
2025-02-02,2025-02-02 03:00:00,2025-02-02 03:10:00,4.013469705394755
2025-02-02,2025-02-02 06:20:00,2025-02-02 06:30:00,20.697883026923705
2025-02-02,2025-02-02 06:30:00,2025-02-02 06:40:00,68.09774213180572
