date,interval_start,interval_end,grid_plan_kwh
2025-03-20,2025-03-20 10:00:00,2025-03-20 10:10:00,0.0
2025-03-20,2025-03-20 12:00:00,2025-03-20 12:10:00,513.2870168650522
2025-03-20,2025-03-20 14:00:00,2025-03-20 14:10:00,0.0
2025-03-20,2025-03-20 16:00:00,2025-03-20 16:10:00,520.4765788716438
2025-03-20,2025-03-20 18:00:00,2025-03-20 18:10:00,630.2298900747554
2025-03-20,2025-03-20 20:00:00,2025-03-20 20:10:00,0.0
2025-06-21,2025-06-21 10:00:00,2025-06-21 10:10:00,0.0
2025-06-21,2025-06-21 12:00:00,2025-06-21 12:10:00,0.0
2025-06-21,2025-06-21 14:00:00,2025-06-21 14:10:00,0.0
2025-06-21,2025-06-21 16:00:00,2025-06-21 16:10:00,170.02887855969493
2025-06-21,2025-06-21 18:00:00,2025-06-21 18:10:00,0.0
2025-06-21,2025-06-21 20:00:00,2025-06-21 20:10:00,0.0
2025-09-23,2025-09-23 10:00:00,2025-09-23 10:10:00,0.0
2025-09-23,2025-09-23 12:00:00,2025-09-23 12:10:00,370.0467878812161
2025-09-23,2025-09-23 14:00:00,2025-09-23 14:10:00,0.0
2025-09-23,2025-09-23 16:00:00,2025-09-23 16:10:00,507.83764221289846
2025-09-23,2025-09-23 18:00:00,2025-09-23 18:10:00,668.4622858643147
2025-09-23,2025-09-23 20:00:00,2025-09-23 20:10:00,0.0
2025-12-21,2025-12-21 10:00:00,2025-12-21 10:10:00,0.0
2025-12-21,2025-12-21 12:00:00,2025-12-21 12:10:00,882.1470703920808
2025-12-21,2025-12-21 14:00:00,2025-12-21 14:10:00,0.0
2025-12-21,2025-12-21 16:00:00,2025-12-21 16:10:00,778.6958345039134
2025-12-21,2025-12-21 18:00:00,2025-12-21 18:10:00,730.7546719740922
2025-12-21,2025-12-21 20:00:00,2025-12-21 20:10:00,0.0
