date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,load_mae_kwh,pv_mae_kwh,emergency_intervals
2025-01-01,0.0,87715.17001666667,0.0,357384.78779605,357384.78779605,0.0,4320.0,0.0,0.0,0.0,6000.0,1200.0,,,137
2025-01-02,96853.44019506172,1530.930611666667,61853.479049846166,7429.491871768836,69282.97092161501,25720.860811728395,20685.245705,463.5164333333314,463.5164333333314,0.0,1200.0,1365.1683916666666,23.174773842592597,10.191742013888883,19
2025-01-03,97716.68498333333,0.0,62581.158977696294,0.0,62581.158977696294,17722.044111934152,7776.13405,42265.83355473251,37558.25575473251,4707.5778,1365.1683916666666,8674.859147962965,317.8716789351852,14.416922685185183,0
2025-01-04,49567.02851604938,473.0965156666631,25854.218474702593,2590.770848903645,28444.989323606238,21288.000763374486,17490.650734333336,1477.1726360082273,955.1704829218106,522.0021530864167,8674.859147962965,8400.00346351852,24.765967013888893,11.602995486111116,6
2025-01-05,48829.22963415638,42913.61640234362,25631.923794564445,223779.20067951945,249411.1244740839,11655.756233333332,10948.620496833335,0.0,0.0,0.0,8400.00346351852,6725.05018814815,317.933255324074,13.26574212962963,77
2025-01-06,95844.12025637859,660.1860333333345,61263.098785546106,3305.7270490000033,64568.82583454611,25661.30380411523,20766.348683333337,976.870068930036,976.870068930036,0.0,6725.05018814815,6746.5028525925945,22.829795717592585,8.99364849537037,10
2025-01-07,95366.59013333333,2243.5440804999985,60950.321514976895,15273.546312083323,76223.86782706021,24196.2177154321,19560.3282195,407.3437679012318,407.3437679012318,0.0,6746.5028525925945,6789.400774814817,23.269656018518518,20.215118634259262,3
2025-01-08,97764.30368847736,479.16020966667196,62564.237016846724,2338.337058008692,64902.574074855416,25937.288276954736,20757.962707,3538.137011522625,3538.137011522625,0.0,6789.400774814817,7068.557216296298,27.630356018518523,23.148124305555555,4
2025-01-09,95292.42341831276,1026.3993551666608,61088.80461851459,7036.231764196545,68125.03638271113,25274.657568312756,20399.48582816667,352.0949166666652,352.0949166666652,0.0,7068.557216296298,7149.653663148151,22.560030439814817,17.95357025462963,6
2025-01-10,50000.29761069959,278.0003891666611,26041.767995665334,1578.6501996932993,27620.418195358634,21859.518014197532,17668.003310833334,596.1165798353916,596.1165798353916,0.0,7149.653663148151,7192.105086111115,24.157175462962957,14.236781365740743,4
