policy,date,issue_hour,horizon_intervals,milp_objective_yuan,independent_lp_bound_yuan,milp_minus_lp_yuan,lp_equality_residual_kwh,lp_inequality_violation,lp_bound_violation,runtime_seconds,passed
no_update,2025-03-20,0,144,40921.0780610334,40921.07806103339,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.00560320899967337,True
no_update,2025-06-21,0,144,19637.70404604661,19637.704046046616,-7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0047177499982353766,True
no_update,2025-09-23,0,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,0.0,0.0,0.005006208997656358,True
no_update,2025-12-21,0,144,60145.703428687906,60145.70342868789,1.4551915228366852e-11,9.094947017729282e-13,0.0,0.0,0.0045627500003320165,True
all_A,2025-03-20,0,144,40914.95821408409,40914.95821408409,0.0,4.547473508864641e-13,0.0,0.0,0.005735790997277945,True
all_A,2025-03-20,6,108,29117.95292503362,29117.952925033613,7.275957614183426e-12,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0053434590008691885,True
all_A,2025-03-20,12,72,27959.090746857473,27959.09074685746,1.4551915228366852e-11,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.003898208000464365,True
all_A,2025-03-20,18,36,17259.047589013895,17259.047589013895,0.0,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0023159169977589045,True
all_A,2025-06-21,0,144,19763.135904887888,19763.135904887895,-7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.005069999999250285,True
all_A,2025-06-21,6,108,14715.907239708104,14715.907239708104,0.0,9.094947017729282e-13,2.2737367544323206e-13,0.0,0.004890082997007994,True
all_A,2025-06-21,12,72,14718.348758999213,14718.348758999211,1.8189894035458565e-12,9.094947017729282e-13,2.2737367544323206e-13,0.0,0.0037205000007816125,True
all_A,2025-06-21,18,36,11657.94537905122,11657.945379051222,-1.8189894035458565e-12,9.094947017729282e-13,2.2737367544323206e-13,0.0,0.0020408749987836927,True
all_A,2025-09-23,0,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,0.0,0.0,0.005118042001413414,True
all_A,2025-09-23,6,108,29463.062487254043,29463.062487254043,0.0,4.547473508864641e-13,1.7053025658242404e-13,1.1368683772161603e-13,0.007062832999508828,True
all_A,2025-09-23,12,72,27187.018172115073,27187.018172115073,0.0,1.1368683772161603e-13,1.7053025658242404e-13,1.1368683772161603e-13,0.0052212500013411045,True
all_A,2025-09-23,18,36,18705.27941040237,18705.27941040237,0.0,1.1368683772161603e-13,1.7053025658242404e-13,0.0,0.003291707998869242,True
all_A,2025-12-21,0,144,60123.745416962156,60123.74541696215,7.275957614183426e-12,9.094947017729282e-13,0.0,0.0,0.00486720800108742,True
all_A,2025-12-21,6,108,46414.69978939316,46414.69978939314,2.1827872842550278e-11,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.005321417000232032,True
all_A,2025-12-21,12,72,34933.25170162936,34933.25170162935,7.275957614183426e-12,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.0036522920017887373,True
all_A,2025-12-21,18,36,14704.214745864765,14704.214745864769,-3.637978807091713e-12,9.094947017729282e-13,1.1368683772161603e-13,0.0,0.002055458000540966,True
all_B,2025-03-20,0,144,40914.85473733774,40914.85473733774,0.0,4.547473508864641e-13,0.0,0.0,0.0052590000013879035,True
all_B,2025-03-20,6,108,31374.753424566363,31374.753424566356,7.275957614183426e-12,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.00487920800151187,True
all_B,2025-03-20,12,72,28313.421672941004,28313.421672940996,7.275957614183426e-12,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.003246000000217464,True
all_B,2025-03-20,18,36,14757.105310410521,14757.105310410521,0.0,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.0023791249986970797,True
all_B,2025-06-21,0,144,19781.988295043968,19781.988295043968,0.0,4.547473508864641e-13,0.0,0.0,0.004566999999951804,True
all_B,2025-06-21,6,108,14994.963912095645,14994.963912095647,-1.8189894035458565e-12,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.004956958000548184,True
all_B,2025-06-21,12,72,14904.278430859404,14904.278430859404,0.0,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.0033877079986268654,True
all_B,2025-06-21,18,36,11770.359552556827,11770.359552556829,-1.8189894035458565e-12,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.0027278749985271133,True
all_B,2025-09-23,0,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,0.0,0.0,0.0049805000016931444,True
all_B,2025-09-23,6,108,29824.789688777004,29824.789688777004,0.0,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.0059445000006235205,True
all_B,2025-09-23,12,72,27760.674789730096,27760.67478973009,7.275957614183426e-12,0.0,1.1368683772161603e-13,2.2737367544323206e-13,0.0037703329981013667,True
all_B,2025-09-23,18,36,16586.14373683184,16586.143736831844,-3.637978807091713e-12,0.0,1.1368683772161603e-13,2.2737367544323206e-13,0.002109582997945836,True
all_B,2025-12-21,0,144,60123.729799487686,60123.729799487686,0.0,9.094947017729282e-13,0.0,0.0,0.0045651660002477,True
all_B,2025-12-21,6,108,46808.43719301261,46808.437193012585,2.1827872842550278e-11,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.004872790999797871,True
all_B,2025-12-21,12,72,34114.727183151714,34114.72718315171,7.275957614183426e-12,9.094947017729282e-13,5.684341886080802e-14,2.2737367544323206e-13,0.0032614160008961335,True
all_B,2025-12-21,18,36,14677.422137583128,14677.422137583131,-3.637978807091713e-12,9.094947017729282e-13,5.684341886080802e-14,2.2737367544323206e-13,0.002364124997257022,True
