date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,emergency_intervals
2025-02-01,42431.080497346535,41886.05258329042,0.0,22055.754189070914,44.54189545745919,-118.77597630547517,21981.5201082229,0.0,21981.5201082229,19792.044391658346,15776.707968701396,3492.540227000134,2041.1044136256473,1451.4358133744868,7268.4231640740745,7551.587595787255,0
2025-02-02,88435.60950748963,87182.76350440473,0.0,55245.78795668696,598.5314231571058,-492.6935858170408,55351.62579402703,0.0,55351.62579402703,23019.32370912909,18196.772071999232,4003.933917274867,3944.7598506082004,59.17406666666659,7551.587595787255,8050.3432984487345,0
2025-02-03,90553.12293030864,89447.24800220944,0.0,56736.752740679,713.7440325102245,-491.36402057986345,56959.13275260937,0.0,56959.13275260937,23057.830518434635,18473.844159548564,4646.345143323363,4646.345143323363,0.0,8050.3432984487345,8275.897254430389,0
2025-02-04,93800.56770754396,92282.63239965591,0.0,59419.44623569334,16.303611727421714,-498.76143269867345,58936.988414722095,0.0,58936.988414722095,23236.61467054643,18468.15724367495,6319.311022784419,6318.959239451086,0.35178333333340106,8275.897254430389,8668.67574272779,0
2025-02-05,87346.02721037663,87115.91070459152,54.130662396002776,54715.46834929123,480.25060252312664,-174.06584579507273,55021.65310601929,377.61550087451536,55399.2686068938,23688.47968718259,19020.594805517532,1753.7295019891221,1753.7295019891221,0.0,8668.67574272779,8854.313232839308,1
2025-02-06,93825.00996369893,92201.40029732561,0.0,59424.60106892945,211.60583590749894,-540.9316082718851,59095.27529656506,0.0,59095.27529656506,22872.006264725373,18055.3127640219,7113.649579955477,7112.248763288811,1.4008166666666284,8854.313232839308,9377.660244401148,0
2025-02-07,43246.09952052943,41327.05197680776,137.1118969124321,22328.640173140942,2.297554146934999e-13,-431.47780447398475,21897.162368666955,662.0389905505913,22559.20135921755,19419.469911755637,15812.97873320084,6051.993028498725,1869.5133054912828,4182.479723007442,9377.660244401148,9285.206794758062,3
2025-02-08,34972.51331392556,36371.027636791114,248.81567698740304,17669.10565378848,2295.57600587513,-4.9755044528865254e-14,19964.68165966361,1712.2076430844875,21676.889302748095,19963.96905537538,16114.370668050144,1193.0822097866167,63.77245690522341,1129.3097528813933,9285.206794758062,9347.922646762407,2
2025-02-09,84699.78611737242,84607.73378110146,70.30891367845322,52621.20559949651,3312.933227716581,-540.7924913031909,55393.346335909904,332.373505045443,55725.719840955346,22550.32725167187,18271.268502859024,843.5679793003956,843.5679793003956,0.0,9347.922646762407,9341.807725645951,4
2025-02-10,81855.39681140831,79850.14095034027,45.74669455619319,50833.23228571269,741.9278134233562,-643.8752480635378,50931.28485107251,203.02178606662798,51134.30663713914,21853.081952863336,17858.26053354864,1574.4286422484297,1381.223975581763,193.20466666666675,9341.807725645951,9167.069779280018,3
