date,interval_start,interval_end,intervals,emergency_kwh
2025-03-20,2025-03-20 09:30:00,2025-03-20 10:00:00,3,114.62034991302775
2025-03-20,2025-03-20 20:30:00,2025-03-20 20:40:00,1,672.0384151182415
2025-03-20,2025-03-20 21:20:00,2025-03-20 21:50:00,3,32.6726419318433
2025-03-20,2025-03-20 23:40:00,2025-03-20 23:50:00,1,21.60255512267396
2025-06-21,2025-06-21 06:10:00,2025-06-21 07:20:00,7,540.6393795313222
2025-09-23,2025-09-23 08:40:00,2025-09-23 09:50:00,7,516.755480973573
2025-09-23,2025-09-23 18:20:00,2025-09-23 18:30:00,1,1.0833333333332575
2025-09-23,2025-09-23 19:20:00,2025-09-23 19:40:00,2,914.7951318110479
2025-09-23,2025-09-23 19:50:00,2025-09-23 22:00:00,13,2816.80880622256
2025-09-23,2025-09-23 22:20:00,2025-09-23 22:40:00,2,48.40748788645176
2025-12-21,2025-12-21 07:50:00,2025-12-21 08:10:00,2,67.39123004238604
2025-12-21,2025-12-21 20:20:00,2025-12-21 20:40:00,2,980.472829274479
