date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,emergency_intervals
2025-02-01,42483.77295243918,42483.77295243918,0.0,17865.02270419313,0.0,0.0,17865.02270419313,0.0,17865.02270419313,19995.274564135245,15961.981607791258,4072.3040627618675,1926.2083441890625,2146.095718572805,7268.4231640740745,7528.635152027729,0
2025-02-02,88388.52498927644,88388.52498927644,121.72045059588879,61224.18579094236,0.0,0.0,61224.18579094236,771.4642158767432,61995.65000681911,22721.579188646017,18101.745457636138,5534.133758862445,5474.959692195778,59.17406666666682,7528.635152027729,7865.005913324545,1
2025-02-03,90426.45626364197,90426.45626364197,305.82837208113415,64218.99734723887,0.0,0.0,64218.99734723887,2037.581528990556,66256.57887622943,22454.01148768577,17896.339506920245,5957.696154957589,5957.696154957589,0.0,7865.005913324545,8188.7945778859075,1
2025-02-04,93800.56770754396,93800.56770754396,0.0,67354.64241927344,0.0,0.0,67354.64241927344,0.0,67354.64241927344,23182.48201000043,18395.635427326983,7818.857174870521,7818.505391537188,0.3517833333331737,8188.7945778859075,8613.433467634088,0
2025-02-05,87214.90476235906,87214.90476235906,277.22855591814664,61616.18360416889,0.0,0.0,61616.18360416889,1770.3450425116414,63386.528646680534,22927.554127649764,18382.39402351606,2198.5462308101723,2198.5462308101723,0.0,8613.433467634088,8823.349934167694,2
2025-02-06,93986.99774325431,93986.99774325431,0.0,67033.52174101582,0.0,0.0,67033.52174101582,0.0,67033.52174101582,23624.64643831123,18809.32309745617,8900.617185732586,8899.21636906592,1.4008166666668558,8823.349934167694,9186.283842585388,0
2025-02-07,43239.5918287396,43239.5918287396,68.70903812937695,18068.376337629026,0.0,0.0,18068.376337629026,273.1452764300577,18341.521614059086,19418.208309332338,15780.669658442017,7865.082549311986,2470.5579100115697,5394.524639300416,9186.283842585388,9128.593922715587,3
2025-02-08,35307.46596859148,35307.46596859148,1374.4812382291798,14126.80869911006,0.0,0.0,14126.80869911006,7213.006356633421,21339.815055743482,21677.814812861205,17608.031023866242,1035.0007011590358,46.11833449236735,988.8823666666684,9128.593922715587,9074.148338883735,6
2025-02-09,84422.64332529201,84422.64332529201,1142.9645910766253,58601.1719668264,0.0,0.0,58601.1719668264,7361.660615070561,65962.83258189696,22022.685550158443,17823.512819359992,1811.0192189035192,1811.0192189035192,0.0,9074.148338883735,9090.662201404124,7
2025-02-10,81570.88636483059,81570.88636483059,408.8268613143325,55216.43282779689,0.0,0.0,55216.43282779689,2503.0532223553205,57719.48605015221,20430.797985430756,16680.133245193123,3902.41090257395,3639.428975835689,262.98192673826077,9090.662201404124,8944.89900474389,6
2025-02-11,81380.01479044717,81380.01479044717,585.201752575427,55721.71142245527,0.0,0.0,55721.71142245527,3473.2042502058102,59194.91567266108,22552.047140351486,18311.211162590735,2503.783431928503,2503.783431928503,0.0,8944.89900474389,8895.951250403856,11
