source_line_before,source_line_after,reason,pdf_pages
242,242,Settlement wording,9
429,429,Correction result,17
469,469,Repeated price qualification,18
483,483,Resampling scope reference,18
487,487,Diagnostic figure introduction,18
501,501,Verification methods; counts relocated,19
513,513,Workbook verification; counts relocated,20
517,517,Numerical tie result,21
519,519,Information-test methods and outcomes,21
521,521,Reproduction summary; details relocated,21
523,523,Optimizer stopping and independent billing,21
525,525,Forecast-error results and scope,21
535,535,Daily-distribution introduction,21
578,578,Consolidated resampling limitations,24
598,598,Concrete limitations and next steps,25
1,1,User-requested English title pattern,1
651,651,Coverage and reproduction details relocated to Appendix A,28
