date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,38163.79304424351,38163.79304424351,0.6657135275493147,16806.654904295046,0.0,0.0,16806.654904295046,2.2025132058969072,16808.857417500945,13490.187322635602,15315.188168377752,5611.28367017988,1839.9491701798795,3771.3345,7268.4231640740745,2392.716011804171
2025-02-02,89781.155040227,89781.155040227,0.0,63247.41196441138,0.0,0.0,63247.41196441138,0.0,63247.41196441138,21145.956790382617,16872.891535082876,7151.811834927259,7092.637768260592,59.17406666666682,2392.716011804171,2676.419861945333
2025-02-03,88191.17956048979,88191.17956048979,0.0,63194.96901776152,0.0,0.0,63194.96901776152,0.0,63194.96901776152,21226.16209674331,17471.092503986903,4219.193467733382,4219.193467733382,0.0,2676.419861945333,2367.6407445844193
2025-02-04,89356.27514312154,89356.27514312154,0.0,64119.58232335402,0.0,0.0,64119.58232335402,0.0,64119.58232335402,22445.990427037377,18095.389362051537,3810.8101281357076,3810.8101281357076,0.0,2367.6407445844193,2463.0439488607913
2025-02-05,87582.36597370404,87582.36597370404,0.0,62825.80668034041,0.0,0.0,62825.80668034041,0.0,62825.80668034041,22142.719021712717,18296.610321603963,2987.8302902619644,2985.777790261964,2.052499999999924,2463.0439488607913,2061.9240443978315
2025-02-06,89069.76357100534,89069.76357100534,0.0,64071.24322590901,0.0,0.0,64071.24322590901,0.0,64071.24322590901,21699.973159209843,17248.031892719493,4346.765087848328,4345.364271181661,1.4008166666668558,2061.9240443978315,2427.420006887253
2025-02-07,41779.30096119168,41779.30096119168,0.0,17681.55389764221,0.0,0.0,17681.55389764221,0.0,17681.55389764221,18288.44878691491,15566.384709112446,7251.557216722551,1961.3826330883594,5290.174583634192,2427.420006887253,1591.0409049857328
2025-02-08,38038.319995890866,38038.319995890866,0.0,15908.69636492794,0.0,0.0,15908.69636492794,0.0,15908.69636492794,19096.931466401224,15563.00064312618,2927.226455949159,262.1886027875594,2665.0378531615997,1591.0409049857328,1486.056287939963
2025-02-09,83908.224889122,83908.224889122,769.3901242228617,58390.61374989805,0.0,0.0,58390.61374989805,4129.274787409516,62519.88853730757,23671.205386036658,19030.32950501081,481.32316565234555,481.32316565234555,0.0,1486.056287939963,1645.3305742498324
2025-02-10,85299.77748763692,85299.77748763692,0.0,58401.37957778786,0.0,0.0,58401.37957778786,0.0,58401.37957778786,20540.971856519624,16700.52388479604,7132.69193258,6633.028899246667,499.6630333333336,1645.3305742498324,1576.0675953441232
2025-02-11,83354.75088199563,83354.75088199563,60.94513888431405,57342.4117128017,0.0,0.0,57342.4117128017,284.19688395802945,57626.60859675973,22305.589484657892,18130.87977175652,4020.389174645232,3776.931474645231,243.4577000000006,1576.0675953441232,1505.6761629178698
2025-02-12,83020.67008826637,83020.67008826637,0.0,56720.867113129374,0.0,0.0,56720.867113129374,0.0,56720.867113129374,22177.750827429027,17988.32554854188,3564.508676045896,3401.124392712563,163.38428333333331,1505.6761629178698,1478.6235203352321
2025-02-13,82504.94534706371,82504.94534706371,40.82600007755154,55822.42730775751,0.0,0.0,55822.42730775751,116.20315013395573,55938.63045789147,20039.99992663957,16015.385677642445,7191.678081477467,6633.040298144133,558.6377833333338,1478.6235203352321,1719.7504791525826
2025-02-14,35098.60210596588,35098.60210596588,321.227090309426,14853.74626527023,0.0,0.0,14853.74626527023,1035.6342355312004,15889.380500801431,18190.57778701872,15176.34783973348,2603.7974323234007,226.55709316675757,2377.240339156643,1719.7504791525826,1228.661776654451
2025-02-15,35239.03278411415,35239.03278411415,561.9808124007023,15158.92813523961,0.0,0.0,15158.92813523961,1832.4073960917035,16991.335531331315,18488.264905956254,15001.290172813573,3033.9477633721735,2.4758650886699343,3031.471898283504,1228.661776654451,1200.0
2025-02-16,80314.77825347112,80314.77825347112,381.8652461243354,54376.86164513363,0.0,0.0,54376.86164513363,2022.648367111883,56399.510012245504,23532.07123869034,18651.386643821523,438.57980472663746,438.57980472663746,0.0,1200.0,1655.1011772418362
2025-02-17,78927.897652955,78927.897652955,1.262344098584549,53389.300024013115,0.0,0.0,53389.300024013115,2.9248512764203998,53392.22487528953,20219.703003124585,16526.99426690192,4052.5880941642554,3258.1068941642548,794.4812000000007,1655.1011772418362,1489.5069168296081
2025-02-18,78536.43737680756,78536.43737680756,33.25915768533329,52401.61103238413,0.0,0.0,52401.61103238413,206.11315008777683,52607.72418247191,21233.72514815929,16983.36933063509,2227.9529336353676,2132.1166229357796,95.8363106995878,1489.5069168296081,1729.4491828006478
2025-02-19,77785.84871915099,77785.84871915099,84.41353424241947,51856.55092879259,0.0,0.0,51856.55092879259,218.53556669947488,52075.08649549206,22194.535018163413,18454.077629232943,1250.4774811296043,1250.4774811296043,0.0,1729.4491828006478,1200.0
