candidate,reference,month,saving_yuan
q2_reserve,q2_greedy,2025-02,-4259.471323107584
q2_reserve,q2_greedy,2025-03,4016.608413649961
q2_reserve,q2_greedy,2025-04,2451.0674460097653
q2_reserve,q2_greedy,2025-05,-3544.1380253803272
q2_reserve,q2_greedy,2025-06,44135.90636559081
q2_reserve,q2_greedy,2025-07,10119.85065778021
q2_reserve,q2_greedy,2025-08,1283.6308965749995
q2_reserve,q2_greedy,2025-09,-2118.642194769909
q2_reserve,q2_greedy,2025-10,-2184.6510272519063
q2_reserve,q2_greedy,2025-11,794.6081379816569
q2_reserve,q2_greedy,2025-12,18813.299838847062
q3_no_update_reserve,q3_no_update_greedy,2025-02,766.6884017402372
q3_no_update_reserve,q3_no_update_greedy,2025-03,3064.733920831781
q3_no_update_reserve,q3_no_update_greedy,2025-04,-1537.8048985456226
q3_no_update_reserve,q3_no_update_greedy,2025-05,198.9206301804843
q3_no_update_reserve,q3_no_update_greedy,2025-06,-1572.9336990657903
q3_no_update_reserve,q3_no_update_greedy,2025-07,16955.78469068535
q3_no_update_reserve,q3_no_update_greedy,2025-08,3318.3244115064626
q3_no_update_reserve,q3_no_update_greedy,2025-09,-3320.1401887824795
q3_no_update_reserve,q3_no_update_greedy,2025-10,9387.278592616221
q3_no_update_reserve,q3_no_update_greedy,2025-11,-1025.1162415718027
q3_no_update_reserve,q3_no_update_greedy,2025-12,16564.807382310722
q3_soc_reserve,q3_soc_greedy,2025-02,-1860.5299588144517
q3_soc_reserve,q3_soc_greedy,2025-03,-6995.308294620763
q3_soc_reserve,q3_soc_greedy,2025-04,-7752.25920434175
q3_soc_reserve,q3_soc_greedy,2025-05,-2982.790787165639
q3_soc_reserve,q3_soc_greedy,2025-06,-2741.5225150168335
q3_soc_reserve,q3_soc_greedy,2025-07,-5955.550668888274
q3_soc_reserve,q3_soc_greedy,2025-08,-2740.8920539810533
q3_soc_reserve,q3_soc_greedy,2025-09,-9024.04209431729
q3_soc_reserve,q3_soc_greedy,2025-10,8069.783871715788
q3_soc_reserve,q3_soc_greedy,2025-11,948.2526753734528
q3_soc_reserve,q3_soc_greedy,2025-12,-6875.056877032435
q3_raw_reserve,q3_raw_greedy,2025-02,-7237.219870626803
q3_raw_reserve,q3_raw_greedy,2025-03,-6947.1464389867815
q3_raw_reserve,q3_raw_greedy,2025-04,-2525.463647965318
q3_raw_reserve,q3_raw_greedy,2025-05,1628.7471449155
q3_raw_reserve,q3_raw_greedy,2025-06,681.9240880386606
q3_raw_reserve,q3_raw_greedy,2025-07,-4072.416105153814
q3_raw_reserve,q3_raw_greedy,2025-08,3269.2572240460613
q3_raw_reserve,q3_raw_greedy,2025-09,-6331.930735902672
q3_raw_reserve,q3_raw_greedy,2025-10,2353.945517054899
q3_raw_reserve,q3_raw_greedy,2025-11,215.83595349619645
q3_raw_reserve,q3_raw_greedy,2025-12,3297.4092703162933
q3_w28_reserve,q3_w28_greedy,2025-02,-7237.219870626803
q3_w28_reserve,q3_w28_greedy,2025-03,-6947.1464389867815
q3_w28_reserve,q3_w28_greedy,2025-04,-2617.9919607998745
q3_w28_reserve,q3_w28_greedy,2025-05,-81.54245083846217
q3_w28_reserve,q3_w28_greedy,2025-06,374.0415377360332
q3_w28_reserve,q3_w28_greedy,2025-07,2925.739673942546
q3_w28_reserve,q3_w28_greedy,2025-08,2544.2756769889565
q3_w28_reserve,q3_w28_greedy,2025-09,-4144.027848449732
q3_w28_reserve,q3_w28_greedy,2025-10,3604.011993818598
q3_w28_reserve,q3_w28_greedy,2025-11,872.2460003588458
q3_w28_reserve,q3_w28_greedy,2025-12,4501.540559720073
q42_ols_reserve,q42_ols_greedy,2025-02,-4698.73622338765
q42_ols_reserve,q42_ols_greedy,2025-03,-4149.100945951202
q42_ols_reserve,q42_ols_greedy,2025-04,3649.3385470210105
q42_ols_reserve,q42_ols_greedy,2025-05,-6522.875230375037
q42_ols_reserve,q42_ols_greedy,2025-06,36008.13963458874
q42_ols_reserve,q42_ols_greedy,2025-07,32261.932866909363
q42_ols_reserve,q42_ols_greedy,2025-08,4229.760475386927
q42_ols_reserve,q42_ols_greedy,2025-09,-4715.919916280662
q42_ols_reserve,q42_ols_greedy,2025-10,-3158.2765191218787
q42_ols_reserve,q42_ols_greedy,2025-11,526.9383847412591
q42_ols_reserve,q42_ols_greedy,2025-12,14612.445463201442
q42_fixed_reserve,q42_fixed_greedy,2025-02,-3125.348863407349
q42_fixed_reserve,q42_fixed_greedy,2025-03,-609.1316661794262
q42_fixed_reserve,q42_fixed_greedy,2025-04,1751.6326202418331
q42_fixed_reserve,q42_fixed_greedy,2025-05,-5040.026011686823
