minute,energy_kwh
0,6000
10,6000
20,6000
30,6000
40,6000
50,6000
60,6000
70,6000
80,6000
90,6000
100,6000
110,6000
120,6000
130,6000
140,6000
150,6000
160,6000
170,6000
180,6000
190,6000
200,6000
210,6000
220,6000
230,6000
240,6000
250,6000
260,6000
270,6000
280,6000
290,6000
300,6000
310,6000
320,6000
330,6000
340,6000
350,6000
360,6000
370,6000
380,6000
390,6000
400,6000
410,6000
420,6000
430,6000
440,6000
450,6000
460,6000
470,6000
480,6000
490,6000
500,6000
510,6000
520,6000
530,6000
540,6000
550,6000
560,6000
570,6000
580,6000
590,6000
600,6000
610,6000
620,6000
630,6000
640,6000
650,6000
660,6000
670,6000
680,6000
690,6000
700,6000
710,6000
720,6000
730,6000
740,6000
750,6000
760,6000
770,6000
780,6000
790,6000
800,6000
810,6000
820,6000
830,6000
840,6000
850,6000
860,6000
870,6000
880,6000
890,6000
900,6000
910,6000
920,6000
930,6000
940,6000
950,6000
960,6000
970,6000
980,6000
990,6000
1000,6000
1010,6000
1020,6000
1030,6000
1040,6000
1050,6000
1060,6000
1070,6000
1080,6000
1090,6000
1100,6000
1110,6000
1120,6000
1130,6000
1140,6000
1150,6000
1160,6000
1170,6000
1180,6000
1190,6000
1200,6000
1210,6000
1220,6000
1230,6000
1240,6000
1250,6000
1260,6000
1270,6000
1280,6000
1290,6000
1300,6000
1310,6000
1320,6000
1330,6000
1340,6000
1350,6000
1360,6000
1370,6000
1380,6000
1390,6000
1400,6000
1410,6000
1420,6000
1430,6000
1440,6000
