date,issue_hour,issue_time,slot_id,interval_start,interval_end,grid_original_kwh,grid_kwh,reserve_original_kwh,reserve_threshold_kwh,load_forecast_kwh,pv_forecast_kwh,pv_raw_forecast_kwh,price_forecast_yuan_per_kwh,selected_index
2025-03-20,0,2025-03-20 00:00:00,1,2025-03-20 00:00:00,2025-03-20 00:10:00,1397.1009421723943,1397.1009421723943,2753.5921633326852,2753.5921633326852,599.953889516172,0.6881231779921642,0.6881231779921642,0.4248,7
2025-03-20,0,2025-03-20 00:00:00,2,2025-03-20 00:10:00,2025-03-20 00:20:00,1404.0445266895758,1404.0445266895758,3503.5921633326852,3503.5921633326852,593.4156177461416,0.7635675828808566,0.7635675828808566,0.4245,7
2025-03-20,0,2025-03-20 00:00:00,3,2025-03-20 00:20:00,2025-03-20 00:30:00,1333.8795241718728,1333.8795241718728,4253.592163332685,4253.592163332685,580.4393460126182,0.23923107243809127,0.23923107243809127,0.4269,7
2025-03-20,0,2025-03-20 00:00:00,4,2025-03-20 00:30:00,2025-03-20 00:40:00,1349.8848423258928,1349.8848423258928,5003.592163332685,5003.592163332685,589.9157636485189,0.0,0.0,0.4272,7
2025-03-20,0,2025-03-20 00:00:00,5,2025-03-20 00:40:00,2025-03-20 00:50:00,1330.720040731614,1330.720040731614,5753.592163332685,5753.592163332685,585.7067371611821,0.0,0.0,0.4271,7
2025-03-20,0,2025-03-20 00:00:00,6,2025-03-20 00:50:00,2025-03-20 01:00:00,1305.500701397848,1305.500701397848,6503.592163332685,6503.592163332685,563.8726304229446,0.0,0.0,0.4285,7
2025-03-20,0,2025-03-20 00:00:00,7,2025-03-20 01:00:00,2025-03-20 01:10:00,739.8395146905225,739.8395146905225,6487.951802149964,6487.951802149964,557.0724677171621,0.0,0.0,0.4311,7
2025-03-20,0,2025-03-20 00:00:00,8,2025-03-20 01:10:00,2025-03-20 01:20:00,1201.245439280521,1201.245439280521,7253.592163332685,7253.592163332685,550.5681314738787,0.0,0.0,0.4302,7
2025-03-20,0,2025-03-20 00:00:00,9,2025-03-20 01:20:00,2025-03-20 01:30:00,1325.8636788008373,1325.8636788008373,8003.592163332685,8003.592163332685,543.8389841690238,0.0,0.0,0.4279,7
2025-03-20,0,2025-03-20 00:00:00,10,2025-03-20 01:30:00,2025-03-20 01:40:00,756.1754407123019,756.1754407123019,7978.567136644531,7978.567136644531,557.3656575097407,0.0,0.0,0.4312,7
2025-03-20,0,2025-03-20 00:00:00,11,2025-03-20 01:40:00,2025-03-20 01:50:00,647.2385108689282,647.2385108689282,7932.543883036082,7932.543883036082,588.2676114808643,0.0,0.0,0.4333,7
2025-03-20,0,2025-03-20 00:00:00,12,2025-03-20 01:50:00,2025-03-20 02:00:00,1301.0590385815183,1301.0590385815183,8550.0,8550.0,605.7743003520009,0.0,0.0,0.4311,7
2025-03-20,0,2025-03-20 00:00:00,13,2025-03-20 02:00:00,2025-03-20 02:10:00,1283.8016125835193,1283.8016125835193,9300.0,9300.0,579.812873446548,0.0,0.0,0.4293,7
2025-03-20,0,2025-03-20 00:00:00,14,2025-03-20 02:10:00,2025-03-20 02:20:00,624.8227553405244,624.8227553405244,9295.285853564943,9295.285853564943,567.2884952341019,0.0,0.0,0.4324,7
2025-03-20,0,2025-03-20 00:00:00,15,2025-03-20 02:20:00,2025-03-20 02:30:00,648.2615769842971,648.2615769842971,9284.481713202615,9284.481713202615,582.4368955126206,0.0,0.0,0.4367,7
2025-03-20,0,2025-03-20 00:00:00,16,2025-03-20 02:30:00,2025-03-20 02:40:00,650.9646787708314,650.9646787708314,9307.166335755284,9307.166335755284,588.9575058896943,0.0,0.0,0.4348,7
2025-03-20,0,2025-03-20 00:00:00,17,2025-03-20 02:40:00,2025-03-20 02:50:00,670.867994062738,670.867994062738,9263.90801226626,9263.90801226626,605.0273060057,0.0,0.0,0.4335,7
2025-03-20,0,2025-03-20 00:00:00,18,2025-03-20 02:50:00,2025-03-20 03:00:00,691.0111771044449,691.0111771044449,9300.279993629783,9300.279993629783,617.8962883585447,0.0,0.0,0.4357,7
