date,load_actual_kwh,pv_actual_kwh,net_load_actual_kwh
2025-01-01,127286.15238333333,35250.98236666666,92035.17001666667
2025-01-02,127657.07848333333,34771.83921666667,92885.23926666667
2025-01-03,81883.55671666667,36378.61535,45504.941366666666
2025-01-04,81891.73006666667,37126.1277,44765.602366666666
2025-01-05,127674.11883333333,36638.408533333335,91035.7103
2025-01-06,126826.69011666666,36194.20901666667,90632.4811
2025-01-07,126927.46215,34360.5612,92566.90095
2025-01-08,126695.94395,37169.94263333333,89526.00131666666
2025-01-09,127066.6182,35975.06208333333,91091.55611666667
2025-01-10,81486.63841666667,35995.9717,45490.66671666667
2025-01-11,81610.19496666666,36744.30835,44865.88661666667
2025-01-12,126519.32696666666,35653.438566666664,90865.8884
2025-01-13,126980.35978333333,38706.40281666667,88273.95696666666
2025-01-14,127109.49061666666,37829.177683333335,89280.31293333333
2025-01-15,126963.89896666666,36893.556033333334,90070.34293333333
2025-01-16,126807.76418333333,37733.612733333335,89074.15145
2025-01-17,80876.0762,38186.962733333334,42689.11346666667
2025-01-18,81208.0575,37965.54848333333,43242.50901666666
2025-01-19,126210.84621666667,37527.70675,88683.13946666666
2025-01-20,126565.66615,38498.5896,88067.07655
2025-01-21,125750.14588333333,42274.2412,83475.90468333333
2025-01-22,126679.58855,37780.82418333333,88898.76436666667
2025-01-23,126355.43115,36789.50555,89565.9256
2025-01-24,80339.53570000001,40510.12255,39829.41315
2025-01-25,80632.06428333333,42192.488816666664,38439.57546666666
2025-01-26,126385.04865,38686.05861666667,87698.99003333334
2025-01-27,125642.95023333334,41448.03345,84194.91678333333
2025-01-28,126496.61093333333,39516.211566666665,86980.39936666666
2025-01-29,125425.44486666667,44040.24381666667,81385.20105
2025-01-30,126011.04995,42268.46716666667,83742.58278333333
2025-01-31,80009.91998333334,41245.596933333334,38764.32305
2025-02-01,76305.20628333333,41927.03035,34378.17593333333
2025-02-02,121705.97265,43349.6947,78356.27795
2025-02-03,122603.769,42386.8525,80216.9165
2025-02-04,121578.09885,40383.2349,81194.86395
2025-02-05,121991.08443333334,41242.65745,80748.42698333334
2025-02-06,122252.1627,41981.10548333333,80271.05721666667
2025-02-07,76168.59693333333,44362.91726666666,31805.679666666667
2025-02-08,75746.78751666666,44169.6248,31577.162716666666
2025-02-09,121547.90356666666,41992.4876,79555.41596666667
2025-02-10,121477.56451666667,47150.926933333336,74326.63758333333
2025-02-11,121441.28161666667,46220.68448333333,75220.59713333333
2025-02-12,121363.85288333334,46097.11675,75266.73613333334
2025-02-13,121310.28371666667,49980.8047,71329.47901666666
2025-02-14,75872.63795,46070.83613333333,29801.801816666666
2025-02-15,76054.55225,46774.46115,29280.0911
2025-02-16,121276.97728333333,45899.598183333335,75377.3791
2025-02-17,120960.37281666667,49776.50965,71183.86316666666
2025-02-18,121331.27123333333,49239.88345,72091.38778333334
2025-02-19,121866.79411666667,48987.466733333335,72879.32738333334
2025-02-20,121105.25703333333,50112.1233,70993.13373333334
2025-02-21,75802.00203333334,50241.74,25560.262033333333
2025-02-22,75682.24226666667,47837.47938333333,27844.762883333333
2025-02-23,121142.14093333333,49610.28725,71531.85368333333
2025-02-24,120628.98855,52425.954933333334,68203.03361666667
2025-02-25,121093.33288333334,55272.00965,65821.32323333333
2025-02-26,121060.73411666666,52245.88608333333,68814.84803333333
2025-02-27,120599.48893333333,53642.90473333334,66956.5842
2025-02-28,75385.10795,52092.5144,23292.593549999998
2025-03-01,72244.16015,48585.39421666667,23658.765933333332
2025-03-02,117860.41708333333,45502.110016666666,72358.30706666666
2025-03-03,117958.7456,45941.598966666665,72017.14663333334
2025-03-04,118139.02498333334,48939.56705,69199.45793333334
2025-03-05,118073.44383333334,51942.971816666664,66130.47201666667
2025-03-06,117673.59855,51732.944416666665,65940.65413333333
2025-03-07,71680.36145,50758.07591666667,20922.285533333332
2025-03-08,72344.71158333334,53281.57206666667,19063.139516666666
2025-03-09,117692.9865,54359.46145,63333.52505
2025-03-10,117943.06436666667,49900.99291666667,68042.07145
2025-03-11,117499.55295,53560.63415,63938.9188
2025-03-12,118112.23683333333,55676.70215,62435.53468333333
2025-03-13,118237.27705,50691.65903333334,67545.61801666666
2025-03-14,72108.86895,56079.44296666667,16029.425983333334
2025-03-15,72724.98178333334,51800.85663333334,20924.12515
2025-03-16,117983.21598333333,54632.16905,63351.04693333333
2025-03-17,117693.62180000001,59835.490366666665,57858.131433333336
2025-03-18,117253.42358333334,56127.465216666664,61125.958366666666
2025-03-19,117281.558,57816.08755,59465.47045
2025-03-20,117648.38173333333,55439.419916666666,62208.96181666667
2025-03-21,72593.53221666666,60560.0677,12033.464516666665
2025-03-22,71936.92953333333,56055.7298,15881.199733333333
2025-03-23,117739.97726666667,58970.25715,58769.72011666667
2025-03-24,117425.17061666667,59426.673533333334,57998.497083333335
2025-03-25,118053.16781666667,57103.0431,60950.124716666665
2025-03-26,117704.6278,62112.07293333334,55592.554866666665
2025-03-27,117952.59836666667,59235.60896666667,58716.9894
2025-03-28,71891.76726666666,61069.8865,10821.880766666665
2025-03-29,72118.27746666667,64411.068283333334,7707.2091833333325
2025-03-30,117994.70585,62649.08615,55345.6197
2025-03-31,117075.66561666667,60124.27613333333,56951.38948333333
2025-04-01,117967.14630000001,57758.29478333333,60208.85151666667
2025-04-02,117986.62945,57551.29405,60435.3354
2025-04-03,117884.4561,62020.925833333335,55863.53026666667
2025-04-04,71735.75181666667,65304.94956666667,6430.80225
2025-04-05,72602.74256666667,60558.627583333335,12044.114983333333
2025-04-06,117205.43058333333,62795.354316666664,54410.07626666667
