month,B0,B1,P,E,PE
2025-02,1288181.070871107,1232335.3965844128,1214271.4400430715,2438205.5880635525,2328513.1024319646
2025-03,1295139.8247385956,1243923.1428996897,1150897.633277178,2255562.306174018,2180882.43548007
2025-04,1124344.05194995,1066757.7570405572,971322.8903103238,1839139.4627508484,1785785.8534398084
2025-05,1160585.4300086207,1159264.2783873102,1018486.8658030627,1725855.3672755708,1712412.5152425966
2025-06,1713557.6427231247,1686778.3702477552,1540979.387376441,2480357.6029553176,2305966.265389282
2025-07,1729319.6586137174,1856533.0358747677,1605033.4056356794,2587814.1885981984,2427235.4096675254
2025-08,1521160.398889044,1381904.1896577103,1304311.6174849782,2213034.650343501,2127267.340106034
2025-09,1570874.4089630824,1267726.0737223292,1179978.6873753427,2250784.7817558823,2032456.5419473266
2025-10,1450306.491060727,1224263.3633050036,1161709.3553653283,2353564.187627356,2153537.2529201824
2025-11,1536633.5835704342,1357722.8582229882,1290103.2995565562,2646192.8751014518,2440522.724703774
2025-12,1943580.8314622466,1900998.8848506855,1772415.263125569,3395040.5322806374,3176011.8601944554
