policy,binding,intervals,emergency_kwh,emergency_cost_yuan
q2_selected,energy_floor,4132,740303.1323057641,4272631.707021558
q2_selected,power_limit,314,11580.989389133527,73220.11844772536
q2_seasonal,energy_floor,2402,508154.06584059296,3039132.2478342825
q2_seasonal,power_limit,345,11695.525699999966,75417.52645247478
q2_no_storage,neither,21627,955491.7532256957,3834747.79793293
q3_no_update,energy_floor,2471,566316.0759072701,3510125.0129318405
q3_no_update,power_limit,264,7919.9697074670785,50358.37786081716
q3_corrected,energy_floor,1155,107536.96869231963,600511.5266987205
q3_corrected,power_limit,295,9257.783768030431,59348.01034321171
q42,energy_floor,4152,738423.249595121,4274561.476741868
q42,power_limit,273,9631.990646077888,73136.5499358156
q43_corrected,energy_floor,1242,110055.89443425467,617210.3628218712
q43_corrected,power_limit,278,8187.8316771393875,61865.57537089786
