month,no_update_total_cost_yuan,no_update_contract_cost_yuan,no_update_emergency_cost_yuan,all_A_total_cost_yuan,all_A_contract_cost_yuan,all_A_emergency_cost_yuan,all_B_total_cost_yuan,all_B_contract_cost_yuan,all_B_emergency_cost_yuan,all_A_saving_yuan,all_B_saving_yuan
2025-02,1319726.6025050932,1147471.0834641932,172255.51904090005,1212757.1539671384,1183379.4522503836,29377.70171675474,1211638.9238868572,1187976.5256873553,23662.39819950198,106969.44853795483,108087.67861823598
2025-03,1280702.3267310075,1044905.3141773542,235797.0125536532,1121987.6651388987,1099977.086417591,22010.5787213077,1118940.9786935502,1099089.6816241692,19851.29706938106,158714.6615921089,161761.34803745733
2025-04,1105089.614148022,849599.0929183253,255490.52122969652,946012.2817225718,902263.749054913,43748.53266765888,947326.0420003243,904680.0896215518,42645.95237877263,159077.3324254501,157763.57214769756
2025-05,1213012.0863715892,832974.4430906621,380037.64328092703,994586.3103484086,909088.8454872989,85497.46486110965,993917.8615834481,909633.3631610646,84284.4984223835,218425.77602318057,219094.2247881411
2025-06,1525648.9969875452,1163976.5327424093,361672.46424513595,1338015.2695482797,1243958.2781285949,94056.9914196849,1335196.6263223686,1241457.9694070504,93738.65691531826,187633.72743926547,190452.37066517654
2025-07,1922968.0435541002,1305990.0369213317,616978.0066327685,1557842.5706928202,1423062.524690639,134780.04600218122,1569202.3065010938,1434056.9799459544,135145.32655513933,365125.47286127997,353765.7370530064
2025-08,1431929.1828478763,1177246.689336764,254682.4935111124,1279843.038711614,1229742.6592363375,50100.37947527642,1282037.6412633287,1233880.1133736135,48157.52788971532,152086.14413626236,149891.5415845476
2025-09,1381413.456254495,1010765.9856751963,370647.4705792988,1189914.4159533961,1099390.6837059523,90523.73224744372,1182673.7905940798,1094812.2649208202,87861.5256732594,191499.04030109895,198739.6656604153
2025-10,1313787.0342207723,1034099.2640583048,279687.7701624675,1164409.6408745858,1101508.7116808817,62900.92919370403,1160386.0323253109,1099081.1757117265,61304.85661358424,149377.3933461865,153401.00189546146
2025-11,1449258.684656397,1169163.9804961374,280094.70416025963,1261958.0603212656,1239377.405647506,22580.654673759673,1263362.6797447598,1243138.3857167433,20224.294028016688,187300.62433513138,185896.00491163717
2025-12,1898531.9601585201,1545392.174762082,353139.78539643815,1705553.653944076,1621849.5559656427,83704.09797843342,1700358.3685376917,1618020.2326950554,82338.13584263634,192978.3062144441,198173.5916208285
