minute,baseline_energy_kwh,roundtrip_energy_kwh
0,6000.0,6000.0
10,6750.0,6790.569415042095
20,7500.0,7581.138830084188
30,8250.0,8371.708245126283
40,9000.0,9162.277660168378
50,9750.0,9952.847075210473
60,9750.0,9952.847075210473
70,9750.0,9952.847075210473
80,9750.0,9952.847075210473
90,10050.0,10009.430584957905
100,10050.0,10009.430584957905
110,10050.0,10009.430584957905
120,10050.0,10009.430584957905
130,10050.0,10009.430584957905
140,10050.0,10009.430584957905
150,10050.0,10009.430584957905
160,10050.0,10009.430584957905
170,10050.0,10009.430584957905
180,10050.0,10009.430584957905
190,10050.0,10009.430584957905
200,10050.0,10009.430584957905
210,10050.0,10009.430584957905
220,10050.0,10009.430584957905
230,10050.0,10009.430584957905
240,10050.0,10009.430584957905
250,10050.0,10009.430584957905
260,10050.0,10009.430584957905
270,10050.0,10009.430584957905
280,10050.0,10009.430584957905
290,10050.0,10009.430584957905
300,10050.0,10009.430584957905
310,10050.0,10009.430584957905
320,10050.0,10009.430584957905
330,10050.0,10009.430584957905
340,10800.0,10800.0
350,10800.0,10176.883517170843
360,10057.495685185186,9472.482074975587
370,9329.211981481481,8781.571489029515
380,8644.2075,8131.719178358281
390,7987.035851851852,7508.271411807804
400,7367.606000000001,6920.628657042048
410,6779.561888888889,6362.761030313976
420,6221.261092592593,5833.110389579378
430,5715.212685185185,5353.030717466908
440,5259.583018518519,4920.782462603918
450,4862.919925925926,4544.474811708261
460,4548.071518518518,4245.7833861830495
470,4191.755833333333,3907.7526468144392
480,3726.843111111111,3466.697712191019
490,3302.4977962962957,3064.1283994202167
500,2958.546296296296,2737.8273560307957
510,2664.5247407407405,2458.894017008409
520,2427.0349629629627,2233.591431372903
530,2228.636166666666,2045.3738069732806
540,2055.9782592592587,1881.576133939521
550,1931.2454814814807,1763.2442309422968
560,1859.6934074074068,1695.3639733273496
570,1834.62424074074,1671.5812736146383
580,1850.30590074074,1688.1111946454237
590,1897.8598907407402,1738.2375013883807
600,1973.96606574074,1818.4604537228356
610,2079.25129074074,1929.4408253772694
620,2211.24583074074,2068.5752870793367
630,2367.4140557407404,2233.1910501278867
640,2548.3402307407405,2423.903983908625
650,2751.2057357407402,2637.743002068717
660,2970.8140607407404,2869.2305021135494
670,3720.8140607407404,3507.960075595584
680,3966.1824407407403,3766.601057790819
690,4222.071325740741,4036.3316259644507
700,4643.792100000002,4310.787095492635
710,5393.792100000002,5101.35651053473
720,6143.792100000002,5891.925925576825
730,6893.792100000002,6682.49534061892
740,7643.792100000002,7473.064755661015
750,8393.792100000002,8263.63417070311
760,9143.792100000002,9054.203585745205
770,9417.888690000002,9343.126760173649
780,9655.945155000001,9594.060307216367
790,9874.20195,9824.123169552517
800,10074.969975,10035.751249663726
810,10253.853360000001,10224.310893717326
820,10413.477195000001,10392.569189534293
830,10550.043465,10536.522677785468
840,10658.074995,10650.397909089737
850,10737.108,10733.70601113223
860,10785.37038,10784.579026499083
870,10800.0,10800.0
880,10773.57625925926,10774.932238487243
890,10698.77624074074,10703.970710224856
900,10698.77624074074,10703.970710224856
910,10800.0,10800.0
920,10800.0,10800.0
930,10800.0,10800.0
940,10800.0,10800.0
950,10800.0,10800.0
960,10800.0,10800.0
970,10800.0,10800.0
980,10800.0,10800.0
990,10800.0,10800.0
1000,10800.0,10800.0
1010,10800.0,10800.0
1020,10800.0,10800.0
1030,10800.0,10800.0
1040,10800.0,10800.0
1050,10800.0,10800.0
1060,10800.0,10800.0
1070,10800.0,10800.0
1080,10800.0,10800.0
1090,10678.591944444444,10192.181866730589
1100,10678.591944444444,10192.181866730589
1110,10678.591944444444,10192.181866730589
1120,10678.591944444444,10192.181866730589
1130,9895.664981481481,9449.432133374212
1140,9110.682722222222,8704.732574748994
1150,8324.675537037037,7959.060686016112
1160,7537.394425925927,7212.18024503435
1170,6749.120111111112,6464.3575682873225
1180,5958.861833333334,5714.6527390133815
1190,5168.125722222223,4964.494597236855
1200,4377.631240740741,4214.565685454272
1210,3584.626703703704,3462.255525888955
1220,2789.8665370370372,2708.2798298164457
1230,1995.1700370370372,1954.3645332472456
1240,1200.0,1200.0
1250,1200.0,1200.0
1260,1200.0,1200.0
1270,1200.0,1200.0
1280,1200.0,1200.0
1290,1200.0,1200.0
1300,1200.0,1200.0
1310,1200.0,1200.0
1320,1950.0,1990.5694150420948
1330,2700.0,2781.1388300841895
1340,2700.0,2781.1388300841895
1350,3450.0,3571.708245126284
1360,4200.0,4362.277660168379
1370,4200.0,4362.277660168379
1380,4950.0,5152.847075210474
1390,4950.0,5152.847075210474
1400,4950.0,5152.847075210474
1410,5700.0,5943.416490252569
1420,6000.0,6000.0
1430,6000.0,6000.0
1440,6000.0,6000.0
