comparison_id,comparison_label,month,monthly_saving_yuan,cumulative_saving_yuan
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-02,-715.6859969285815,-715.6859969285815
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-03,2946.944958186159,2231.2589612575775
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-04,893.318337368095,3124.5772986256725
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-05,-571.8586943228474,2552.718604302825
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-06,295.3899055821348,2848.10850988496
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-07,-17951.376283750178,-15103.267773865218
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-08,2462.28884614406,-12640.978927721158
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-09,3921.036660282105,-8719.942267439053
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-10,-6036.029075851133,-14755.971343290186
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-11,7869.395483430006,-6886.575859860181
q42_ols_vs_fixed,Q4-2: OLS − fixed,2025-12,-71.25524815539393,-6957.8311080155745
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-02,513.7865786006969,513.7865786006969
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-03,6060.318859071966,6574.105437672662
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-04,428.4824161966353,7002.587853869298
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-05,-2473.674477543638,4528.91337632566
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-06,5107.437439765094,9636.350816090753
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-07,-2214.586994128764,7421.763821961989
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-08,26.982092876427487,7448.745914838417
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-09,-2108.3643445084617,5340.381570329955
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-10,-1790.9970438858709,3549.3845264440843
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-11,8316.33846642507,11865.722992869154
q43_ols_vs_fixed,Q4-3: OLS − fixed,2025-12,1325.4387931105302,13191.161785979684
