scope,population,grouping,group_value,n,target_hour_count,target_start,target_end,bias_kwh,mae_kwh,rmse_kwh
all_comparable,all_hours,overall,all,35003,8759,2025-01-01T02:00:00,2026-01-01T00:00:00,-30.049992922987556,198.16668037263474,416.04123695473345
all_comparable,all_hours,issue_hour,0,8759,8759,2025-01-01T02:00:00,2026-01-01T00:00:00,-26.965542925372002,192.95095488640254,365.14271827693227
all_comparable,all_hours,issue_hour,6,8754,8754,2025-01-01T07:00:00,2026-01-01T00:00:00,-8.741378632625093,126.90063370839998,229.15823466398246
all_comparable,all_hours,issue_hour,12,8748,8748,2025-01-01T13:00:00,2026-01-01T00:00:00,-29.775816872427985,208.60558145861913,498.4543797791665
all_comparable,all_hours,issue_hour,18,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-54.75266955502175,264.31035519903907,508.18587244099274
all_comparable,all_hours,lead_block,1,8759,8759,2025-01-01T02:00:00,2026-01-01T00:00:00,-2.848751202572593,98.88602713970394,173.2057043933651
all_comparable,all_hours,lead_block,2,8754,8754,2025-01-01T07:00:00,2026-01-01T00:00:00,-16.276251833447574,158.79119943073644,297.9373635857176
all_comparable,all_hours,lead_block,3,8748,8748,2025-01-01T13:00:00,2026-01-01T00:00:00,-39.23191427183356,226.79631824226493,434.62504282873124
all_comparable,all_hours,lead_block,4,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-61.90855592541752,308.42064168001224,620.5470042302068
all_comparable,all_hours,horizon_h,1,1459,1459,2025-01-01T07:00:00,2025-12-31T19:00:00,4.767540392963229,102.24814146675807,164.4906009183447
all_comparable,all_hours,horizon_h,2,1460,1460,2025-01-01T02:00:00,2025-12-31T20:00:00,-24.053899726027407,71.92053974885846,122.45363763803
all_comparable,all_hours,horizon_h,3,1460,1460,2025-01-01T03:00:00,2025-12-31T21:00:00,-20.248803059360725,85.79476920091324,146.84744978797897
all_comparable,all_hours,horizon_h,4,1460,1460,2025-01-01T04:00:00,2025-12-31T22:00:00,-9.906689018264846,95.84452568493151,170.16365967039224
all_comparable,all_hours,horizon_h,5,1460,1460,2025-01-01T05:00:00,2025-12-31T23:00:00,7.896830684931507,109.96819045662102,190.67526140065652
all_comparable,all_hours,horizon_h,6,1460,1460,2025-01-01T06:00:00,2026-01-01T00:00:00,24.457730148401815,127.54229909817354,225.98745398797251
all_comparable,all_hours,horizon_h,7,1459,1459,2025-01-01T07:00:00,2025-12-31T19:00:00,-0.3277683801690667,137.78216209732696,248.09975106759387
all_comparable,all_hours,horizon_h,8,1459,1459,2025-01-01T08:00:00,2025-12-31T20:00:00,-36.447887320082266,135.8579221612977,253.5113438315578
all_comparable,all_hours,horizon_h,9,1459,1459,2025-01-01T09:00:00,2025-12-31T21:00:00,-34.160029483664616,158.2021979095271,280.2472412316815
all_comparable,all_hours,horizon_h,10,1459,1459,2025-01-01T10:00:00,2025-12-31T22:00:00,-26.478212862691347,168.5916543522961,305.0299539915859
all_comparable,all_hours,horizon_h,11,1459,1459,2025-01-01T11:00:00,2025-12-31T23:00:00,-9.692792700479794,169.05719304318026,327.63788519355575
