,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,final_energy_kwh,emergency_cap_passed
B0,11987831.567381365,4345851.825469283,16333683.39285065,2723.6201529907166,False
B1,12263657.576506453,3114549.774286757,15378207.350793209,6434.175696518038,False
P_floor,13361564.945683166,661273.652815381,14022838.598498547,1978.550864081664,True
X_strong_morning85,13349990.093968334,644292.1650026435,13994282.258970976,2441.7299808642265,True
D56,13192899.64331837,769064.9879809994,13961964.631299369,2050.7156735114795,True
D28,13192732.276794404,767523.6020541328,13960255.878848536,2107.32236066208,True
D112,13075237.028039372,838655.4538288129,13913892.481868183,3139.6632536900206,True
D56_risk625,13305891.734961458,638539.0091512441,13944430.7441127,2060.3843307717225,True
D56_mu069,13294245.374508727,734215.8740113874,14028461.248520115,10727.473563485793,True
D56_mu0,13152123.533381976,920040.3155120017,14072163.848893978,1569.80464942619,True
D112_refined,13075951.327491276,839116.0512705041,13915067.37876178,3154.9801788010927,True
D56_risk625_refined,13305422.988062002,643672.7631423859,13949095.751204386,2054.975640064001,True
