policy,ordinary_saving_vs_P_floor_yuan,emergency_saving_vs_P_floor_yuan,total_saving_vs_P_floor_yuan,emergency_cost_yuan,passes_user_requirement
T_day_trim,185504.18552896753,-192258.44877172774,-6754.263242762536,853532.1015871086,False
T_evening_hedge,-120110.57167456299,129685.4630247415,9574.891350176185,531588.1897906393,True
T_rebalance,64490.55610255897,-40652.42851321283,23838.12758934498,701926.0813285937,True
T_soft,45836.91213258356,-26100.06107910839,19736.85105347447,687373.7138944892,True
T_strong,47329.209364160895,-21882.92516309279,25446.28420106694,683156.5779784736,True
T_morning_hedge,28159.1900392659,-2736.3298983142013,25422.860140949488,664009.982713695,True
R_guard,1530.5867731943727,0.0,1530.58677319251,661273.6528153808,True
R_mean,13152.637822426856,-21585.48219735641,-8432.844374932349,682859.1350127372,False
R_cost,59896.26554802805,-70920.10709829326,-11023.841550268233,732193.7599136741,False
R_w28,3525.3598435372114,-5972.2872926045675,-2446.9274490680546,667245.9401079854,False
X_morning90,-17870.924642842263,39907.62658671406,22036.70194386877,621366.0262286668,True
X_strong_morning85,11574.851714832708,16981.487812737352,28556.33952756971,644292.1650026435,True
X_day60,124327.88463691063,-117537.83023182955,6790.0544050801545,778811.4830472104,True
X_day50,263548.9137551673,-351125.1183589153,-87576.2046037484,1012398.7711742962,False
X_day60_morning85,89149.84620873444,-73053.5123227149,16096.333886018023,734327.1651380957,True
X_evening85_day60,292486.6378848534,-338009.65767837036,-45523.01979351789,999283.3104937512,False
X_uniform70,461828.60422343016,-565878.940310207,-104050.33608677797,1227152.5931255878,False
X_uniform75,244857.5444113128,-260936.435048835,-16078.890637524426,922210.0878642158,False
