policy,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,initial_energy_kwh,final_energy_kwh,inventory_value_yuan_per_kwh,inventory_adjusted_cost_yuan,emergency_share_of_load,emergency_intervals,emergency_days,solver_runtime_seconds,solver_max_runtime_seconds,solver_max_mip_gap,solver_failures,solver_fallbacks,wall_seconds,group,conditional,tau,residual_days,eta_charge,power_basis,terminal_target,evening_emergency_fee_share,floor_emergency_fee_share,risk_sample_min,risk_sample_max,risk_cold_start_days,reference_B0_policy,saving_vs_B0_yuan,saving_vs_B0_percent,inventory_adjusted_saving_vs_B0_yuan,reference_B1_policy,saving_vs_B1_yuan,saving_vs_B1_percent,inventory_adjusted_saving_vs_B1_yuan
B0,19839930.398287483,751884.1216948977,11987831.567381367,4345851.825469283,16333683.392850649,6468111.533041743,5243260.664473787,1427774.156447757,330363.1500750936,1097411.0063726634,334,48096,7268.4231640740745,2723.6201529907166,0.6895775000000001,16336817.386749024,0.020316756018460853,4446,324,8.751930335027282,0.05950454098638147,2.757153279003857e-16,0,0,17.049212958008866,main,False,0.8,28,0.9,AC_bus,equal_initial,0.7720530388743139,0.9831517222886864,0,0,0,B0,0.0,0.0,0.0,B1,-955476.0420574397,-6.2131822016833205,-958034.7576727569
B1,20243492.085644614,519849.5915405929,12263657.576506453,3114549.774286757,15378207.350793209,6632272.907899279,5372891.878119217,1564771.1524384758,420651.70110225386,1144119.4513362218,334,48096,7268.4231640740745,6434.175696518038,0.6895775000000001,15378782.629076267,0.01404692161049852,2747,306,8.902649167037453,0.060444041999289766,2.079371789209053e-16,0,0,17.326168457992026,main,False,0.8,28,0.9,AC_bus,equal_initial,0.7825456564898993,0.9757854162180646,0,0,0,B0,955476.0420574397,5.849727946089963,958034.7576727569,B1,0.0,0.0,0.0
P,22223636.400577143,105682.08824927587,13567664.565959878,641845.2793936513,14209509.845353533,6746890.389348881,5461802.79622026,3105041.400731131,1706751.3288019402,1398290.0719291908,334,48096,7268.4231640740745,10800.0,0.6895775000000001,14207074.549427956,0.002855649082789451,648,115,7.10921716595476,0.05058979199384339,5.243293391438093e-16,0,0,15.7055784999975,main,False,0.8,28,0.9,AC_bus,equal_initial,0.7871558507557453,0.9434224048357523,168,168,0,B0,2124173.547497116,13.004865445272923,2129742.837321067,B1,1168697.5054396763,7.599699228788165,1171708.0796483103
E,19850247.344730243,3120531.4397182236,11988496.010828802,14197055.53209753,26185551.542926334,3595448.8519855607,2915741.8369750134,4351882.274471253,1828987.958398367,2522894.316072887,334,48096,7268.4231640740745,3459.237756619964,0.6895775000000001,26188178.27147664,0.08432027499899492,18956,334,8.942428496971843,0.05752208399644587,2.757153279003857e-16,0,0,17.60779958301282,main,True,0.8,28,0.9,AC_bus,equal_initial,0.06410411485010145,0.022226507041366163,0,0,0,B0,-9851868.150075685,-60.3162673912726,-9851360.884727618,B1,-10807344.192133125,-70.27700918323019,-10809395.642400375
PE,22223647.131160684,2581410.273410217,13567684.042555237,11102907.258967781,24670591.301523015,3690524.3295425633,2986146.2877771426,6161489.867838817,3282235.5813750466,2879254.2864637705,334,48096,7268.4231640740745,10800.0,0.6895775000000001,24668156.00559744,0.06975261372749854,10119,334,7.201023874033126,0.04733812500489876,5.243293391438093e-16,0,0,15.956925166989095,main,True,0.8,28,0.9,AC_bus,equal_initial,0.018350546368420564,0.004652848979104541,168,168,0,B0,-8336907.908672366,-51.041199392425355,-8331338.618848415,B1,-9292383.950729806,-60.425664310284546,-9289373.376521172
P_tau07,21440994.21522002,197983.6459132336,13043026.746110868,1194769.7886925205,14237796.534803389,6897134.340472583,5583500.3966304585,2386154.4223244605,1123072.2110448964,1263082.2112795645,334,48096,7268.4231640740745,10800.0,0.6895775000000001,14235361.238877812,0.005349741155056244,1159,172,7.884103368051001,0.061404082996887155,3.8577457035614385e-16,0,0,16.557963708997704,risk_sensitivity,False,0.7,28,0.9,AC_bus,equal_initial,0.7655449944844667,0.9601932372967499,168,168,0,B0,2095886.85804726,12.831685343947846,2101456.147871211,B1,1140410.8159898203,7.4157591322307015,1143421.3901984543
P_tau09,23326825.0745268,40301.668673314925,14316921.447604675,246227.49779698616,14563148.945401661,6486526.665482037,5250908.179888116,4192318.762639529,2616349.7700025635,1575968.992636966,334,48096,7268.4231640740745,10800.0,0.6895775000000001,14560713.649476085,0.0010889964902129447,301,75,7.056418120875605,0.06258608399366494,3.6849710357311806e-16,0,0,15.73341125001025,risk_sensitivity,False,0.9,28,0.9,AC_bus,equal_initial,0.7853170380943699,0.9103672569941895,168,168,0,B0,1770534.4474489875,10.83977450073485,1776103.7372729387,B1,815058.4053915478,5.300087239033795,818068.9796001818
P_w14,22165183.107989706,101388.2570491921,13527036.86306573,621011.8739733943,14148048.737039126,6775991.356803436,5485374.57985845,3036765.0931272483,1648207.8593448873,1388557.233782361,334,48096,7268.4231640740745,10800.0,0.6895775000000001,14145613.44111355,0.0027396249264608034,652,130,7.404404585875454,0.044702582992613316,3.804331861617582e-16,0,0,16.055270249999012,risk_sensitivity,False,0.8,14,0.9,AC_bus,equal_initial,0.7935596830650764,0.9414864149271183,84,84,0,B0,2185634.655811522,13.381149880547994,2191203.9456354734,B1,1230158.6137540825,7.999362901623451,1233169.1879627164
P_w56,22177588.40286268,108294.21740319006,13543912.39369626,654521.0534349618,14198433.44713122,6751207.085104803,5465299.319782557,3060785.3599769548,1673893.369590038,1386891.9903869168,334,48096,7268.4231640740745,10800.0,0.6895775000000001,14195998.151205644,0.0029262317552751433,652,113,7.33913709197077,0.054989166994346306,3.9269035181148236e-16,0,0,16.206019792007282,risk_sensitivity,False,0.8,56,0.9,AC_bus,equal_initial,0.7751222934147386,0.9517395591807729,180,336,0,B0,2135249.9457194284,13.072678674878931,2140819.2355433796,B1,1179773.9036619887,7.671725817906441,1182784.4778706226
B0_terminal,19918323.945301898,708170.475229882,12008130.20098133,4257506.492641756,16265636.693623086,6621263.38818273,5364456.393260775,1430497.9306431569,329156.6988971586,1101341.2317459984,334,48096,7268.4231640740745,5898.3689054488195,0.6895775000000001,16266581.452213613,0.019135564044483563,3423,324,9.452465014735935,0.05453470798966009,2.549909014219343e-16,0,0,18.105913750012405,terminal,False,0.8,28,0.9,AC_bus,6000.0,0.7656443048938792,0.9827959819748296,0,0,0,B0_terminal,0.0,0.0,0.0,B1_terminal,-928830.6383934729,-6.056219496084427,-928770.4287184644
