date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-01-15,99208.58975845091,10756.424832380768,63580.69024863957,55435.890728270686,119016.58097691026,12130.947281424755,9433.76537590323,17197.48975197682,17197.48975197682,0.0,6000.0,6435.891024500913
2025-01-16,99674.15051375405,10454.687957627773,64030.69845058714,54031.061824203454,118061.76027479059,12113.212311088817,9206.665552348873,18148.14026264187,18148.14026264187,0.0,6435.891024500913,7108.153712982107
2025-01-17,53114.21392981558,6517.018645196896,28471.768870665197,29083.927775592583,57555.69664625778,11364.230390826355,8853.470204453044,14431.358921972502,8823.664383886753,5607.694538085748,7108.153712982107,7498.771948666889
2025-01-18,52944.94651855902,6671.598465572937,28090.492144349246,29592.51718502305,57683.0093293723,11682.52292575029,8711.11488411983,13402.627925834839,8068.69557855678,5333.932347278059,7498.771948666889,8334.026043931228
2025-01-19,97495.29489750111,10838.598713114898,62085.96199688227,55748.42265968513,117834.3846565674,12102.88444548748,9226.329138859335,16774.1988373212,16774.1988373212,0.0,8334.026043931228,8975.145223915148
2025-01-20,99137.51459860902,10359.27452749434,63556.62182693517,53467.018319364055,117023.64014629922,12181.606632034214,9159.952629451604,18408.058573520753,18408.058573520753,0.0,8975.145223915148,9760.866048910832
2025-01-21,99225.04080637256,8820.196719249981,63629.02052112303,45670.84587764101,109299.86639876403,11805.98558694214,8684.587245135308,21447.934500482384,20665.43461714905,782.4998833333336,9760.866048910832,10736.711693675083
2025-01-22,97851.66529663745,10523.341421937894,62862.57564706031,54153.884762009824,117016.46040907015,11243.64332895327,9050.391620759725,17282.99064371514,17282.99064371514,0.0,10736.711693675083,10800.0
2025-01-23,97433.46772066952,10708.198537212704,62511.58890165737,55076.28194937278,117587.87085103015,11103.660557505245,8993.96505157925,16466.045151956227,16466.045151956227,0.0,10800.0,10800.0
2025-01-24,50920.06077924373,7347.108659722291,26954.5477938506,32117.444477269306,59071.9922711199,10623.111869405751,8604.720614218655,16419.365033778922,8477.58443703459,7941.780596744333,10800.0,10800.0
2025-01-25,50968.198053917564,7225.863491337831,26905.2708243056,31581.275423431227,58486.54624773683,10773.349817206848,8726.41335193755,17707.54961331943,8466.2021771695,9241.34743614993,10800.0,10800.0
2025-01-26,95509.98453219458,10510.977020123775,60841.399211638935,53845.3875423908,114686.78675402974,11250.87408431208,9113.208008292784,16184.305442965728,16184.305442965728,0.0,10800.0,10800.0
2025-01-27,96441.8141380887,8968.95395255166,61637.03572059804,46218.867831070005,107855.90355166805,10957.669064261832,8875.711942052083,19133.894185097266,18935.399901763933,198.494283333333,10800.0,10800.0
2025-01-28,94635.86496540894,10892.24575652874,60147.12053978194,55489.3780156068,115636.49855538874,11421.836122555205,9251.687259269718,16377.56249198552,16377.56249198552,0.0,10800.0,10800.0
2025-01-29,96533.40711826301,8349.700655770235,61593.82605969356,43386.19760144458,104980.02366113814,10657.344286512198,8632.44887207488,21473.011309595928,21343.008309595927,130.00299999999947,10800.0,10800.0
2025-01-30,94866.02036392796,10055.24211310872,60263.34992280576,51738.061165190134,112001.4110879959,11347.088214360434,9191.141453631952,19022.73293297486,18795.171666308197,227.5612666666667,10800.0,10800.0
2025-01-31,47086.83884016242,7439.69206706076,24605.015487340206,31826.63193526952,56431.64742260973,10899.485829241376,8828.583521685512,13691.305549667315,6079.614994047888,7611.690555619426,10800.0,10800.0
