month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,unused_grid_kwh,policy
2025-02,1136377.8843320017,151803.18653910546,1288181.070871107,25534.96220022854,86803.31580486707,54050.43167813505,B0
2025-03,1018651.9644208234,276487.8603177722,1295139.8247385956,49613.18891513535,139309.3527544678,32864.18535330867,B0
2025-04,836500.6244502033,287843.4274997467,1124344.05194995,51017.162702706635,177435.79334925988,16997.529322979124,B0
2025-05,835007.7820375098,325577.6479711109,1160585.4300086207,57657.64220054797,192102.6311139232,12876.253188241239,B0
2025-06,1117385.3011013556,596172.3416217691,1713557.6427231247,104055.36236436912,86758.428668958,38212.54866595788,B0
2025-07,1304761.649938045,424558.0086756724,1729319.6586137174,75680.10391850659,128380.09073172612,46459.77731050576,B0
2025-08,1140962.2467783124,380198.1521107315,1521160.398889044,62687.417099486105,210694.3413013293,25149.017487666682,B0
2025-09,955684.1956288969,615190.2133341855,1570874.4089630824,103395.02436973139,185010.97738125347,41987.8780237967,B0
2025-10,975610.9092029216,474695.58185780543,1450306.491060727,82836.18540707558,140441.5162201404,15806.161928353185,B0
2025-11,1139812.1083983812,396821.4751720529,1536633.5835704342,67151.7133505631,42066.57334678153,9520.113901308267,B0
2025-12,1527076.9010929153,416503.93036933127,1943580.8314622466,72255.35916654726,38771.13577505022,36439.253214841025,B0
2025-02,1148866.9593852316,83468.4371991812,1232335.3965844128,13958.65309366666,90034.27480471396,56132.79162705964,B1
2025-03,1042534.7472761851,201388.39562350468,1243923.1428996897,32104.059140888883,156499.95001109873,44160.628181687214,B1
2025-04,860379.5024807085,206378.25455984857,1066757.7570405572,32216.308287345662,192247.61186858203,26374.44072708314,B1
2025-05,842743.9664987866,316520.3118885235,1159264.2783873102,49658.596647769475,203441.03026691187,16283.21261978992,B1
2025-06,1124712.7147464287,562065.6555013264,1686778.3702477552,95147.76476555168,96275.00202572017,45669.79537716048,B1
2025-07,1274714.2671029456,581818.7687718222,1856533.0358747677,104389.27763769371,106325.72817278614,28147.2941373952,B1
2025-08,1174371.1056274993,207533.08403021103,1381904.1896577103,31238.421239999985,212867.7322340217,25732.950775791258,B1
2025-09,1053889.5629500523,213836.51077227684,1267726.0737223292,34455.141787927954,248445.17790032006,87128.90389970277,B1
2025-10,1046869.8776715468,177393.4856334569,1224263.3633050036,29398.641728999966,179274.1359619341,45380.69887242794,B1
2025-11,1173523.4697626184,184199.3884603698,1357722.8582229882,30496.049580987637,53122.43572962959,19481.3473880658,B1
2025-12,1521051.4030044496,379947.48184623604,1900998.8848506855,66786.67762976133,26238.073462757147,26159.63749609048,B1
2025-02,1211872.3901153232,2399.049927748167,1214271.4400430715,522.0206828403311,164006.99378930067,122471.51653571163,P
2025-03,1116976.8384140488,33920.794863129275,1150897.633277178,5254.322860653053,238278.91406168617,112382.96052214401,P
2025-04,938236.497742668,33086.39256765579,971322.8903103238,5200.5034768341575,292481.6349315675,89150.31984382808,P
2025-05,973598.7711351493,44888.09466791331,1018486.8658030627,7137.481147417977,349116.5744498855,126475.39761348948,P
2025-06,1332488.7142259113,208490.6731505297,1540979.387376441,32687.275412997533,329951.9860380477,260741.3822841992,P
2025-07,1484282.6352046186,120750.77043106094,1605033.4056356794,20181.457331832415,337392.0816059434,235007.1822604019,P
2025-08,1254367.8493262057,49943.76815877256,1304311.6174849782,7667.929484128815,326653.843888682,104880.48578030524,P
2025-09,1113611.1865832433,66367.5007920994,1179978.6873753427,10928.44545843353,326771.9471161072,142492.6277429286,P
2025-10,1149824.3316710992,11885.023694228996,1161709.3553653283,2148.52607393349,313283.5982870671,147641.92903624466,P
2025-11,1289118.3836502254,984.9159063306178,1290103.299556556,205.69996543704372,186179.49005263712,136397.22358054458,P
2025-12,1703286.9678913865,69128.29523418249,1772415.2631255689,13748.426354767527,240924.3365102065,229110.30360214273,P
2025-02,1136419.910000381,1301785.6780631717,2438205.5880635525,271529.2094774073,388990.0037329719,270730.8005013996,E
2025-03,1018064.874092834,1237497.432081184,2255562.306174018,266754.55572768854,408891.5686564036,181969.8177587668,E
2025-04,836492.0602571992,1002647.4024936492,1839139.4627508484,226103.20707525715,393686.14033401606,67871.94583636725,E
2025-05,834823.6015248586,891031.765750712,1725855.3672755708,204094.7527059,372016.4908398982,36960.552014040884,E
2025-06,1118046.5417733013,1362311.061182016,2480357.6029553176,306581.57171535946,334314.4716126752,218783.00656067103,E
2025-07,1305135.3358101633,1282678.852788035,2587814.1885981984,289522.239791173,392223.8792182813,205768.7230163884,E
2025-08,1141979.4765676407,1071055.17377586,2213034.650343501,255316.58565748762,450513.86208374635,62556.70502599324,E
2025-09,955680.603931115,1295104.1778247673,2250784.7817558823,301670.8208444223,431724.1021094679,83267.69610346043,E
2025-10,975175.0884304283,1378389.0991969276,2353564.187627356,299206.6347354278,407685.47011954134,96599.73239382365,E
2025-11,1139764.5630004006,1506428.3121010514,2646192.8751014518,316214.3130115885,349493.2105637662,221280.15144617602,E
2025-12,1526913.9554404805,1868126.576840157,3395040.5322806374,383537.5489765119,422343.0752004857,383198.82774127956,E
2025-02,1211872.3901153232,1116640.7123166411,2328513.1024319646,237620.23927344813,456720.8439011621,323920.6321487097,PE
2025-03,1116976.8384140488,1063905.597066021,2180882.43548007,248758.52911732154,538901.3909217707,267284.8783244828,PE
2025-04,938236.497742668,847549.3556971402,1785785.8534398084,211785.46794318504,547524.800939408,170323.65210689793,PE
2025-05,973598.7711351493,738813.7441074472,1712412.5152425966,198665.87213743172,585571.3781412605,178240.37028904835,PE
2025-06,1332488.7142259113,973477.5511633706,2305966.265389282,226353.36379892478,569045.9223169702,422302.5983385507,PE
2025-07,1484282.6352046186,942952.7744629069,2427235.4096675254,229998.82707909498,596425.8714173787,380857.6252020584,PE
2025-08,1254384.1611192615,872883.1789867725,2127267.340106034,226219.47701400775,596470.5692342116,170165.25167779316,PE
2025-09,1113611.1865832433,918845.3553640832,2032456.5419473266,225505.0724847612,591681.3631979931,223948.2487021133,PE
2025-10,1149824.3316710992,1003712.921249083,2153537.2529201824,233909.55362931907,599408.3236640863,260245.34076835026,PE
2025-11,1289118.3836502254,1151404.3410535483,2440522.724703774,246751.026191138,490556.4360102926,335535.71741452656,PE
2025-12,1703290.1326936884,1472721.7275007672,3176011.8601944554,295842.8447415851,589182.9680942834,549411.2664025156,PE
2025-02,1178605.7780327126,22605.128628746937,1201210.9066614595,3967.7765679527624,116159.09203351173,80317.6859819808,P_tau07
2025-03,1079582.2754259538,76570.58566045735,1156152.8610864112,12727.28384755098,186554.519548949,71041.63203796893,P_tau07
2025-04,903473.3724933898,80630.85130868263,984104.2238020723,12282.702979469574,239404.12023246253,53725.59315593042,P_tau07
2025-05,931415.7889120727,70493.46527905155,1001909.2541911242,11320.622037819523,284070.2285270038,80104.15569129717,P_tau07
2025-06,1256575.1914590301,304225.8116790254,1560801.0031380556,48914.84915806893,234862.49784013964,176807.75503206384,P_tau07
2025-07,1408118.69636855,196100.14932866974,1604218.8456972197,33411.63856370318,239262.8863328105,145987.94207419478,P_tau07
2025-08,1206647.6343287583,124426.94836981813,1331074.5826985766,19617.020271752914,259673.92006360716,57462.0831379342,P_tau07
2025-09,1064290.3837973585,149126.48875417252,1213416.8725515308,24628.148393794618,265696.0021765791,100694.36302161105,P_tau07
2025-10,1108527.495603388,40930.795862079394,1149458.2914654673,6901.879275939728,253927.20018677894,102784.06409307808,P_tau07
2025-11,1255342.2573524415,8753.840526536504,1264096.0978789781,1580.175780211266,135019.94586743423,92932.82217838788,P_tau07
2025-12,1650447.8723372114,120905.72329528019,1771353.5956324916,22631.549036970147,171524.0095151841,161214.114640449,P_tau07
2025-02,1258493.334512066,1019.4957519937641,1259512.8302640598,224.49636786436554,235657.64613424538,186964.49644486498,P_tau09
2025-03,1167467.3955210934,10144.616751973264,1177612.0122730664,1486.1204726480587,314254.5297136008,174779.1651276882,P_tau09
2025-04,988711.5508045254,10083.245540740418,998794.7963452658,1676.4843761577795,375245.8086122552,152260.8262201664,P_tau09
2025-05,1038532.9960867774,19886.87921611321,1058419.8753028905,3291.6481908479086,448171.60834352707,201277.72720629766,P_tau09
2025-06,1453271.0132445002,96031.65107848628,1549302.6643229865,14487.61328225191,486344.5829320515,395445.9525471442,P_tau09
2025-07,1587034.8288281788,50400.997476514916,1637435.8263046937,8101.637218958129,476304.8951337615,358533.5597602418,P_tau09
2025-08,1321698.1323250537,9959.610727590836,1331657.7430526444,1580.907940905591,431309.7807230305,187968.258129187,P_tau09
2025-09,1183810.3714441895,14939.079402270641,1198749.45084646,2552.9848318120203,428186.2787879766,221750.45632122445,P_tau09
2025-10,1205215.6657728534,1050.2664589741703,1206265.9322318274,213.77451350578525,398623.02121960686,215575.4137465139,P_tau09
2025-11,1336490.6719823675,0.0,1336490.6719823675,0.0,258452.94194741285,198068.0549263112,P_tau09
2025-12,1776195.4870830695,32711.65539232864,1808907.142475398,6686.001478363381,339767.669092061,323725.8595729235,P_tau09
2025-02,1207227.5995540763,4427.489827058539,1211655.0893811348,882.209208819756,157304.186479781,116738.52102274126,P_w14
2025-03,1119901.7677989884,30284.552151013206,1150186.3199500018,4881.75988484069,242262.7693487299,115169.67699363979,P_w14
2025-04,938296.8808986914,39694.06410265807,977990.9450013494,6175.363994725135,292997.219690955,91388.5909186874,P_w14
2025-05,975108.8759246108,37568.554327703256,1012677.4302523141,6023.675941156626,349829.4542273717,127118.7264606362,P_w14
2025-06,1330201.4893278235,170706.05559685384,1500907.5449246773,26878.799650554145,318398.1709752925,249875.36217844885,P_w14
2025-07,1474570.3637396304,117790.24951757285,1592360.6132572033,19195.023337735765,323279.18913120683,222026.34377007137,P_w14
2025-08,1262130.7372001,41960.78044954157,1304091.5176496415,6445.809572846991,333772.1363431379,112949.02042687655,P_w14
2025-09,1119804.1718574364,99262.05267715098,1219066.2245345875,15894.532600351193,342481.4558854811,156585.8396866194,P_w14
2025-10,1136349.7013578536,22331.496233632257,1158681.197591486,3633.5028959426427,293433.85039606504,132953.19891758432,P_w14
2025-11,1278149.4571990888,1988.7076631886584,1280138.1648622775,408.94298059309585,171517.00186023166,123495.69742823411,P_w14
2025-12,1685295.8182074316,54997.87142702114,1740293.6896344528,10968.636981626063,211489.65878899582,199906.881541348,P_w14
2025-02,1222250.1033785038,2004.686840404294,1224254.790218908,444.20038694569723,179678.42824080604,135318.4112922005,P_w56
2025-03,1109131.4469501392,35786.38733727652,1144917.8342874157,5634.561296936484,225125.52344345744,101574.35097891414,P_w56
2025-04,935189.1249208219,35030.7078831411,970219.832803963,5504.925108654999,286924.90002054337,85717.13603421448,P_w56
2025-05,956220.6739964684,50114.833377715506,1006335.5073741839,7939.479087331466,328153.53762690263,106472.14988737882,P_w56
2025-06,1297463.2602993604,235170.92921415344,1532634.1895135138,37222.39343023709,278596.27212402044,216539.27831263508,P_w56
2025-07,1501385.7928016225,97937.46223013553,1599323.255031758,16670.298751743583,355174.9403164592,251445.5860167713,P_w56
2025-08,1273120.8690060915,28295.03101164508,1301415.9000177367,4323.482079862162,352202.0571845014,128700.62203814196,P_w56
2025-09,1092894.563677443,94242.70152998989,1187137.265207433,15367.770430986273,302574.51612368936,124919.83635400936,P_w56
2025-10,1153191.7519252494,7351.8573460555535,1160543.609271305,1323.4498868393903,316909.91886609147,150885.78968083154,P_w56
2025-11,1302364.0825057286,878.8959848275972,1303242.9784905564,183.10215465045138,205825.8305343842,154377.4121938183,P_w56
2025-12,1700700.7242348292,67707.56067961728,1768408.2849144465,13680.554789002459,229619.43549609944,217942.79680112272,P_w56
2025-02,1137302.6217578733,151526.39370955908,1288829.0154674323,25473.728432982334,86465.00068788337,53682.9262347985,B0_terminal
2025-03,1021225.7388776126,267746.75270739355,1288972.4915850062,45686.85444852337,139739.94678765285,32999.20776089495,B0_terminal
2025-04,839823.8436384406,273420.5828457183,1113244.426484159,44118.78276377011,178080.21863574273,17295.9499771888,B0_terminal
2025-05,840206.9454334698,311442.6462051492,1151649.5916386188,50565.0257893722,194128.76996669345,14628.035040749082,B0_terminal
2025-06,1120894.5821544197,580206.8617650204,1701101.4439194403,95415.81002950785,88295.94596200714,39742.13224886425,B0_terminal
2025-07,1308575.5597802447,417717.1321095116,1726292.6918897564,71295.85420669505,130601.26167161026,48591.99860978221,B0_terminal
