month,B0,B1,P,E,PE,P_tau07,P_tau09,P_w14,P_w56,B0_terminal,B1_terminal,P_terminal,B0_efficiency,B1_efficiency,P_efficiency,B0_power,B1_power,P_power,P_saving_vs_B0,P_saving_vs_B1
2025-02,1288181.070871107,1232335.3965844128,1214271.4400430715,2438205.5880635525,2328513.1024319646,1201210.9066614595,1259512.8302640598,1211655.0893811348,1224254.790218908,1288829.0154674323,1230910.447217114,1205301.6266941712,1244336.415894545,1190787.6268832537,1170063.4450778556,1290343.5611210007,1231465.0621549953,1212971.7996638406,73909.6308280355,18063.95654134129
2025-03,1295139.8247385956,1243923.1428996897,1150897.633277178,2255562.306174018,2180882.43548007,1156152.8610864112,1177612.0122730664,1150186.3199500018,1144917.8342874157,1288972.4915850062,1244237.3750937348,1139330.5327786221,1260397.3371426682,1210733.953451286,1107595.1970214886,1294399.036799081,1245809.7521116931,1151780.8498761808,144242.19146141753,93025.50962251164
2025-04,1124344.05194995,1066757.7570405572,971322.8903103238,1839139.4627508484,1785785.8534398084,984104.2238020723,998794.7963452658,977990.9450013496,970219.832803963,1113244.426484159,1066899.4644672698,960062.4268539054,1100570.826860441,1034146.8949873116,936012.6213306088,1123833.3959227065,1066341.091771931,970898.2079979568,153021.16163962614,95434.86673023332
2025-05,1160585.4300086207,1159264.2783873102,1018486.8658030627,1725855.3672755708,1712412.5152425966,1001909.2541911242,1058419.8753028905,1012677.4302523141,1006335.5073741839,1151649.5916386188,1159948.4453396637,999689.442866488,1129892.1564087404,1128994.272575016,979971.7583663467,1159612.412436635,1159802.1692615247,1019323.4923146466,142098.5642055581,140777.41258424748
2025-06,1713557.6427231247,1686778.3702477552,1540979.387376441,2480357.6029553176,2305966.265389282,1560801.0031380556,1549302.6643229865,1500907.5449246773,1532634.1895135138,1701101.4439194403,1677619.6514716211,1517544.33048037,1686429.4908481415,1656917.4289978903,1498073.4370118347,1712520.6611820734,1681785.9410333682,1540868.2994348924,172578.25534668379,145798.9828713142
2025-07,1729319.6586137174,1856533.0358747677,1605033.4056356794,2587814.1885981984,2427235.4096675254,1604218.8456972197,1637435.8263046937,1592360.6132572033,1599323.255031758,1726292.6918897564,1847223.2860892003,1580017.1702560594,1694085.270686775,1825088.987634812,1556769.2435351696,1728470.0106476396,1852545.3333799602,1603367.6164642281,124286.25297803796,251499.6302390883
2025-08,1521160.398889044,1381904.1896577103,1304311.6174849782,2213034.650343501,2127267.340106034,1331074.5826985766,1331657.7430526444,1304091.5176496415,1301415.9000177367,1517846.9962357269,1380834.3145590187,1292223.8232858463,1493158.992964967,1348303.0652466665,1263923.5581924208,1519741.6149122836,1381785.1183053497,1304092.2939457714,216848.78140406572,77592.572172732
2025-09,1570874.4089630824,1267726.0737223292,1179978.6873753427,2250784.7817558823,2032456.5419473266,1213416.8725515308,1198749.45084646,1219066.2245345875,1187137.265207433,1565250.0137355323,1254277.2873671502,1161486.8796492796,1545173.5655875683,1223918.4617692905,1140153.2774644985,1570082.0556249246,1268890.163391237,1184841.979412626,390895.7215877397,87747.38634698646
2025-10,1450306.491060727,1224263.3633050036,1161709.3553653283,2353564.187627356,2153537.2529201824,1149458.2914654673,1206265.9322318274,1158681.197591486,1160543.609271305,1443322.901917818,1214660.829257988,1142287.269985957,1422651.503726275,1182382.2950831787,1116810.4210061731,1449216.943933059,1221893.6413101922,1163843.7418904162,288597.1356953989,62554.00793967542
2025-11,1536633.5835704342,1357722.8582229882,1290103.2995565562,2646192.8751014518,2440522.724703774,1264096.0978789781,1336490.6719823675,1280138.1648622775,1303242.9784905564,1528446.6696181027,1358800.4671031735,1275793.4330104813,1495981.5169146983,1312635.7440660163,1243108.6837472443,1532179.9577936186,1356870.5041594747,1289697.0516398426,246530.28401387815,67619.55866643222
2025-12,1943580.8314622466,1900998.8848506855,1772415.263125569,3395040.5322806374,3176011.8601944554,1771353.5956324916,1808907.142475398,1740293.6896344528,1768408.2849144465,1940680.4511314943,1901394.48726368,1761891.8575884823,1891638.5382979177,1846683.3229156588,1711357.697906856,1939779.9538396744,1897814.4255210527,1768162.2712973247,171165.56833667753,128583.62172511658
