date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-01-15,93612.65658740122,1719.5767585666695,59508.25804305356,11487.882108723896,70996.14015177745,25282.081365160502,20589.475226920364,569.2842743944126,569.2842743944126,0.0,6000.0,5876.678532066268
2025-01-16,94064.95752385443,1527.1048333729034,59926.05845908676,8876.880340798258,68802.93879988501,24859.50793176501,20260.750594451005,1919.1535699133315,1919.1535699133315,0.0,5876.678532066268,5738.290565709219
2025-01-17,47626.843578346445,359.0083167697295,24848.24507627352,1933.5926981637974,26781.837774437317,20859.96100123736,17263.491027757802,1700.2684549699475,924.5387532591349,775.7297017108124,5738.290565709219,5330.598769314183
2025-01-18,47503.40703646436,582.6738748078342,24564.285526038773,3445.782697513983,28010.068223552757,20747.34446924684,17005.822517952533,1102.0499433112261,568.8897791065506,533.1601642046755,5330.598769314183,5107.850438355745
2025-01-19,92124.24376821273,1958.3853846698478,58244.528140682654,13122.169014019568,71366.69715470223,25137.347154811338,20338.272051955457,600.4145833600295,600.4145833600295,0.0,5107.850438355745,5133.3828199576565
2025-01-20,93567.8718861535,774.1439452516452,59520.74985653274,4858.271871905588,64379.02172843833,25530.435323457852,20477.467931844014,1221.9718897913035,1221.9718897913035,0.0,5133.3828199576565,5358.032464576377
2025-01-21,93763.20010325573,187.5506133909311,59655.50207160577,999.3617310225954,60654.863802628366,23681.0876382144,19020.84882057831,5814.6072156772425,5786.763882343909,27.843333333333135,5358.032464576377,5536.734871660107
2025-01-22,92571.60940924379,1218.0637674894763,58970.02215933497,7966.767433407009,66936.78959274199,24904.493714200886,20323.082545358015,309.4976412237254,309.4976412237254,0.0,5536.734871660107,5369.5763862653375
2025-01-23,92103.47553727393,2175.2539569114533,58588.46508289036,14266.07582552681,72854.54090841717,23977.79111664832,19404.461569760606,139.47434729766712,139.47434729766712,0.0,5369.5763862653375,5389.075535959259
2025-01-24,45527.710775922016,470.20567144693115,23512.115262864827,2434.942494257899,25947.057757122726,21193.950343470395,17372.851277123515,2347.4042310220707,1178.7272167732215,1168.6770142488494,5389.075535959259,5160.462759389817
2025-01-25,45551.05500313736,364.64234696743813,23550.794658552735,2167.932118884191,25718.72677743693,21087.515788882818,17028.69206480277,3417.2981593580803,1242.4845506461363,2174.813608711944,5160.462759389817,5218.458008492389
2025-01-26,90365.29320408923,2245.0355034352997,57081.90718472018,14827.715116279505,71909.62230099969,23979.929801196693,19363.487487058825,294.89636005332386,294.89636005332386,0.0,5218.458008492389,5285.408732837385
2025-01-27,91165.31901893593,258.8850166828207,57793.730112536905,1668.1882660326728,59461.91837856958,23588.738628050734,19267.460227610045,2908.0088518447265,2908.0088518447265,0.0,5285.408732837385,5106.984356294112
2025-01-28,89515.62936210792,2533.2657729065563,56426.05391225132,16275.934203595814,72701.98811584714,24249.270316731054,19718.297193487415,537.5226451041796,537.5226451041796,0.0,5106.984356294112,5022.10853747716
2025-01-29,91208.39393840542,17.43807820530799,57738.84560675027,101.28907725553144,57840.1346840058,22744.16021936689,18244.978872741394,5341.44961998524,5341.44961998524,0.0,5022.10853747716,5219.653987416927
2025-01-30,89710.29163933967,981.0282189495078,56522.59511766471,6142.63278831241,62665.22790597712,24664.0072400304,19951.24807404248,2235.9779089679205,2235.9779089679205,0.0,5219.653987416927,5249.207087841532
2025-01-31,42084.87640279086,713.5762792967374,21532.54552564327,4051.561036990995,25584.106562634264,21281.040022054218,17333.578501339183,86.66811137256673,86.66811137256673,0.0,5249.207087841532,5142.611439535689
