date,interval_start,interval_end,grid_plan_kwh,planned_cost_yuan
2025-03-20,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0
2025-03-20,2025-03-20T12:00:00,2025-03-20T12:10:00,480.2878833333333,211.8549853383333
2025-03-20,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0
2025-03-20,2025-03-20T16:00:00,2025-03-20T16:10:00,428.99676666666664,354.82322571
2025-03-20,2025-03-20T18:00:00,2025-03-20T18:10:00,697.4002166666668,876.0044121550002
2025-03-20,2025-03-20T20:00:00,2025-03-20T20:10:00,0.0,0.0
2025-06-21,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0
2025-06-21,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0
2025-06-21,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0
2025-06-21,2025-06-21T16:00:00,2025-06-21T16:10:00,118.12294999999995,97.69949194499995
2025-06-21,2025-06-21T18:00:00,2025-06-21T18:10:00,0.0,0.0
2025-06-21,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0
2025-09-23,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0
2025-09-23,2025-09-23T12:00:00,2025-09-23T12:10:00,422.5404166666664,186.38257779166653
2025-09-23,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0
2025-09-23,2025-09-23T16:00:00,2025-09-23T16:10:00,548.0609000000001,453.30117039000004
2025-09-23,2025-09-23T18:00:00,2025-09-23T18:10:00,764.1748666666667,959.8800500200001
2025-09-23,2025-09-23T20:00:00,2025-09-23T20:10:00,0.0,0.0
2025-12-21,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0
2025-12-21,2025-12-21T12:00:00,2025-12-21T12:10:00,886.9195833333332,391.22022820833325
2025-12-21,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0
2025-12-21,2025-12-21T16:00:00,2025-12-21T16:10:00,781.0102166666666,645.9735502049999
2025-12-21,2025-12-21T18:00:00,2025-12-21T18:10:00,720.8249333333333,905.42819876
2025-12-21,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0
