date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,3271.927584108104,338.6256333333333
2025-03-20,4,1079.9745833333336,5387.870616666667
2025-03-20,8,4729.1441,2777.3772166666668
2025-03-20,12,4358.013062551439,670.1993500000001
2025-03-20,16,104.14769999999976,6075.883316666666
2025-03-20,20,6833.866499225229,1234.5758791666653
2025-06-21,0,316.4616666666666,306.38169999999985
2025-06-21,4,772.2818899380135,1501.2653606666677
2025-06-21,8,10322.212416666667,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,81.66296666666665,5860.194033333332
2025-06-21,20,2081.828181255403,2636.4805833333335
2025-09-23,0,721.3236193415582,135.19438333333346
2025-09-23,4,573.3371430041188,7266.525283333333
2025-09-23,8,4130.01469855967,1451.059883333333
2025-09-23,12,5615.302883333334,640.3114565843623
2025-09-23,16,116.63038333333316,5820.714383333333
2025-09-23,20,9768.748830658442,1538.8569767489766
2025-12-21,0,4224.348805967092,419.0421166666665
2025-12-21,4,1859.9168499999998,1723.8919499999997
2025-12-21,8,5138.06245,7620.784589833336
2025-12-21,12,7883.667878600823,2344.24465
2025-12-21,16,151.27118333333328,5970.768583333333
2025-12-21,20,5957.7864,2303.7983556337635
