date,interval_start,interval_end,emergency_kwh,emergency_cost_yuan
2025-03-20,2025-03-20T01:00:00,2025-03-20T01:10:00,44.51658228283782,95.95549311065692
2025-03-20,2025-03-20T01:30:00,2025-03-20T01:40:00,26.57029249025925,57.285550608998946
2025-03-20,2025-03-20T01:40:00,2025-03-20T01:50:00,2.727438519135717,5.908995551707531
2025-03-20,2025-03-20T02:30:00,2025-03-20T02:40:00,8.969060776972356,19.4987381291379
2025-03-20,2025-03-20T03:00:00,2025-03-20T03:10:00,14.231823185988787,31.124997307757482
2025-03-20,2025-03-20T03:10:00,2025-03-20T03:20:00,50.517016360607386,110.40493925610743
2025-03-20,2025-03-20T03:20:00,2025-03-20T03:30:00,37.97174884272215,82.70246897944884
2025-03-20,2025-03-20T03:30:00,2025-03-20T03:40:00,18.051160665084012,39.28835118755535
2025-03-20,2025-03-20T03:40:00,2025-03-20T03:50:00,24.746669709518642,53.947739966750646
2025-03-20,2025-03-20T03:50:00,2025-03-20T04:00:00,34.848585799960915,76.28355431611445
2025-03-20,2025-03-20T04:30:00,2025-03-20T04:40:00,2.1024198817237902,4.617965270206306
2025-03-20,2025-03-20T04:40:00,2025-03-20T04:50:00,5.631993443869646,12.452337504395787
2025-03-20,2025-03-20T04:50:00,2025-03-20T05:00:00,13.934209427731957,30.620425217440975
2025-03-20,2025-03-20T05:00:00,2025-03-20T05:10:00,20.277800467582892,43.93185471301834
2025-03-20,2025-03-20T05:10:00,2025-03-20T05:20:00,31.800566754001352,70.581357910506
2025-03-20,2025-03-20T05:40:00,2025-03-20T05:50:00,51.19296766205969,146.10472970751835
2025-03-20,2025-03-20T05:50:00,2025-03-20T06:00:00,827.015,3762.5047425
2025-03-20,2025-03-20T06:00:00,2025-03-20T06:10:00,791.9499333333334,3709.493487733334
2025-03-20,2025-03-20T06:10:00,2025-03-20T06:20:00,709.9633166666667,3108.929363683334
2025-03-20,2025-03-20T06:20:00,2025-03-20T06:30:00,671.3708333333334,2940.2685645833335
2025-03-20,2025-03-20T06:30:00,2025-03-20T06:40:00,629.0448666666667,2705.2074491
2025-03-20,2025-03-20T06:40:00,2025-03-20T06:50:00,586.1559166666666,2474.16412425
2025-03-20,2025-03-20T06:50:00,2025-03-20T07:00:00,531.1820833333334,2213.43574125
2025-03-20,2025-03-20T07:00:00,2025-03-20T07:10:00,130.32847307573513,527.3090020644244
2025-03-20,2025-03-20T07:40:00,2025-03-20T07:50:00,334.5780666666666,1438.6856866666662
2025-03-20,2025-03-20T07:50:00,2025-03-20T08:00:00,488.1795833333334,2835.591109791667
2025-03-20,2025-03-20T08:00:00,2025-03-20T08:10:00,482.8038500000001,2820.2986897750006
2025-03-20,2025-03-20T08:10:00,2025-03-20T08:20:00,438.3713999999999,2401.3985291999993
2025-03-20,2025-03-20T08:20:00,2025-03-20T08:30:00,411.15750000000014,2230.323858750001
2025-03-20,2025-03-20T08:30:00,2025-03-20T08:40:00,332.67218333333335,1764.8259325833333
2025-03-20,2025-03-20T08:40:00,2025-03-20T08:50:00,278.0051333333332,1449.7967703333327
2025-03-20,2025-03-20T08:50:00,2025-03-20T09:00:00,262.8204166666668,1361.409758333334
2025-03-20,2025-03-20T09:00:00,2025-03-20T09:10:00,221.28376666666657,1122.6831901833327
2025-03-20,2025-03-20T09:10:00,2025-03-20T09:20:00,150.51836666666657,746.7216170333329
2025-03-20,2025-03-20T09:20:00,2025-03-20T09:30:00,77.18541666666658,374.3492708333329
2025-03-20,2025-03-20T09:30:00,2025-03-20T09:40:00,36.094749999999976,170.0423672499999
2025-03-20,2025-03-20T09:40:00,2025-03-20T09:50:00,41.25734999999986,197.39579107499932
2025-03-20,2025-03-20T09:50:00,2025-03-20T10:00:00,45.20708333333346,225.51553520833397
2025-03-20,2025-03-20T14:10:00,2025-03-20T14:20:00,18.553899999999885,92.56540709999942
2025-03-20,2025-03-20T14:20:00,2025-03-20T14:30:00,39.5170833333334,202.93998145833368
2025-03-20,2025-03-20T14:30:00,2025-03-20T14:40:00,70.29328333333319,383.30927401666594
2025-03-20,2025-03-20T14:40:00,2025-03-20T14:50:00,126.35851666666679,592.3687261333339
2025-03-20,2025-03-20T15:40:00,2025-03-20T15:50:00,0.7525734868011114,2.943691193622547
2025-03-20,2025-03-20T15:50:00,2025-03-20T16:00:00,46.45270442191986,187.08826705928223
2025-03-20,2025-03-20T16:00:00,2025-03-20T16:10:00,41.78497112835635,172.80174810131766
2025-03-20,2025-03-20T16:10:00,2025-03-20T16:20:00,16.543101120726647,70.46533922373516
2025-03-20,2025-03-20T16:20:00,2025-03-20T16:30:00,10.140137019784447,44.57097227046254
2025-03-20,2025-03-20T16:30:00,2025-03-20T16:40:00,32.471766184590024,146.5126090248702
2025-03-20,2025-03-20T16:40:00,2025-03-20T16:50:00,44.22123324218967,202.59958009909198
2025-03-20,2025-03-20T16:50:00,2025-03-20T17:00:00,33.34854587976088,154.47046451505238
2025-03-20,2025-03-20T17:00:00,2025-03-20T17:10:00,27.656472854433673,130.8427730743257
2025-03-20,2025-03-20T17:10:00,2025-03-20T17:20:00,54.48219721625776,265.3827826403915
2025-03-20,2025-03-20T17:20:00,2025-03-20T17:30:00,89.31094338697892,440.39226184119303
2025-03-20,2025-03-20T17:30:00,2025-03-20T17:40:00,78.06174899442442,380.9413350927912
2025-03-20,2025-03-20T17:40:00,2025-03-20T17:50:00,52.79231019321003,283.5474980477311
2025-03-20,2025-03-20T17:50:00,2025-03-20T18:00:00,49.28489993627579,303.42248645768194
2025-03-20,2025-03-20T18:00:00,2025-03-20T18:10:00,67.76739325857784,425.6131133604981
2025-03-20,2025-03-20T18:10:00,2025-03-20T18:20:00,61.426020453802494,382.2848382942398
2025-03-20,2025-03-20T18:20:00,2025-03-20T18:30:00,21.074159905294664,132.18766800596077
2025-03-20,2025-03-20T18:30:00,2025-03-20T18:40:00,2.880603380882235,18.035457767703672
2025-03-20,2025-03-20T18:40:00,2025-03-20T18:50:00,21.389397090919147,137.75841196406478
2025-06-21,2025-06-21T00:10:00,2025-06-21T00:20:00,4.422500146128641,9.386756560158041
2025-06-21,2025-06-21T00:20:00,2025-06-21T00:30:00,56.39863872873627,120.38289436648758
2025-06-21,2025-06-21T01:20:00,2025-06-21T01:30:00,43.27217369628596,92.5808156232038
2025-06-21,2025-06-21T01:30:00,2025-06-21T01:40:00,9.435269989571793,20.342442097516788
2025-06-21,2025-06-21T01:40:00,2025-06-21T01:50:00,10.276222020528621,22.26343500747526
2025-06-21,2025-06-21T01:50:00,2025-06-21T02:00:00,51.68989018685909,111.41755829777476
2025-06-21,2025-06-21T02:00:00,2025-06-21T02:10:00,21.4006913135741,45.936583904586804
2025-06-21,2025-06-21T02:10:00,2025-06-21T02:20:00,2.4477756866553477,5.292091034548862
2025-06-21,2025-06-21T02:20:00,2025-06-21T02:30:00,12.068736994603285,26.35208722771627
2025-06-21,2025-06-21T02:50:00,2025-06-21T03:00:00,40.6206987743422,88.49219227990447
2025-06-21,2025-06-21T03:00:00,2025-06-21T03:10:00,28.840376878613256,63.0739042335272
2025-06-21,2025-06-21T03:10:00,2025-06-21T03:20:00,25.206608981575926,55.08904392923418
2025-06-21,2025-06-21T03:20:00,2025-06-21T03:30:00,30.72397167563463,66.91681030953222
2025-06-21,2025-06-21T03:50:00,2025-06-21T04:00:00,192.24012357708182,420.8136305102321
2025-06-21,2025-06-21T04:00:00,2025-06-21T04:10:00,474.28198333333336,1043.657504325
2025-06-21,2025-06-21T04:10:00,2025-06-21T04:20:00,458.1585,1005.42882825
2025-06-21,2025-06-21T04:30:00,2025-06-21T04:40:00,442.95328333333333,972.9468868416668
2025-06-21,2025-06-21T04:40:00,2025-06-21T04:50:00,450.38674999999995,995.8051042499998
2025-06-21,2025-06-21T04:50:00,2025-06-21T05:00:00,454.17416666666674,998.0477312500001
2025-06-21,2025-06-21T05:00:00,2025-06-21T05:10:00,74.07903664331138,160.4922328877341
2025-06-21,2025-06-21T05:10:00,2025-06-21T05:20:00,390.48345,866.678017275
2025-06-21,2025-06-21T05:20:00,2025-06-21T05:30:00,15.413603124020312,33.146953518205684
2025-06-21,2025-06-21T05:30:00,2025-06-21T05:40:00,26.813302960242822,49.7788969456908
2025-06-21,2025-06-21T05:40:00,2025-06-21T05:50:00,337.0349166666666,961.8976521666666
2025-06-21,2025-06-21T05:50:00,2025-06-21T06:00:00,308.49,1403.475255
2025-06-21,2025-06-21T06:00:00,2025-06-21T06:10:00,291.9625,1367.55235
2025-06-21,2025-06-21T06:10:00,2025-06-21T06:20:00,246.47136666666668,1079.2981146333336
2025-06-21,2025-06-21T06:20:00,2025-06-21T06:30:00,166.35125000000005,728.5352993750002
2025-06-21,2025-06-21T06:30:00,2025-06-21T06:40:00,97.38518333333332,418.8049809249999
2025-06-21,2025-06-21T06:40:00,2025-06-21T06:50:00,86.21210000000002,363.9012741000001
2025-06-21,2025-06-21T06:50:00,2025-06-21T07:00:00,100.8366666666667,420.18639000000013
2025-06-21,2025-06-21T07:00:00,2025-06-21T07:10:00,63.282299999999964,256.04018579999985
2025-06-21,2025-06-21T07:10:00,2025-06-21T07:20:00,21.927683333333334,87.40374576666667
2025-06-21,2025-06-21T17:30:00,2025-06-21T17:40:00,9.200287816248078,44.89740454329062
2025-06-21,2025-06-21T17:40:00,2025-06-21T17:50:00,9.661828930318507,51.8936831847407
2025-09-23,2025-09-23T01:00:00,2025-09-23T01:10:00,29.074208876237662,62.66945723273028
2025-09-23,2025-09-23T01:30:00,2025-09-23T01:40:00,14.101546643444067,30.40293456326541
2025-09-23,2025-09-23T01:40:00,2025-09-23T01:50:00,9.637891725158852,20.880492422556653
2025-09-23,2025-09-23T02:10:00,2025-09-23T02:20:00,45.74429381309915,98.89916322392035
2025-09-23,2025-09-23T02:20:00,2025-09-23T02:30:00,12.043695584649527,26.29740930908224
2025-09-23,2025-09-23T03:20:00,2025-09-23T03:30:00,5.616101456045726,12.231868971267591
2025-09-23,2025-09-23T03:50:00,2025-09-23T04:00:00,12.537068376982802,27.443642677215355
2025-09-23,2025-09-23T04:20:00,2025-09-23T04:30:00,1.1576281247862426,2.525944568283581
2025-09-23,2025-09-23T04:50:00,2025-09-23T05:00:00,20.726504757632824,45.546494204898124
2025-09-23,2025-09-23T05:00:00,2025-09-23T05:10:00,36.80816208380929,79.74488315457283
2025-09-23,2025-09-23T05:10:00,2025-09-23T05:20:00,21.504564090413055,47.729379998671774
2025-09-23,2025-09-23T05:40:00,2025-09-23T05:50:00,85.92728104555954,245.23646010402695
2025-09-23,2025-09-23T05:50:00,2025-09-23T06:00:00,790.6233333333333,3596.9408550000003
2025-09-23,2025-09-23T06:00:00,2025-09-23T06:10:00,793.7720833333333,3718.0284383333333
2025-09-23,2025-09-23T06:10:00,2025-09-23T06:20:00,742.6598166666668,3252.107337183334
2025-09-23,2025-09-23T06:20:00,2025-09-23T06:30:00,690.4687499999999,3023.9078906249997
2025-09-23,2025-09-23T06:30:00,2025-09-23T06:40:00,630.5840166666667,2711.8265636749998
2025-09-23,2025-09-23T06:40:00,2025-09-23T06:50:00,584.88215,2468.78755515
2025-09-23,2025-09-23T06:50:00,2025-09-23T07:00:00,546.2125000000001,2276.0674875000004
