date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,43317.89752777778,0.0,22259.88302372364,0.0,22259.88302372364,19936.505784156376,15773.06216666667,4776.27797695474,1790.1479969135848,2986.129980041155,7268.4231640740745,7685.653740185182
2025-02-02,89165.92964855967,0.0,56112.123282406785,0.0,56112.123282406785,22926.76239444445,18206.920550000003,6089.809854115219,6071.059562962954,18.750291152265277,7685.653740185182,8089.828172962958
2025-02-03,86888.54030041152,0.0,54397.74444309716,0.0,54397.74444309716,24125.0904845679,19315.46386666667,1861.9971825102873,1861.9971825102873,0.0,8089.828172962958,8340.78309055555
2025-02-04,88721.57981522633,0.0,55549.062627984444,0.0,55549.062627984444,24810.297373662546,19852.052116666666,2568.4706082304524,2568.4706082304524,0.0,8340.78309055555,8612.215041666659
2025-02-05,89760.54329999999,63.64457750000065,56549.733449646665,443.98457264000456,56993.71802228667,23629.05828950617,18951.694372500002,4398.396977160493,4398.396977160493,0.0,8612.215041666659,8820.929310555548
2025-02-06,89421.34474176954,29.408100000000104,56281.73038491827,171.32531990000058,56453.055704818275,23097.633994650205,18351.619349999997,4433.680980452675,4432.280163786008,1.400816666666742,8820.929310555548,9218.111739074071
2025-02-07,41942.272632510285,36.7672833333347,21512.11761236008,169.49071143333975,21681.60832379342,20020.93220185185,16137.188899999997,6289.616947325101,2240.6749547325085,4048.941992592592,9218.111739074071,9306.74083185185
2025-02-08,37691.992924074075,103.9723058333409,19386.921712390184,614.6682525879619,20001.589964978146,19477.166096707824,15785.238060833326,2526.8744773662474,170.7711748971181,2356.103302469129,9306.74083185185,9297.036917962963
2025-02-09,82116.64629780246,2112.5847438333417,51050.01648674948,13058.178202188961,64108.19468893844,23338.54077530864,18945.45266083333,280.726960493826,280.726960493826,0.0,9297.036917962963,9251.22065925926
2025-02-10,85229.01331049383,26.891050833334496,53106.34365721366,122.99198611292205,53229.33564332659,21524.106551028803,17586.712532499998,6991.8727594650245,6582.063245473256,409.80951399176854,9251.22065925926,9082.124852407407
2025-02-11,78841.40021483334,1166.5464923333384,48656.87412595552,6566.553712528616,55223.42783848414,23610.795841358024,19138.046559499995,314.60029197530946,314.60029197530946,0.0,9082.124852407407,9067.344932407406
2025-02-12,80216.04712316666,633.3264393333391,49657.96280243783,4188.015906206039,53845.978708643874,23373.69022757202,18947.34197083333,1156.2891724279757,1097.3297390946423,58.959433333333436,9067.344932407406,9051.063947407405
2025-02-13,80582.00762453703,158.8238113333334,50056.37120711203,1015.0522792945837,51071.42348640662,21375.348398148148,17293.9729845,5329.977005555554,4933.3350648148125,396.64194074074146,9051.063947407405,9073.351967407405
2025-02-14,35391.4818486749,377.7443588333316,18222.32293377532,2275.5179785289893,20497.840912304306,19862.615602674894,16122.907611833329,2227.7163999999975,87.08274999999935,2140.6336499999984,9073.351967407405,9035.36421888889
2025-02-15,35457.68126287655,236.3090166666649,18343.41260631154,1125.8003240083226,19469.212930319864,19605.004334567893,16033.466363666666,2842.3612086419844,102.70191831275812,2739.659290329226,9035.36421888889,8864.905493703704
2025-02-16,79206.17255864198,854.220797166661,48750.57598979218,4698.0489505029645,53448.62494029514,23704.111341975306,19259.061869500005,237.96478333333255,237.96478333333255,0.0,8864.905493703704,8799.648068703704
2025-02-17,79960.6497872428,210.12869966666034,49198.48528430924,1459.5855216746227,50658.07080598386,20969.826243004114,16994.365267000005,5011.454344238683,4216.973144238682,794.4812000000005,8799.648068703704,8789.863612962965
2025-02-18,76064.16567818931,864.254859166659,46571.739147503606,5923.696836741198,52495.4359842448,23034.201511522635,18613.42339083334,416.2546333333329,416.2546333333329,0.0,8789.863612962965,8839.063427962963
2025-02-19,76554.60164433334,1630.1947025000031,46899.854354315336,8847.291091241024,55747.145445556365,23494.488533333333,19281.447836499996,1092.4282666666631,1092.4282666666631,0.0,8839.063427962963,8560.272178518519
2025-02-20,76782.4669285,234.63069299999802,47311.91048134618,1401.625851767988,48713.53633311417,22523.64665390946,18345.816257,1846.133491257202,1846.133491257202,0.0,8560.272178518519,8447.313881481481
