date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,41300.65260125389,0.0,21101.199441458302,0.0,21101.199441458302,18493.004319946212,16240.287077951596,4669.759425925937,1551.9397055555603,3117.819720370376,7268.4231640740745,7693.661819407209
2025-02-02,86923.02648028554,0.0,54162.07289344778,0.0,54162.07289344778,22782.649734336886,20079.367639236534,5863.46643518518,5804.292368518512,59.174066666666704,7693.661819407209,8141.669202419065
2025-02-03,84686.04486176702,0.0,52515.07030405425,0.0,52515.07030405425,23809.447688040593,21168.2505059032,1827.9311796296217,1827.9311796296217,0.0,8141.669202419065,8415.999333315365
2025-02-04,86582.56809510035,0.0,53625.959330453225,0.0,53625.959330453225,25142.07355652824,22339.865761257155,2585.496349829262,2585.496349829262,0.0,8415.999333315365,8719.578452089869
2025-02-05,87584.9604469522,70.0422750000015,54538.35413782653,464.9261736000109,55003.28031142654,23414.754197299866,20863.555447569866,4355.376988888873,4353.324488888873,2.0524999999998954,8719.578452089869,8940.646252514909
2025-02-06,87223.76484569832,29.408100000000104,54311.75551704039,171.32531990000058,54483.08083694038,23206.652910686957,20390.02076128493,4165.483579629626,4164.082762962959,1.400816666666742,8940.646252514909,9463.441224612041
2025-02-07,39934.486677179804,0.0,20382.918171677204,0.0,20382.918171677204,18548.587029205482,16641.315844618264,6221.535825925921,1813.7213685185195,4407.814457407402,9463.441224612041,9518.688831241538
2025-02-08,36402.96036714598,81.34560833333467,18532.458909128894,401.48124992917326,18933.940159058067,19235.252093144227,17316.445258829794,2988.3364244982145,200.15464074074,2788.1817837574745,9518.688831241538,9513.71522728994
2025-02-09,79981.61223769294,2192.7815250000026,49157.16511403634,12714.433499650846,61871.59861368719,23508.32173248503,21201.396347569862,312.0524111111117,312.0524111111117,0.0,9513.71522728994,9467.433408664525
2025-02-10,83049.57440991516,15.028333333333308,51211.667856161206,68.37140249999989,51280.0392586612,21289.91975655911,19299.9132559032,6747.958659259256,6248.295625925923,499.6630333333335,9467.433408664525,9320.929854437723
2025-02-11,76754.81225125388,1377.9916350000012,46868.99073405314,7065.693445751675,53934.68417980482,23317.87558105734,21000.867942951598,595.1991148148007,595.1991148148007,0.0,9320.929854437723,9305.350450826028
2025-02-12,78090.02768769294,940.909706666674,47891.925780588084,6285.444319080049,54177.37009966814,22775.961793596154,20514.646599236527,1502.8860666666556,1443.9266333333221,58.959433333333436,9305.350450826028,9288.188785775685
2025-02-13,78547.41145435961,180.7508383333328,48218.27437706411,1105.7550271299974,49324.02940419411,21774.170580633185,19572.84868423653,5197.361379629629,4964.454212962962,232.90716666666685,9288.188785775685,9313.38669785283
2025-02-14,34200.529488812645,313.65552666667156,17387.828693113428,1548.562753383359,18936.391446496786,19840.616380181247,17903.327735496452,2775.094554127852,87.08274999999935,2688.011804127853,9313.38669785283,9264.083633880427
2025-02-15,34269.55153955339,235.97286666666747,17510.414318309973,1149.393231150004,18659.80754945998,19596.543069070136,17805.958968829786,3434.849205979703,111.30169814814883,3323.5475078315544,9264.083633880427,9085.867988033076
2025-02-16,77068.68106361887,894.4021300000081,47029.361621672106,4913.79449026005,51943.156111932156,23240.683808410962,20966.806192569857,311.82647777777527,311.82647777777527,0.0,9085.867988033076,9032.962276397657
2025-02-17,77849.4986543596,198.54893666666158,47463.192632388425,1378.8050949866313,48841.997727375056,20822.128338040584,18745.010935903203,4787.067022222222,3992.5858222222214,794.4812000000005,9032.962276397657,9027.591219821517
2025-02-18,73860.8863395448,880.3711272048456,44891.44150173189,6032.393006524748,50923.83450825664,21818.509050829733,19576.351800746754,407.7124333333329,407.7124333333329,0.0,9027.591219821517,9091.159689008153
2025-02-19,74349.39542269295,1650.966157048396,45155.78102546152,8785.688424464612,53941.46944992613,22408.888857011047,20433.470713854804,1145.6160532517622,1077.1075991239086,68.50845412785367,9091.159689008153,8811.328956148851
2025-02-20,74639.3200006559,233.81058333333056,45572.95659283803,1395.9047667333157,46968.861359571354,22262.91231026281,20145.88177256987,1762.9663129629657,1762.9663129629657,0.0,8811.328956148851,8696.158072928014
2025-02-21,33479.10731241877,0.0,16979.4113590158,0.0,16979.4113590158,18988.308494020293,17166.668713333333,6097.205498398477,139.7215201965517,5957.483978201925,8696.158072928014,8614.791542207284
2025-02-22,33428.64436033932,121.61493833333242,16963.655795799663,589.2131304941622,17552.868926293824,18939.539732485035,17197.439934236525,3963.3966170908125,203.40878333333262,3759.9878337574796,8614.791542207284,8454.723187138687
2025-02-23,75757.62025125389,108.05418499999928,46108.29038344493,612.3221173899948,46720.61250083492,22624.73149587215,20496.0004929516,2205.0897499999983,1821.5388958721455,383.55085412785263,8454.723187138687,8313.74658626303
2025-02-24,73540.3466271798,525.262881666664,44443.76399678296,3404.949965139983,47848.71396192294,20909.130564390667,18824.367329618268,3777.8126574073985,2693.1384384647363,1084.6742189426623,8313.74658626303,8307.264105039523
2025-02-25,71070.32929139664,154.55081999999996,42976.57410951351,704.3696939933336,43680.943803506845,21269.20602692948,19309.87436923653,3444.2252203703633,2304.084173649916,1140.1410467204473,8307.264105039523,8130.609846084626
2025-02-26,68748.18094880406,2520.7184466666617,41619.606784154916,16985.550513303308,58605.15729745822,20133.61538618874,17980.527092569868,300.96306851851784,300.96306851851784,0.0,8130.609846084626,8277.894778039397
2025-02-27,71048.85952287813,1645.5965066666706,42861.39628029684,8419.116411288353,51280.512691585194,22021.069652855407,19739.84058256986,3456.642759259255,2820.5787592592555,636.0639999999993,8277.894778039397,8361.296799728398
2025-02-28,32595.627584968945,159.68527333333185,16351.305546033316,757.3396390533261,17108.645185086643,18716.068604707252,16859.272954236527,7605.923657831555,233.7183333333328,7372.205324498222,8361.296799728398,8345.684413560708
2025-03-01,32599.462611635612,233.8345083333359,16436.54174759116,1154.0902158791794,17590.63196347034,17813.231884336874,16013.388075903187,7374.687378201928,76.71123333333276,7297.976144868596,8345.684413560708,8365.206861186862
2025-03-02,74838.4503969522,2273.1081049999984,45653.74070320931,15219.264822704157,60873.00552591347,20291.25696396652,18316.617317569868,2778.6117888888857,2778.6117888888857,0.0,8365.206861186862,8307.773521618257
2025-03-03,77569.69119384648,359.22214666666923,47062.590645340846,2078.425784424181,49141.016429765026,23303.506075501777,21040.678397951597,3648.939029629628,3554.3491421684403,94.58988746118732,8307.773521618257,8236.598103922219
2025-03-04,77480.52375991517,0.0,47361.725910831876,0.0,47361.725910831876,20627.38717137394,18697.631689236532,6351.310344444428,5387.304694444428,964.0056500000001,8236.598103922219,8096.42146618308
2025-03-05,74409.61037102628,131.93169999999847,45043.88498613018,872.4471940333224,45916.3321801635,20259.73745470726,18306.1469059032,6457.479505555549,5831.481838888882,625.9976666666672,8096.42146618308,8020.122877586222
2025-03-06,70900.29347843368,556.5246783333345,42845.139883037744,3754.693953570008,46599.83383660775,20588.966954707255,18704.707210903198,3631.9042796296276,2828.6327962962946,803.2714833333331,8020.122877586222,7836.039367287753
2025-03-07,31540.714440154134,0.0,15927.632065527576,0.0,15927.632065527576,17087.760725077616,15383.151940903188,8913.820122646373,209.4901796296288,8704.329943016744,7836.039367287753,7831.646659687759
