date,slot_id,issue_time,forecast_history_end,load_forecast_kwh,pv_forecast_kwh,plan_load_kwh,plan_pv_kwh,risk_delta_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan
2025-02-01,1,2025-02-01 00:00:00,2025-02-01 00:00:00,454.32543333333336,0.0,454.32543333333336,0.0,0.0,1287.6587666666667,833.3333333333333,0.0,7268.4231640740745,8058.9925791161695,0.0,1.0
2025-02-01,2,2025-02-01 00:00:00,2025-02-01 00:00:00,446.6726833333333,0.0,446.6726833333333,0.0,0.0,1280.0060166666665,833.3333333333333,0.0,8058.9925791161695,8849.561994158264,0.0,1.0
2025-02-01,3,2025-02-01 00:00:00,2025-02-01 00:00:00,443.3066666666667,0.0,443.3066666666667,0.0,0.0,1276.6399999999999,833.3333333333333,0.0,8849.561994158264,9640.13140920036,0.0,1.0
2025-02-01,4,2025-02-01 00:00:00,2025-02-01 00:00:00,476.9869166666667,0.0,476.9869166666667,0.0,0.0,476.9869166666667,0.0,0.0,9640.13140920036,9640.13140920036,0.0,0.0
2025-02-01,5,2025-02-01 00:00:00,2025-02-01 00:00:00,484.26815000000005,0.0,484.26815000000005,0.0,0.0,873.5436611388941,389.27551113889405,0.0,9640.13140920036,10009.430584957905,0.0,1.0
2025-02-01,6,2025-02-01 00:00:00,2025-02-01 00:00:00,468.2083333333333,0.0,468.2083333333333,0.0,0.0,468.2083333333333,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,7,2025-02-01 00:00:00,2025-02-01 00:00:00,490.43896666666666,0.0,490.43896666666666,0.0,0.0,490.43896666666666,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,8,2025-02-01 00:00:00,2025-02-01 00:00:00,487.2113166666666,0.0,487.2113166666666,0.0,0.0,487.2113166666666,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,9,2025-02-01 00:00:00,2025-02-01 00:00:00,464.605,0.0,464.605,0.0,0.0,464.605,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,10,2025-02-01 00:00:00,2025-02-01 00:00:00,494.2724,0.0,494.2724,0.0,0.0,494.2724,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,11,2025-02-01 00:00:00,2025-02-01 00:00:00,505.68945,0.0,505.68945,0.0,0.0,505.68945,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,12,2025-02-01 00:00:00,2025-02-01 00:00:00,487.83666666666664,0.0,487.83666666666664,0.0,0.0,487.83666666666664,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,13,2025-02-01 00:00:00,2025-02-01 00:00:00,501.9057666666667,0.0,501.9057666666667,0.0,0.0,501.9057666666667,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
2025-02-01,14,2025-02-01 00:00:00,2025-02-01 00:00:00,514.9269333333333,0.0,514.9269333333333,0.0,0.0,514.9269333333333,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0
