date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,43317.89752777778,0.0,22245.31060633504,0.0,22245.31060633504,19982.244584156375,15776.363350000003,4733.84036028807,1673.1452191358012,3060.695141152268,7268.4231640740745,7723.1506787037
2025-02-02,89183.52224115227,0.09211666666669771,55916.42107290988,0.5046151000001701,55916.92568800988,23074.474779423872,18281.828433333332,6034.690061728389,5891.587578395055,143.1024833333334,7723.1506787037,8177.035276481477
2025-02-03,86906.13289300412,0.0,54206.256334665166,0.0,54206.256334665166,24189.19261707818,19378.25835,1878.2821259259322,1878.2821259259322,0.0,8177.035276481477,8415.910465185183
2025-02-04,88739.17240781893,19.381799999999657,55336.87694426203,113.218784699998,55450.095728962035,24787.888204732502,19932.192816666666,2707.994869753087,2707.994869753087,0.0,8415.910465185183,8578.128942037034
2025-02-05,89811.43746234568,73.97997750000116,56341.414605192855,492.39558624000693,56833.810191432865,23818.066419753086,19098.401772499998,4417.325809259259,4415.273309259258,2.0524999999998954,8578.128942037034,8793.942305925924
2025-02-06,89438.93733436214,29.40810000000033,56082.69193062287,171.32531990000192,56254.01725052286,23162.95669567902,18403.82243333333,4438.153955349787,4436.753138683121,1.400816666666799,8793.942305925924,9191.91173944445
2025-02-07,41942.272632510285,36.7672833333347,21497.10937145856,169.49071143333975,21666.6000828919,20029.66621851852,16137.188899999997,6280.882930658433,2231.940938065841,4048.941992592592,9191.91173944445,9288.40144722223
2025-02-08,37691.992924074075,103.9723058333409,19378.706903881728,614.6682525879619,19993.37515646969,19502.274396707824,15785.238060833326,2501.7661773662476,145.66287489711812,2356.103302469129,9288.40144722223,9301.295003333342
2025-02-09,82245.8797617284,2113.1112813333352,50863.03488843975,12161.257815770514,63024.29270421027,24033.728051234568,19510.87993533333,280.72696049382546,280.72696049382546,0.0,9301.295003333342,9252.89476574075
2025-02-10,85246.60590308643,43.84688416666793,52873.454141490314,202.5592723629225,53076.01341385324,21620.095554732507,17653.324032499997,6997.04368168725,6480.365029218113,516.678652469137,9252.89476574075,9096.176284444455
2025-02-11,78967.61747340535,1389.6487654999992,48474.97014987444,7147.260235772163,55622.2303856466,24008.921800411525,19463.369105333335,591.1164104938232,591.1164104938232,0.0,9096.176284444455,9078.240232222233
2025-02-12,80272.21076502057,947.3881726666724,49517.88381953459,6341.767500967038,55859.65132050162,23281.55780761317,18872.71471066666,1544.0197074073992,1380.635424074066,163.3842833333333,9078.240232222233,9061.959247222234
2025-02-13,80736.15706111111,165.10881133333336,49870.075277152595,1042.3953587445835,50912.470635897174,22102.49072613168,17856.959038666664,5326.255168312761,4924.497801646094,401.757366666667,9061.959247222234,9113.135302222234
2025-02-14,35399.880552691364,377.7443588333316,18218.739500449752,2275.5179785289893,20494.25747897874,19921.51274135804,16170.090296500008,2224.4006499999978,83.76699999999948,2140.6336499999984,9113.135302222234,9075.729773333347
2025-02-15,35466.20287992593,236.30901666666574,18339.969348684728,1125.8003240083278,19465.769672693055,19661.83588395062,16081.776296000011,2842.3612086419844,102.70191831275812,2739.659290329226,9075.729773333347,8902.741740000014
2025-02-16,79223.76515123456,854.2207971666622,48606.422703761236,4697.674240452969,53304.0969442142,23813.444667901233,19334.0618695,221.22404999999924,221.22404999999924,0.0,8902.741740000014,8852.550975000016
2025-02-17,79978.2423798354,210.12869966666,49018.756772528584,1458.96264259962,50477.7194151282,21069.977312962965,17075.48763366667,5010.01823353909,4127.909950205756,882.1082833333342,8852.550975000016,8842.76651925928
2025-02-18,76081.7582707819,864.2548591666601,46459.308142081216,5910.954861741206,52370.26300382242,23135.33630411523,18688.423390833337,407.7124333333327,407.7124333333327,0.0,8842.76651925928,8899.654314259278
2025-02-19,76601.88195300206,1694.6056885000048,46732.345788493294,9023.522450392371,55755.86823888566,23741.11877983539,19479.614304999996,1155.6557833333325,1019.7234333333324,135.93235000000004,8899.654314259278,8622.645321666687
2025-02-20,76818.0311664609,234.6306929999995,47166.89405878856,1401.0604059679977,48567.95446475656,22760.31703744856,18533.458407,1832.6694956790116,1832.6694956790116,0.0,8622.645321666687,8514.199092037059
2025-02-21,34617.077897207826,0.0,17784.984677675813,0.0,17784.984677675813,18986.282668107022,15457.818316166686,5528.351511934156,138.04463127572004,5390.306880658437,8514.199092037059,8426.499808703727
