date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,42307.706433448344,7372.996560765102,21611.485099557223,31342.619614912528,52954.10471446975,11113.567194747944,8782.102490526364,12971.062356658531,2898.0683553800445,10072.994001278486,7268.4231640740745,7512.741983206817
2025-02-02,88638.28019093875,9833.22865082072,55597.42515385854,50768.03439282333,106365.45954668187,10964.875132086592,8457.990719504216,17608.34647917709,17171.153929177086,437.19255,7512.741983206817,7983.36213596895
2025-02-03,87331.54291087718,10641.74452730669,54754.40074120815,53949.84266083222,108704.24340204037,10822.103530530432,8565.952580117342,15500.219987770783,15419.55350443745,80.66648333333342,7983.36213596895,8205.530224427068
2025-02-04,88221.70007331794,11403.271411123029,55384.50617754744,58304.48020100148,113688.98637854893,10778.743970947235,8411.917530544975,16063.281094038713,15744.232744038713,319.0483500000005,8205.530224427068,8559.82476434072
2025-02-05,86701.57841775607,11311.319461920908,54243.80010902107,57912.86762650803,112156.66773552909,10850.932908179173,8648.658387088943,15062.196375253416,15021.014025253415,41.18235000000004,8559.82476434072,8716.043951603151
2025-02-06,87759.19766533886,10408.21540391504,55264.486061490716,53672.32829771924,108936.81435920995,10789.96691338889,8442.082037822105,15548.470977020437,15547.070160353771,1.400816666666742,8716.043951603151,9046.923020517484
2025-02-07,40959.55575617573,7269.630360916649,20964.13163089364,30568.132241491636,51532.26387238528,11233.428409087795,9254.636453001776,14444.714494339692,2729.729681830693,11714.984812509,9046.923020517484,8874.0791964723
2025-02-08,35997.41569033741,7775.34361643797,18458.65172941203,32351.21539973984,50809.86712915187,10736.347525139448,8823.828759349271,10283.077824318534,366.06429790060645,9917.013526417926,8874.0791964723,8732.537792043055
2025-02-09,81991.53242819199,12727.11391195179,50838.600800528286,63435.90157711597,114274.50237764425,10679.61550712672,8695.76290007976,13179.377766430147,13126.94834976348,52.4294166666665,8732.537792043055,8682.232970590696
2025-02-10,83462.16280896994,9193.73717225232,52071.71198941167,46470.20824706745,98541.92023647913,10515.474466171238,8731.366904720933,16545.154836438625,15093.427069771958,1451.7277666666666,8682.232970590696,8444.641207121553
2025-02-11,81532.70817946455,11063.306341356532,50576.86891998009,55873.83596851754,106450.70488849762,10601.161342810294,8672.282704816851,15446.538749494304,14464.199099494304,982.3396500000006,8444.641207121553,8349.816743632093
2025-02-12,81207.18021854054,10770.256603635935,50389.21663049127,54311.69010084052,104700.90673133178,10539.214340038308,8640.20970024185,14811.696049046679,13446.85754904668,1364.8384999999998,8349.816743632093,8234.876649397844
2025-02-13,80691.8711688542,9013.049692052888,50044.50735102944,44721.40565882674,94765.91300985617,10678.318528561433,8666.66711413007,16363.79042980905,14171.847096475718,2191.9433333333336,8234.876649397844,8215.733198291946
2025-02-14,34162.23924639334,7896.24857503611,17617.80547840277,31984.39886936095,49602.20434776372,10458.421471806925,8755.836781684995,10554.101314640853,457.37433288093735,10096.726981759915,8215.733198291946,7899.60498771263
2025-02-15,33686.88371832047,7748.699818597784,17274.81267585453,31478.099715036307,48752.91239089084,10397.278528628032,8774.75969650659,10532.973604796807,255.12398548745526,10277.84961930935,7899.60498771263,7507.422667359425
2025-02-16,78094.44016154745,11780.073485231023,48024.812807881055,58348.15488962721,106372.96769750827,10698.30154795286,8722.7273632947,12521.560362120306,11950.512328786972,571.0480333333329,7507.422667359425,7443.974767967335
2025-02-17,77316.95865064622,9603.043459437282,47502.514395237245,47540.53384517075,95043.048240408,10567.335271956015,8737.897038735971,13906.7007101968,12007.799326863467,1898.9013833333313,7443.974767967335,7245.802025243335
2025-02-18,76825.39197653686,10228.73636915089,47282.74683365267,50392.446110805366,97675.19294445805,10640.645716769424,8714.112321966753,13036.207167551749,11839.173000885083,1197.0341666666668,7245.802025243335,7140.036145928311
2025-02-19,76365.20126477658,11793.070958753835,46947.593282905895,57480.8200286264,104428.41331153229,10482.446460202096,8853.400229498331,13649.898609493317,11374.869076159985,2275.0295333333324,7140.036145928311,6737.126594000946
2025-02-20,75980.18515845435,10791.6142639391,46557.17029300333,53121.810420810674,99678.980713814,10565.82815437488,8726.801741195517,13939.639275880747,12139.850925880748,1799.7883499999998,6737.126594000946,6549.925553832213
2025-02-21,32523.210443469157,7190.428172707584,16617.375862403143,28588.34527725705,45205.72113966019,10372.020050507783,8899.846930476226,12681.20346281185,348.27473674202696,12332.928726069824,6549.925553832213,5996.024787648968
2025-02-22,32547.995621556605,6954.994793629739,16601.99982084132,28302.438261763662,44904.43808260498,10617.61718408122,8923.869356611787,9964.47970438358,211.6290381649616,9752.85066621862,5996.024787648968,5636.4698570867495
2025-02-23,75154.47183587408,11105.993940376089,45869.37181195401,54344.92305231664,100214.29486427066,10648.554939879401,8744.80253111953,12824.859684156963,11459.717600823631,1365.1420833333316,5636.4698570867495,5503.722046178729
2025-02-24,74138.6179435725,10137.373465768074,45183.75416385871,49734.25730161446,94918.01146547317,10624.156227462741,8740.712717646376,14189.514282857554,11058.615082857554,3130.8992,5503.722046178729,5353.559631288114
