date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,45489.12371038839,0.0,23610.27947212423,0.0,23610.27947212423,19423.379317421604,14971.545177406166,6659.113637039619,2887.779137039619,3771.3345,7268.4231640740745,8114.414352635559
2025-02-02,91670.47765671894,0.0,57749.25353720164,0.0,57749.25353720164,22768.146875503233,17702.267151479347,8248.319982695055,8189.145916028388,59.174066666666704,8114.414352635559,8936.560816722533
2025-02-03,89734.16967103284,0.0,56444.91519151753,0.0,56444.91519151753,23408.77548527154,18479.119657981646,4587.597343742947,4587.597343742947,0.0,8936.560816722533,9472.103577931763
2025-02-04,90587.4710075407,0.0,57048.08456970002,0.0,57048.08456970002,24396.097573665378,19211.522503621174,4208.031987496499,4208.031987496499,0.0,9472.103577931763,10082.45527909597
2025-02-05,88899.54229869007,0.0,55788.06587150923,0.0,55788.06587150923,24250.642672959664,19310.971032715748,3211.4436751128155,3211.4436751128155,0.0,10082.45527909597,10451.399203964387
2025-02-06,89918.94778412151,20.942181271759296,56830.04863613507,122.33375189898193,56952.38238803406,22974.575982578404,18295.665829456462,4989.922595604656,4989.922595604656,0.0,10451.399203964387,10800.0
2025-02-07,43084.254390668706,0.0,22389.863561298647,0.0,22389.863561298647,19725.892204932745,15977.972685995524,7530.655205064818,2835.3457949825115,4695.309410082306,10800.0,10800.0
2025-02-08,38197.428825386836,57.273818969003514,19816.843645608817,350.1148553575185,20166.958500966335,20661.786582334527,16736.047131690957,2751.8004770456014,830.7355499838714,1921.06492706173,10800.0,10800.0
2025-02-09,83802.71589649243,1165.4947988017109,52218.144545503084,7531.34622895437,59749.49077445746,23664.914688564608,19168.58089773733,916.460937800194,916.460937800194,0.0,10800.0,10800.0
2025-02-10,85454.81122123715,0.0,53552.583433761545,0.0,53552.583433761545,21238.10893689331,17202.868238883573,7092.932939894076,6666.728245587659,426.2046943064165,10800.0,10800.0
2025-02-11,83442.40703627859,97.28383693357489,52027.25609650946,570.292306103059,52597.54840261252,22870.960750557304,18525.478207951415,3973.611197272935,3825.572897272935,148.03830000000016,10800.0,10800.0
2025-02-12,83055.43892860402,0.0,51810.450207351154,0.0,51810.450207351154,22727.854675258386,18409.56228695929,3470.4104069716013,3307.026123638268,163.38428333333331,10800.0,10800.0
2025-02-13,82374.84422020611,20.67777541068417,51368.59582882853,96.1149569662904,51464.71078579483,20531.687878305107,16630.667181427143,7165.022282072169,6606.384498738836,558.6377833333337,10800.0,10800.0
2025-02-14,36241.07282884955,193.07550230951097,18927.827923612032,1091.600453840758,20019.42837745279,21415.01773584693,17434.666288215012,2651.9950668604815,511.361416860483,2140.6336499999984,10800.0,10701.664530912225
2025-02-15,35951.20080349081,143.19528893634225,18664.25207384321,655.5880676828725,19319.84014152608,21279.111185183905,17442.422060752608,2977.6158679958526,257.06001620843256,2720.55585178742,10701.664530912225,10472.395641185962
2025-02-16,80040.538447858,788.4636697086555,49406.47983633877,4584.010186978399,53990.490023317165,23501.37130964605,18972.517963712213,922.7696716328087,922.7696716328087,0.0,10472.395641185962,10543.05430463161
2025-02-17,79265.93140414881,117.30119003938,48863.58318262461,745.1005489841889,49608.6837316088,21647.219070561732,17532.020750872365,4084.1711078321573,3437.4720744988235,646.6990333333338,10543.05430463161,10545.52841161232
2025-02-18,78779.03033819437,48.288763161299585,48639.31130447076,225.83504514655954,48865.14634961732,22579.786549225704,18192.900345723298,2349.0451145199218,2253.208803820334,95.83631069958768,10545.52841161232,10653.002588445135
2025-02-19,78447.64941491575,125.0358204604722,48403.99597920404,556.747520054611,48960.74349925865,23940.117906039573,19587.11024811387,1340.3501941171844,1340.3501941171844,0.0,10653.002588445135,10435.652872643117
2025-02-20,78002.05549108212,102.48857546631025,47968.40252519821,501.29147005329173,48469.6939952515,22741.306839228815,18444.943617031073,2815.0471110173576,2815.0471110173576,0.0,10435.652872643117,10408.447231247861
2025-02-21,35064.35735873774,155.03442153752314,18212.659405987655,886.7976074090365,19099.45701339669,20831.559214280413,16877.45182568753,5705.022358349049,459.70002501571554,5245.3223333333335,10408.447231247861,10404.126273336307
