date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,emergency_intervals
2025-02-01,42431.080497346535,41115.005502056796,0.0,22055.754189070914,241.77178040199684,-470.1210898499059,21827.404879623005,0.0,21827.404879623005,19837.389549468397,15813.437546527539,2712.877565782605,1261.441752408114,1451.4358133744909,7268.4231640740745,7551.587595787255,0
2025-02-02,88435.60950748963,85883.2211927588,0.0,55245.78795668696,555.3468391894386,-878.7470642861215,54922.38773159028,0.0,54922.38773159028,23083.68113767564,18248.901589121935,2692.1636942050995,2692.1636942050995,0.0,7551.587595787255,8050.3432984487345,0
2025-02-03,90553.12293030864,86506.19814277063,0.0,56736.752740679,770.1037932752382,-1487.2526464017826,56019.60388755246,0.0,56019.60388755246,23426.431905624566,18772.4112831724,1635.2610203184652,1635.2610203184652,0.0,8050.3432984487345,8275.897254430389,0
2025-02-04,93800.56770754396,89242.15550587336,0.0,59419.44623569334,919.9794904110765,-1796.9876642942265,58542.43806181019,0.0,58542.43806181019,23502.65893125307,18628.867232924065,3173.4998575443597,3173.148074211026,0.3517833333332874,8275.897254430389,8729.54892264252,0
2025-02-05,87346.02721037663,87616.21626036834,54.130662396002776,54715.54386320465,2158.157786317304,-556.6001356356064,56317.10151388635,377.61550087451536,56694.71701476086,23266.79179619651,18697.545325495656,2352.673468730158,2350.620968730158,2.0524999999999807,8729.54892264252,8894.61117755754,1
2025-02-06,93825.00996369893,87299.9408464722,0.0,59424.70405256595,967.6231803282195,-2560.1240229007562,57832.203209993415,0.0,57832.203209993415,23537.10789895175,18593.413784406624,2085.1895152604015,2085.1895152604015,0.0,8894.61117755754,9418.659637273426,0
2025-02-07,43246.09952052943,40160.836109274314,137.11189691243231,22328.758615831463,1.456669451727066e-13,-880.8977055534518,21447.86091027801,662.0389905505923,22109.8999008286,19522.710219177436,15896.603382212495,4866.161502555141,683.6817795476986,4182.479723007442,9418.659637273426,9326.20618763034,3
2025-02-08,34981.16874130971,36341.10876417527,248.81567698740525,17672.245205075116,1953.239555713423,0.0,19625.48476078854,1663.6592966282753,21289.144057416812,20057.146528937166,16189.844421635189,1145.4596171940254,63.77245690522341,1081.687160288802,9326.20618763034,9388.922039634685,2
2025-02-09,84699.78611737242,85004.42979894739,65.93020724786103,52621.32404218703,1886.9127815774698,-322.2510594628406,54185.98576430166,311.9424608402999,54497.928225141965,23503.350961451644,19043.21770778065,1054.810785857585,1054.810785857585,0.0,9388.922039634685,9382.807118518229,4
2025-02-10,81855.39681140831,78707.96482120281,62.43497209610696,50833.35072840322,1239.5737251971075,-1294.7939324013726,50778.130521198946,276.1080975526803,51054.23861875163,23273.01622570793,19008.407294552755,179.15327881041617,179.15327881041617,0.0,9382.807118518229,9208.069172152296,4
2025-02-11,81629.12204633754,79044.07198433223,716.119250118021,50873.93218482265,2029.4446838320737,-1426.4498974031562,51476.92697125157,3933.0857344683213,55410.012705719884,23172.07311722025,18801.689028326553,169.21001222322343,169.21001222322343,0.0,9208.069172152296,9172.16939062102,13
2025-02-12,82210.47896725556,79704.9439844369,254.14583246726966,51089.80087192177,3016.336983445821,-1432.709850468902,52673.428004898684,1384.0809610465321,54057.50896594522,23365.889569993462,18960.14877370787,286.6128872852544,286.6128872852544,0.0,9172.16939062102,9134.638032828614,10
2025-02-13,77258.27763085702,76098.01366629153,252.1035314035571,47282.3069950392,1467.2889462609996,-707.3896942048166,48042.20624709539,1482.514400411223,49524.72064750661,23342.902441132625,18894.240194583002,571.9759344787989,571.9759344787989,0.0,9134.638032828614,9149.650013644643,7
2025-02-14,34286.720015265244,35333.27301986963,267.7327803559497,17427.337324936663,1453.2822017290962,0.0,18880.61952666576,1517.2386850783134,20397.858211744075,19525.080285787048,16027.21129890699,2301.3349966788546,160.70134667885642,2140.6336499999984,9149.650013644643,8914.209716511885,6
2025-02-15,34217.71507035302,35044.728496688105,365.21029299377335,17638.015829549167,1667.9937991700856,-160.41029636666653,19145.599332352584,1850.0353241398045,20995.634656492388,19179.47707773727,15795.382617431158,2745.7532293757663,56.617362709100234,2689.135866666666,8914.209716511885,8625.31395599636,9
2025-02-16,83015.57888997284,79215.22765670838,722.1810868982304,51329.79502209695,4419.056493097595,-2156.237174332413,53592.614340862136,3478.76364317022,57071.377984032355,22709.90580146594,18374.98149193431,225.10533407498258,225.10533407498258,0.0,8625.31395599636,8647.583075166474,9
