date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,emergency_intervals
2025-02-01,42488.050382272886,41186.22096573374,0.0,22086.860991654477,44.80386439680178,-412.5086328288618,21719.15622322242,0.0,21719.15622322242,19863.715381882754,15834.761470783167,2779.0911213008208,1327.655307926334,1451.4358133744868,7268.4231640740745,7551.587595787255,0
2025-02-02,88462.36023142142,86166.85262442948,0.0,55267.20015098328,578.0031403992788,-813.4160933621381,55031.78719802042,0.0,55031.78719802042,23112.81517949439,18276.153129687442,2973.912624622523,2973.912624622523,0.0,7551.587595787255,8046.28444656838,0
2025-02-03,90506.71327443709,86825.73747127177,0.0,56699.38955511125,703.1604364238719,-1375.0943395060212,56027.4556520291,0.0,56027.4556520291,23583.912031901567,18899.97018545678,1924.8791248269779,1924.8791248269779,0.0,8046.28444656838,8271.838402550036,0
2025-02-04,93641.68038126836,89456.52596742172,0.0,59290.44606756525,584.4694530563554,-1600.9453688674005,58273.97015175421,0.0,58273.97015175421,23557.40999927457,18673.215598021485,3377.467616168634,3377.1158328353004,0.35178333333340106,8271.838402550036,8725.490070762167,0
2025-02-05,86936.26330653433,87841.14572012132,54.130662396002776,54385.80561355678,1931.526902606098,-292.7054658785201,56024.62705028436,377.61550087451536,56402.24255115887,23440.408970733904,18838.175236870953,2544.615665321043,2542.5631653210426,2.052499999999995,8725.490070762167,8890.552325677187,1
2025-02-06,93692.27785204219,87319.89259883315,0.0,59317.24243480351,593.759337661091,-2441.1170683684013,57469.8847040962,0.0,57469.8847040962,23748.25266332906,18764.441043552248,2065.023762389669,2065.023762389669,0.0,8890.552325677187,9414.600785393073,0
2025-02-07,42906.54471720887,40127.92992819781,137.1118969124321,22110.646901896747,51.46177500091525,-769.4084037913366,21392.70027310633,662.0389905505913,22054.73926365692,19730.37782896022,16064.814146136554,4793.798475619905,879.9759536667261,3913.8225219531787,9414.600785393073,9322.147335749987,3
2025-02-08,34820.558327274535,36144.84117109206,378.9917849272835,17567.91258243491,1856.7956225996552,-2.206661520176567e-14,19424.708205034567,2233.775100527142,21658.48330556171,20148.70374443505,16264.005766188475,1061.9722611061056,73.08989443943733,988.8823666666684,9322.147335749987,9384.863187754332,5
2025-02-09,84460.71999581403,85263.39386721242,65.9302072478608,52430.031811277295,2335.4716752119934,-392.62818153031014,54372.87530495898,311.94246084029874,54684.81776579928,23805.256963538544,19287.76156947103,1256.4127137261053,1256.4127137261053,0.0,9384.863187754332,9378.748266637876,4
2025-02-10,81563.83456086452,78794.68846357716,80.62776846883249,50616.94753759663,940.726695338032,-1146.4153980421634,50411.2588348925,358.0554298794538,50769.31426477195,23791.702447206684,19428.543133966752,185.51933547272688,185.51933547272688,0.0,9378.748266637876,9204.010320271944,5
