policy,chosen_plan_solves,actual_solver_calls,solver_seconds,max_mip_gap
pv_raw,1100,1100,23.721556250049616,6.621050615877101e-16
pv_bias,1100,1100,23.15704420700058,4.152030273860526e-16
risk_none,275,275,6.792393927920784,2.757153279003857e-16
risk_fixed,275,275,6.990755674014508,2.4198491050559263e-16
risk_g05,275,275,6.836656953018974,2.4198491050559263e-16
risk_g10,275,275,6.966302507011278,2.757153279003857e-16
gate_paid,1100,1925,43.092332073087164,3.722756355879084e-12
gate_q50,1100,1925,42.709969993949926,1.0612828727865121e-15
gate_q75,1100,1925,42.65565717289428,9.43362553588011e-16
gate_frozen,275,275,7.022791378047259,2.6394845395290524e-16
gate_info_frozen,1100,1100,24.93693590087787,1.6677455043413236e-15
