date,interval_start,interval_end,intervals,emergency_kwh
2025-04-01,2025-04-01 20:20:00,2025-04-01 20:50:00,3,931.8697190701984
2025-04-01,2025-04-01 21:40:00,2025-04-01 21:50:00,1,31.096016967467676
2025-04-02,2025-04-02 20:20:00,2025-04-02 21:50:00,9,1121.3402894231372
2025-04-03,2025-04-03 20:30:00,2025-04-03 20:40:00,1,280.3394283359347
2025-04-03,2025-04-03 21:00:00,2025-04-03 21:20:00,2,9.272606223242724
2025-04-04,2025-04-04 06:50:00,2025-04-04 07:30:00,4,470.81101699648866
2025-04-04,2025-04-04 20:40:00,2025-04-04 21:00:00,2,76.14030741415593
2025-04-04,2025-04-04 21:30:00,2025-04-04 21:50:00,2,444.3335703016832
2025-04-05,2025-04-05 06:50:00,2025-04-05 07:20:00,3,169.11053963478017
2025-04-05,2025-04-05 20:40:00,2025-04-05 21:10:00,3,410.0955159747937
2025-04-05,2025-04-05 21:30:00,2025-04-05 21:50:00,2,381.13585076877837
2025-04-06,2025-04-06 20:20:00,2025-04-06 21:00:00,4,983.2215943554728
2025-04-06,2025-04-06 21:30:00,2025-04-06 21:50:00,2,40.94132518169592
2025-04-07,2025-04-07 20:00:00,2025-04-07 20:40:00,4,2271.3888308771648
2025-04-07,2025-04-07 21:00:00,2025-04-07 21:20:00,2,13.725102354983505
2025-04-08,2025-04-08 20:30:00,2025-04-08 20:40:00,1,569.1626038209511
2025-04-08,2025-04-08 21:00:00,2025-04-08 21:30:00,3,77.22341815095338
2025-04-09,2025-04-09 20:30:00,2025-04-09 21:00:00,3,561.8146639463722
2025-04-10,2025-04-10 20:30:00,2025-04-10 21:00:00,3,129.88375844663608
2025-04-10,2025-04-10 21:30:00,2025-04-10 21:50:00,2,63.86901473036314
2025-04-11,2025-04-11 06:20:00,2025-04-11 07:20:00,6,697.8109789723724
2025-04-11,2025-04-11 20:40:00,2025-04-11 20:50:00,1,408.5321955557219
2025-04-11,2025-04-11 21:20:00,2025-04-11 21:40:00,2,452.3823766424115
2025-04-12,2025-04-12 21:30:00,2025-04-12 21:40:00,1,84.02286492412941
2025-04-13,2025-04-13 20:20:00,2025-04-13 21:20:00,6,1352.3693379841152
2025-04-14,2025-04-14 20:30:00,2025-04-14 20:50:00,2,375.74644429295114
2025-04-14,2025-04-14 21:30:00,2025-04-14 21:40:00,1,8.000117632303976
2025-04-15,2025-04-15 20:10:00,2025-04-15 21:10:00,6,2139.193349512729
2025-04-15,2025-04-15 21:40:00,2025-04-15 21:50:00,1,24.679609430081175
