date,interval_start,interval_end,intervals,emergency_kwh
2025-04-01,2025-04-01 19:40:00,2025-04-01 20:50:00,7,3794.7424551741997
2025-04-01,2025-04-01 21:40:00,2025-04-01 21:50:00,1,31.096016967467676
2025-04-02,2025-04-02 08:20:00,2025-04-02 10:20:00,12,2351.5914622400637
2025-04-02,2025-04-02 20:00:00,2025-04-02 22:00:00,12,2416.7164665542496
2025-04-02,2025-04-02 23:00:00,2025-04-02 23:20:00,2,55.04585969531263
2025-04-02,2025-04-02 23:30:00,2025-04-03 00:00:00,3,70.6011578735453
2025-04-03,2025-04-03 08:40:00,2025-04-03 09:30:00,5,710.3883683659355
2025-04-03,2025-04-03 20:30:00,2025-04-03 20:40:00,1,715.1117556147748
2025-04-03,2025-04-03 21:00:00,2025-04-03 21:20:00,2,9.272606223242724
2025-04-03,2025-04-03 23:20:00,2025-04-03 23:50:00,3,217.3079916192421
2025-04-04,2025-04-04 06:30:00,2025-04-04 07:30:00,6,967.3441868755917
2025-04-04,2025-04-04 20:40:00,2025-04-04 21:00:00,2,211.46243257138036
2025-04-04,2025-04-04 21:30:00,2025-04-05 00:00:00,15,839.3321251758448
2025-04-05,2025-04-05 06:40:00,2025-04-05 07:20:00,4,368.00559797544736
2025-04-05,2025-04-05 20:40:00,2025-04-05 21:10:00,3,245.99586212502498
2025-04-05,2025-04-05 21:30:00,2025-04-05 22:10:00,4,488.30454546008735
2025-04-05,2025-04-05 22:40:00,2025-04-06 00:00:00,8,360.5699130702578
2025-04-06,2025-04-06 20:30:00,2025-04-06 21:00:00,3,539.1392800231104
2025-04-06,2025-04-06 21:30:00,2025-04-06 21:50:00,2,40.94132518169592
2025-04-06,2025-04-06 23:20:00,2025-04-06 23:50:00,3,65.80331011718322
2025-04-07,2025-04-07 20:30:00,2025-04-07 20:40:00,1,472.79264905712546
2025-04-07,2025-04-07 21:00:00,2025-04-07 21:20:00,2,13.725102354983505
2025-04-07,2025-04-07 22:20:00,2025-04-08 00:00:00,10,441.01946165148473
2025-04-08,2025-04-08 08:50:00,2025-04-08 09:40:00,5,186.18078480818642
2025-04-08,2025-04-08 20:20:00,2025-04-08 20:40:00,2,925.4244526867465
2025-04-08,2025-04-08 21:00:00,2025-04-08 21:30:00,3,77.22341815095338
2025-04-08,2025-04-08 22:20:00,2025-04-09 00:00:00,10,408.0509583225768
2025-04-09,2025-04-09 19:50:00,2025-04-09 21:00:00,7,3275.988383468453
2025-04-09,2025-04-09 22:20:00,2025-04-09 22:50:00,3,160.90859078756102
2025-04-09,2025-04-09 23:10:00,2025-04-10 00:00:00,5,192.31715010135213
2025-04-10,2025-04-10 20:30:00,2025-04-10 21:00:00,3,718.1687683937312
2025-04-10,2025-04-10 21:30:00,2025-04-10 22:30:00,6,133.61788078219027
2025-04-10,2025-04-10 23:20:00,2025-04-10 23:30:00,1,1.8871447583793923
2025-04-11,2025-04-11 06:20:00,2025-04-11 07:20:00,6,690.6947683894252
2025-04-11,2025-04-11 20:40:00,2025-04-11 20:50:00,1,77.22073779041267
2025-04-11,2025-04-11 21:20:00,2025-04-11 21:40:00,2,452.3823766424115
2025-04-11,2025-04-11 21:50:00,2025-04-11 22:00:00,1,0.9490899287268011
2025-04-11,2025-04-11 22:10:00,2025-04-11 22:50:00,4,155.562367610293
2025-04-11,2025-04-11 23:00:00,2025-04-12 00:00:00,6,342.7428159617971
2025-04-12,2025-04-12 21:30:00,2025-04-12 21:40:00,1,327.18158308550517
2025-04-12,2025-04-12 22:30:00,2025-04-13 00:00:00,9,231.7939686648517
2025-04-13,2025-04-13 20:20:00,2025-04-13 21:20:00,6,1065.1929425668
2025-04-13,2025-04-13 22:40:00,2025-04-13 23:00:00,2,58.27368120256087
2025-04-13,2025-04-13 23:40:00,2025-04-14 00:00:00,2,31.284458432328712
2025-04-14,2025-04-14 20:30:00,2025-04-14 20:50:00,2,667.2404207594224
2025-04-14,2025-04-14 21:30:00,2025-04-14 21:40:00,1,8.000117632303976
2025-04-14,2025-04-14 23:10:00,2025-04-14 23:20:00,1,21.38369004276806
2025-04-14,2025-04-14 23:30:00,2025-04-15 00:00:00,3,118.58649882680582
2025-04-15,2025-04-15 20:30:00,2025-04-15 21:10:00,4,368.0802958953213
