charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,date,slot_id,interval_start,interval_end,active_issue_hour,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_original_kwh,grid_effective_kwh,price_yuan_per_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
817.6552314141628,0.0,0.0,0.0,0.0,0.0,1252.8578340593256,1988.747542332072,2025-04-01,1,2025-04-01 00:00:00,2025-04-01 00:10:00,0,588.9466333333334,0.0,574.3048104405688,1.0362790264058006,1406.6018647474962,1406.6018647474962,0.4248,597.5244721447364,0.0,-0.0,597.5244721447364,0.0,597.5244721447364
827.0326460481155,0.0,0.0,0.0,0.0,0.0,1988.747542332072,2733.0769237753757,2025-04-01,2,2025-04-01 00:10:00,2025-04-01 00:20:00,0,586.3142833333333,0.0,581.4333112159197,1.419715167804405,1413.3469293814487,1413.3469293814487,0.4245,599.9657715224249,0.0,-0.0,599.9657715224249,0.0,599.9657715224249
833.3333333333334,0.0,0.0,9.498928807755192,9.498928807755192,0.0,2733.0769237753757,3483.0769237753757,2025-04-01,3,2025-04-01 00:20:00,2025-04-01 00:30:00,0,564.0649999999999,0.0,574.7303790761721,1.1664502684170017,1406.8972621410885,1406.8972621410885,0.4269,600.6044412080307,0.0,-0.0,600.6044412080307,0.0,600.6044412080307
809.1744971258498,0.0,0.0,0.0,0.0,0.0,3483.0769237753757,4211.33397118864,2025-04-01,4,2025-04-01 00:30:00,2025-04-01 00:40:00,0,573.5789333333333,0.0,549.7198772375808,0.29978011173107433,1382.7534304591832,1382.7534304591832,0.4272,590.712265492163,0.0,-0.0,590.712265492163,0.0,590.712265492163
813.1554445466764,0.0,0.0,0.0,0.0,0.0,4211.33397118864,4943.173871280649,2025-04-01,5,2025-04-01 00:40:00,2025-04-01 00:50:00,0,586.0358666666667,0.0,565.8579778800099,0.0,1399.1913112133432,1399.1913112133432,0.4271,597.5946090192189,0.0,-0.0,597.5946090192189,0.0,597.5946090192189
833.3333333333334,0.0,0.0,13.799924573965768,13.799924573965768,0.0,4943.173871280649,5693.173871280649,2025-04-01,6,2025-04-01 00:50:00,2025-04-01 01:00:00,0,582.5266666666666,0.0,596.3265912406326,0.0,1429.6599245739658,1429.6599245739658,0.4285,612.6092776799443,0.0,-0.0,612.6092776799443,0.0,612.6092776799443
588.2572852800746,0.0,0.0,0.0,0.0,0.0,5693.173871280649,6222.605428032716,2025-04-01,7,2025-04-01 01:00:00,2025-04-01 01:10:00,0,576.8009166666667,0.0,557.1224620126588,0.0,1165.0582019467413,1165.0582019467413,0.4311,502.25659085924013,0.0,-0.0,502.25659085924013,0.0,502.25659085924013
783.8661272303069,0.0,0.0,0.0,0.0,0.0,6222.605428032716,6928.084942539992,2025-04-01,8,2025-04-01 01:10:00,2025-04-01 01:20:00,0,589.0513666666667,0.0,539.5841605636402,0.0,1372.9174938969736,1372.9174938969736,0.4302,590.6291058744781,0.0,-0.0,590.6291058744781,0.0,590.6291058744781
807.839673878687,0.0,0.0,0.0,0.0,0.0,6928.084942539992,7655.14064903081,2025-04-01,9,2025-04-01 01:20:00,2025-04-01 01:30:00,0,600.8266666666667,0.0,575.3330072120203,0.0,1408.6663405453537,1408.6663405453537,0.4279,602.7683271193569,0.0,-0.0,602.7683271193569,0.0,602.7683271193569
23.7091392420607,0.0,0.0,0.0,0.0,0.0,7655.14064903081,7676.478874348664,2025-04-01,10,2025-04-01 01:30:00,2025-04-01 01:40:00,0,577.4585333333333,0.0,601.167672575394,0.0,601.167672575394,601.167672575394,0.4312,259.22350041450994,0.0,-0.0,259.22350041450994,0.0,259.22350041450994
19.04880850399138,0.0,0.0,0.0,0.0,0.0,7676.478874348664,7693.622802002256,2025-04-01,11,2025-04-01 01:40:00,2025-04-01 01:50:00,0,576.0554333333333,0.0,595.1042418373247,0.0,595.1042418373247,595.1042418373247,0.4333,257.8586679881128,0.0,-0.0,257.8586679881128,0.0,257.8586679881128
812.8514667469959,0.0,0.0,0.0,0.0,0.0,7693.622802002256,8425.189122074553,2025-04-01,12,2025-04-01 01:50:00,2025-04-01 02:00:00,0,608.1899999999999,0.0,587.7081334136625,0.0,1421.0414667469959,1421.0414667469959,0.4311,612.6109763146299,0.0,-0.0,612.6109763146299,0.0,612.6109763146299
825.458820268512,0.0,0.0,0.0,0.0,0.0,8425.189122074553,9168.102060316214,2025-04-01,13,2025-04-01 02:00:00,2025-04-01 02:10:00,0,625.95875,0.0,618.0842369351789,0.0,1451.417570268512,1451.417570268512,0.4293,623.0935629162723,0.0,-0.0,623.0935629162723,0.0,623.0935629162723
0.0,18.966595129856046,0.0,0.0,0.0,0.0,9168.102060316214,9147.028065727485,2025-04-01,14,2025-04-01 02:10:00,2025-04-01 02:20:00,0,620.0220833333334,0.0,601.0554882034774,0.0,601.0554882034774,601.0554882034774,0.4324,259.8963930991836,0.0,-0.0,259.8963930991836,0.0,259.8963930991836
0.0,54.46664133178422,0.0,0.0,0.0,0.0,9147.028065727485,9086.509575358836,2025-04-01,15,2025-04-01 02:20:00,2025-04-01 02:30:00,0,609.505,0.0,555.0383586682158,0.0,555.0383586682158,555.0383586682158,0.4367,242.3852512304098,0.0,-0.0,242.3852512304098,0.0,242.3852512304098
0.0,35.94240215513116,0.0,0.0,0.0,0.0,9086.509575358836,9046.573572964246,2025-04-01,16,2025-04-01 02:30:00,2025-04-01 02:40:00,0,620.2048833333333,0.0,584.2624811782022,0.0,584.2624811782022,584.2624811782022,0.4348,254.0373268162823,0.0,-0.0,254.0373268162823,0.0,254.0373268162823
0.0,31.679369942328094,0.0,0.0,0.0,0.0,9046.573572964246,9011.374273028325,2025-04-01,17,2025-04-01 02:40:00,2025-04-01 02:50:00,0,632.7625833333333,0.0,601.0832133910052,0.0,601.0832133910052,601.0832133910052,0.4335,260.56957300500073,0.0,-0.0,260.56957300500073,0.0,260.56957300500073
0.0,36.078562629714725,0.0,0.0,0.0,0.0,9011.374273028325,8971.28698121753,2025-04-01,18,2025-04-01 02:50:00,2025-04-01 03:00:00,0,625.8666666666667,0.0,589.788104036952,0.0,589.788104036952,589.788104036952,0.4357,256.97067692889993,0.0,-0.0,256.97067692889993,0.0,256.97067692889993
18.322622652282007,0.0,0.0,0.0,0.0,0.0,8971.28698121753,8987.777341604584,2025-04-01,19,2025-04-01 03:00:00,2025-04-01 03:10:00,0,599.1601833333333,0.0,617.4828059856153,0.0,617.4828059856153,617.4828059856153,0.4374,270.08697933810816,0.0,-0.0,270.08697933810816,0.0,270.08697933810816
7.215517109918778,0.0,0.0,0.0,0.0,0.0,8987.777341604584,8994.271307003512,2025-04-01,20,2025-04-01 03:10:00,2025-04-01 03:20:00,0,595.59505,0.0,602.8105671099188,0.0,602.8105671099188,602.8105671099188,0.4371,263.4884988837455,0.0,-0.0,263.4884988837455,0.0,263.4884988837455
0.0,56.88387491675087,0.0,0.0,0.0,0.0,8994.271307003512,8931.067001540456,2025-04-01,21,2025-04-01 03:20:00,2025-04-01 03:30:00,0,614.9716666666667,0.0,558.0877917499158,0.0,558.0877917499158,558.0877917499158,0.4356,243.10304208626332,0.0,-0.0,243.10304208626332,0.0,243.10304208626332
0.0,29.727832112026704,0.0,0.0,0.0,0.0,8931.067001540456,8898.036076971537,2025-04-01,22,2025-04-01 03:30:00,2025-04-01 03:40:00,0,613.9549166666667,0.0,584.22708455464,0.0,584.22708455464,584.22708455464,0.4353,254.3140499066348,0.0,-0.0,254.3140499066348,0.0,254.3140499066348
18.906632756569593,0.0,0.0,0.0,0.0,0.0,8898.036076971537,8915.052046452449,2025-04-01,23,2025-04-01 03:40:00,2025-04-01 03:50:00,0,592.9409333333333,0.0,611.8475660899029,0.0,611.8475660899029,611.8475660899029,0.436,266.76553881519766,0.0,-0.0,266.76553881519766,0.0,266.76553881519766
32.722900333859116,0.0,0.0,0.0,0.0,0.0,8915.052046452449,8944.502656752922,2025-04-01,24,2025-04-01 03:50:00,2025-04-01 04:00:00,0,581.5416666666666,0.0,614.2645670005257,0.0,614.2645670005257,614.2645670005257,0.4378,268.9250274328302,0.0,-0.0,268.9250274328302,0.0,268.9250274328302
22.274385129579287,0.0,0.0,0.0,0.0,0.0,8944.502656752922,8964.549603369544,2025-04-01,25,2025-04-01 04:00:00,2025-04-01 04:10:00,0,606.1911333333334,0.0,628.4655184629127,0.0,628.4655184629127,628.4655184629127,0.4401,276.58767467552786,0.0,-0.0,276.58767467552786,0.0,276.58767467552786
0.0,9.542795688710157,0.0,0.0,0.0,0.0,8964.549603369544,8953.946497048755,2025-04-01,26,2025-04-01 04:10:00,2025-04-01 04:20:00,0,613.04185,0.0019666666666666665,603.4970876446231,0.0,603.4970876446231,603.4970876446231,0.4389,264.8748717672251,0.0,-0.0,264.8748717672251,0.0,264.8748717672251
0.0,38.33841641250808,0.0,0.0,0.0,0.0,8953.946497048755,8911.348256590412,2025-04-01,27,2025-04-01 04:20:00,2025-04-01 04:30:00,0,600.655,0.0,562.3165835874919,0.0,562.3165835874919,562.3165835874919,0.4364,245.39495707758147,0.0,-0.0,245.39495707758147,0.0,245.39495707758147
