minute,energy_kwh
0,6000.0
10,6750.0
20,7500.0
30,8250.0
40,9000.0
50,9750.0
60,9750.0
70,9750.0
80,9750.0
90,10050.0
100,10050.0
110,10050.0
120,10050.0
130,10050.0
140,10050.0
150,10050.0
160,10050.0
170,10050.0
180,10050.0
190,10050.0
200,10050.0
210,10050.0
220,10050.0
230,10050.0
240,10050.0
250,10050.0
260,10050.0
270,10050.0
280,10050.0
290,10050.0
300,10050.0
310,10050.0
320,10050.0
330,10050.0
340,10800.0
350,10800.0
360,10057.495685185186
370,9329.211981481481
380,8644.2075
390,7987.035851851852
400,7367.606000000001
410,6779.561888888889
420,6221.261092592593
430,5715.212685185185
440,5259.583018518519
450,4862.919925925926
460,4548.071518518518
470,4191.755833333333
480,3726.843111111111
490,3302.4977962962957
500,2958.546296296296
510,2664.5247407407405
520,2427.0349629629627
530,2228.636166666666
540,2055.9782592592587
550,1931.2454814814807
560,1859.6934074074068
570,1834.62424074074
580,1850.30590074074
590,1897.8598907407402
600,1973.96606574074
610,2079.25129074074
620,2211.24583074074
630,2367.4140557407404
640,2548.3402307407405
650,2751.2057357407402
660,2970.8140607407404
670,3720.8140607407404
680,3966.1824407407403
690,4222.071325740741
700,4643.792100000002
710,5393.792100000002
720,6143.792100000002
730,6893.792100000002
740,7643.792100000002
750,8393.792100000002
760,9143.792100000002
770,9417.888690000002
780,9655.945155000001
790,9874.20195
800,10074.969975
810,10253.853360000001
820,10413.477195000001
830,10550.043465
840,10658.074995
850,10737.108
860,10785.37038
870,10800.0
880,10773.57625925926
890,10698.776241645646
900,10698.776241645646
910,10800.000000000005
920,10800.000000000005
930,10800.000000000005
940,10800.000000000005
950,10800.000000000005
960,10800.000000000005
970,10800.0
980,10800.0
990,10800.0
1000,10800.0
1010,10800.0
1020,10800.0
1030,10800.0
1040,10800.0
1050,10800.0
1060,10800.0
1070,10800.0
1080,10800.0
1090,10678.591944444444
1100,10678.591944444444
1110,10678.591944444444
1120,10678.591944444444
1130,9895.664981481481
1140,9110.682722222222
1150,8324.675537037037
1160,7537.394425925927
1170,6749.120111111112
1180,5958.861833333334
1190,5168.125722222223
1200,4377.631240740741
1210,3584.626703703704
1220,2789.8665370370372
1230,1995.1700370370372
1240,1200.0
1250,1200.0
1260,1200.0
1270,1200.0
1280,1200.0
1290,1200.0
1300,1200.0
1310,1200.0
1320,1950.0
1330,2700.0
1340,2700.0
1350,3450.0
1360,4200.0
1370,4200.0
1380,4950.0
1390,4950.0
1400,5250.0
1410,6000.0
1420,6000.0
1430,6000.0
1440,6000.0
