date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,load_mae_kwh,pv_mae_kwh,emergency_intervals
2025-01-15,93612.65658740122,1728.5739221970498,59505.03153241323,11532.143655203552,71037.17518761678,25316.491197240757,20614.887895370237,569.2842743944126,569.2842743944126,0.0,6841.831117592594,6721.24220025345,26.3426092888129,18.492813054680326,9
2025-01-16,94064.95752385443,1510.1535107372413,59922.7263160137,8792.81025618669,68715.53657220039,24862.845259032503,20260.111685544704,1898.226011103869,1898.226011103869,0.0,6721.24220025345,6586.567727221927,22.122701678016753,21.625928654644664,10
2025-01-17,47626.843578346445,359.0083167697295,24844.792094583692,1933.5926981637974,26778.384792747493,20852.976494946506,17254.896687767814,1698.6586212708166,924.5387532591349,774.1198680116815,6586.567727221927,6182.139141820665,26.51632712797654,24.17651568115578,5
2025-01-18,47503.40703646436,582.6738748078342,24560.326116527227,3445.782697513983,28006.10881404121,20801.862836834785,17075.654876150846,1117.363933921596,567.3633483018541,550.0005856197419,6182.139141820665,5930.865832582138,21.727369145796903,25.229382146199278,5
2025-01-19,92124.24376821273,1958.3853846698478,58240.46959107937,13122.169014019568,71362.63860509894,25159.299215662813,20356.05322124515,596.2436917982511,596.2436917982511,0.0,5930.865832582138,5956.39821418405,27.20137391423869,17.151201948633148,10
2025-01-20,93567.8718861535,774.1439452516452,59516.716839311055,4858.271871905588,64374.98871121664,25552.410327598885,20551.752400868263,1274.2813546745206,1274.2813546745206,0.0,5956.39821418405,6118.287063613864,22.65613464202791,17.027695284638437,8
2025-01-21,93763.20010325573,187.5506133909311,59651.96566747452,999.3617310225954,60651.32739849712,23594.00738390196,19020.84882057831,5901.6874699896825,5873.844136656349,27.843333333333135,6118.287063613864,6218.617241816395,23.24413504221445,40.59553981109852,6
2025-01-22,92571.60940924379,1220.0999231321207,58967.00407060263,7980.5002851388235,66947.50435574145,24913.103940736324,20328.71308496658,308.55410993949874,308.55410993949874,0.0,6218.617241816395,6052.951805182887,19.932571266259338,23.88349976825668,6
2025-01-23,92103.47553727393,2177.5369320990785,58585.27336579465,14277.306921962332,72862.58028775698,23972.481440856063,19414.194253455214,156.79968197215453,156.79968197215453,0.0,6052.951805182887,6056.858153669769,22.97228582605178,23.059996710184926,12
2025-01-24,45527.710775922016,481.3123217649321,23509.01061372404,2491.2920846462766,26000.302698370317,21221.260235490092,17420.200681110782,2378.550393307639,1209.8733790587894,1168.6770142488494,6056.858153669769,5800.2138310433165,26.05231725571466,23.758567652590546,8
2025-01-25,45551.05500313736,364.64234696743813,23547.582866668294,2167.932118884191,25715.514985552487,21087.51578888282,17028.69206480277,3417.298159358076,1242.4845506461363,2174.81360871194,5800.2138310433165,5858.209080145889,19.994208487929427,33.22940093046983,4
2025-01-26,90365.29320408923,2239.472895513612,57078.75338808484,14800.349866608762,71879.1032546936,23964.493805192127,19373.792229085757,315.07449016313444,315.07449016313444,0.0,5858.209080145889,5899.817694723519,23.802930698656535,27.84810013656032,7
2025-01-27,91165.31901893593,258.8850166828207,57790.7530824349,1668.1882660326728,59458.941348467575,23551.063855908724,19229.785455468034,2908.0088518447265,2908.0088518447265,0.0,5899.817694723519,5729.346881188004,24.510633555413776,28.15719128262556,5
2025-01-28,89515.62936210792,2532.9469607781666,56422.86399233308,16274.405818252315,72697.26981058539,24305.088857641236,19763.51021162466,526.5983102028537,526.5983102028537,0.0,5729.346881188004,5644.471062371052,25.871073203052315,21.455704901988753,8
2025-01-29,91208.39393840542,17.43807820530799,57735.589320659084,101.28907725553144,57836.87839791462,22744.160219366888,18244.978872741394,5341.449619985242,5341.449619985242,0.0,5644.471062371052,5842.016512310818,23.75673119867869,40.02666824234509,1
2025-01-30,89710.29163933967,977.6112587446178,56519.51786737758,6126.318511814163,62645.83637919174,24641.4465795579,19963.74102773483,2267.6145629278835,2267.6145629278835,0.0,5842.016512310818,5837.3839586520035,19.087496053153288,25.35779619012949,4
2025-01-31,42084.87640279086,717.3863466670259,21529.645966290933,4070.8914137941542,25600.537380085087,21284.4335962913,17333.270085129756,86.77618829634673,86.77618829634673,0.0,5837.3839586520035,5734.185211836676,23.72389636065087,26.055839649944474,7
