date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,3271.927584108104,338.6256333333333,240
2025-03-20,240,1079.9745833333336,5387.870616666667,480
2025-03-20,480,4729.1441,2777.3772166666668,720
2025-03-20,720,4358.013062551439,670.1993500000001,960
2025-03-20,960,104.14769999999976,6075.883316666666,1200
2025-03-20,1200,6833.866499225229,1234.5758791666653,1440
2025-06-21,0,316.4616666666666,306.38169999999985,240
2025-06-21,240,772.2818899380135,1501.2653606666677,480
2025-06-21,480,10322.212416666667,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,81.66296666666665,5860.194033333332,1200
2025-06-21,1200,2081.828181255403,2636.4805833333335,1440
2025-09-23,0,721.3236193415582,135.19438333333346,240
2025-09-23,240,573.3371430041188,7266.525283333333,480
2025-09-23,480,4130.01469855967,1451.059883333333,720
2025-09-23,720,5615.302883333334,640.3114565843623,960
2025-09-23,960,116.63038333333316,5820.714383333333,1200
2025-09-23,1200,9768.748830658442,1538.8569767489766,1440
2025-12-21,0,4224.348805967092,419.0421166666665,240
2025-12-21,240,1859.9168499999998,1723.8919499999997,480
2025-12-21,480,5138.06245,7620.784589833336,720
2025-12-21,720,7883.667878600823,2344.24465,960
2025-12-21,960,151.27118333333328,5970.768583333333,1200
2025-12-21,1200,5957.7864,2303.7983556337635,1440
