date,interval_start,interval_end,emergency_kwh
2025-03-20,2025-03-20 20:10:00,2025-03-20 20:20:00,366.4558850000015
2025-03-20,2025-03-20 20:20:00,2025-03-20 20:30:00,702.5616666666666
2025-03-20,2025-03-20 20:30:00,2025-03-20 20:40:00,709.3744833333334
2025-03-20,2025-03-20 21:20:00,2025-03-20 21:30:00,0.40336916666685596
2025-03-20,2025-03-20 21:30:00,2025-03-20 21:40:00,22.600566666666737
2025-03-20,2025-03-20 21:40:00,2025-03-20 21:50:00,14.70735000000002
2025-06-21,2025-06-21 06:30:00,2025-06-21 06:40:00,87.82908933333242
2025-06-21,2025-06-21 06:40:00,2025-06-21 06:50:00,86.21210000000002
2025-06-21,2025-06-21 06:50:00,2025-06-21 07:00:00,100.8366666666667
2025-06-21,2025-06-21 07:00:00,2025-06-21 07:10:00,63.282299999999964
2025-06-21,2025-06-21 07:10:00,2025-06-21 07:20:00,21.927683333333334
2025-09-23,2025-09-23 08:40:00,2025-09-23 08:50:00,83.92621666666723
2025-09-23,2025-09-23 08:50:00,2025-09-23 09:00:00,103.28666666666652
2025-09-23,2025-09-23 09:00:00,2025-09-23 09:10:00,88.53053333333332
2025-09-23,2025-09-23 09:10:00,2025-09-23 09:20:00,75.39373333333333
2025-09-23,2025-09-23 09:20:00,2025-09-23 09:30:00,46.359583333333376
2025-09-23,2025-09-23 09:30:00,2025-09-23 09:40:00,34.08066666666673
2025-09-23,2025-09-23 09:40:00,2025-09-23 09:50:00,13.978433333333214
2025-09-23,2025-09-23 20:20:00,2025-09-23 20:30:00,752.9224547510229
2025-09-23,2025-09-23 20:30:00,2025-09-23 20:40:00,784.8952833333333
2025-09-23,2025-09-23 20:50:00,2025-09-23 21:00:00,55.79940183333345
2025-09-23,2025-09-23 21:00:00,2025-09-23 21:10:00,22.314850000000092
2025-09-23,2025-09-23 21:10:00,2025-09-23 21:20:00,5.401749999999993
2025-09-23,2025-09-23 21:20:00,2025-09-23 21:30:00,49.664999999999964
2025-09-23,2025-09-23 21:30:00,2025-09-23 21:40:00,11.854833333333318
2025-12-21,2025-12-21 07:50:00,2025-12-21 08:00:00,31.45291666666651
2025-12-21,2025-12-21 10:40:00,2025-12-21 10:50:00,12.030993499998829
2025-12-21,2025-12-21 20:30:00,2025-12-21 20:40:00,574.2836503333294
