policy,baseline,block_days,point_saving_yuan,ci95_low_yuan,ci95_high_yuan,replicates,seed,scope
S_joint,B0,7,2252910.6218206477,1662221.0979100505,2924466.2442015526,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,B0,14,2252910.6218206477,1581811.7611267434,2921940.843014999,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,B1,7,1297434.5797632076,801485.241119057,1954669.0952291235,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,B1,14,1297434.5797632076,777958.7205184603,1942943.1832610967,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,P,7,128737.07432352877,8551.349031162283,236484.94648602873,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,P,14,128737.07432352877,12315.24226990141,239401.45694418479,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,P_terminal,7,-45143.97758033902,-158472.65772706884,62614.72215946339,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,P_terminal,14,-45143.97758033902,-157314.2794500542,57441.55355977513,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,P_floor,7,-57934.172531454955,-175646.95756411395,46418.35736044166,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
S_joint,P_floor,14,-57934.172531454955,-165605.34417189436,37399.878404485156,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,B0,7,2206460.534112841,1548948.2842331564,2923690.511536864,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,B0,14,2206460.534112841,1434334.2340050742,2988430.597918145,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,B1,7,1250984.4920554012,804783.6939381904,1806030.374253156,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,B1,14,1250984.4920554012,728954.348553601,1839529.772048276,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,P,7,82286.98661572227,-110133.96653895394,251889.56729690058,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,P,14,82286.98661572227,-130353.04665571896,266997.88740092877,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,P_terminal,7,-91594.0652881455,-285565.66111878597,86439.47213416893,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,P_terminal,14,-91594.0652881455,-308345.8344830702,99059.73386810742,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,P_floor,7,-104384.26023926145,-290756.39600282826,77256.24536633279,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
P_B1_floor,P_floor,14,-104384.26023926145,-319508.98960453924,77637.2417878853,2000,20260911,"single-year dependent-day descriptive interval, not external validation"
