policy,date,tau,terminal,initial_soc_kwh,scenario_count,selected_index
S_tau,2025-02-01,0.7,equal_initial,7268.4231640740745,28,2
S_tau,2025-02-02,0.7,equal_initial,8114.414352635559,28,2
S_tau,2025-02-03,0.7,equal_initial,8936.560816722533,28,2
S_tau,2025-02-04,0.7,equal_initial,9472.103577931763,28,2
S_tau,2025-02-05,0.7,equal_initial,10082.45527909597,28,2
S_tau,2025-02-06,0.7,equal_initial,10451.399203964387,28,2
S_tau,2025-02-07,0.7,equal_initial,10800.0,28,2
S_tau,2025-02-08,0.7,equal_initial,10800.0,28,2
S_tau,2025-02-09,0.7,equal_initial,10800.0,28,2
S_tau,2025-02-10,0.8,equal_initial,10800.0,28,3
S_tau,2025-02-11,0.7,equal_initial,10800.0,28,2
S_tau,2025-02-12,0.8,equal_initial,10800.0,28,3
S_tau,2025-02-13,0.8,equal_initial,10800.0,28,3
S_tau,2025-02-14,0.7,equal_initial,10800.0,28,2
S_tau,2025-02-15,0.7,equal_initial,10701.664530912225,28,2
S_tau,2025-02-16,0.7,equal_initial,10472.395641185962,28,2
S_tau,2025-02-17,0.7,equal_initial,10543.05430463161,28,2
S_tau,2025-02-18,0.7,equal_initial,10545.52841161232,28,2
S_tau,2025-02-19,0.7,equal_initial,10653.002588445135,28,2
S_tau,2025-02-20,0.7,equal_initial,10435.652872643117,28,2
S_tau,2025-02-21,0.7,equal_initial,10408.447231247861,28,2
S_tau,2025-02-22,0.7,equal_initial,10404.126273336307,28,2
S_tau,2025-02-23,0.7,equal_initial,10418.659090908774,28,2
S_tau,2025-02-24,0.7,equal_initial,10559.189199314023,28,2
S_tau,2025-02-25,0.7,equal_initial,10606.193026312156,28,2
S_tau,2025-02-26,0.7,equal_initial,10669.010670222082,28,2
S_tau,2025-02-27,0.7,equal_initial,10800.0,28,2
S_tau,2025-02-28,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-01,0.7,equal_initial,10791.109132451855,28,2
S_tau,2025-03-02,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-03,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-04,0.7,equal_initial,10791.229212626784,28,2
S_tau,2025-03-05,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-06,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-07,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-08,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-09,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-10,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-11,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-12,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-13,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-14,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-15,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-16,0.7,equal_initial,10698.031016998319,28,2
S_tau,2025-03-17,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-18,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-19,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-20,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-21,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-22,0.7,equal_initial,10640.366354422387,28,2
S_tau,2025-03-23,0.8,equal_initial,10800.0,28,3
S_tau,2025-03-24,0.8,equal_initial,10800.0,28,3
S_tau,2025-03-25,0.8,equal_initial,10800.0,28,3
S_tau,2025-03-26,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-27,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-28,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-29,0.7,equal_initial,10800.0,28,2
S_tau,2025-03-30,0.8,equal_initial,10800.0,28,3
S_tau,2025-03-31,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-01,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-02,0.8,equal_initial,10800.0,28,3
S_tau,2025-04-03,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-04,0.6,equal_initial,10800.0,28,1
S_tau,2025-04-05,0.6,equal_initial,10679.659299402763,28,1
S_tau,2025-04-06,0.7,equal_initial,10555.393689548615,28,2
S_tau,2025-04-07,0.7,equal_initial,10717.33593523271,28,2
S_tau,2025-04-08,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-09,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-10,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-11,0.6,equal_initial,10800.0,28,1
S_tau,2025-04-12,0.6,equal_initial,10663.634621347914,28,1
S_tau,2025-04-13,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-14,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-15,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-16,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-17,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-18,0.6,equal_initial,10800.0,28,1
S_tau,2025-04-19,0.6,equal_initial,10800.0,28,1
S_tau,2025-04-20,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-21,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-22,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-23,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-24,0.7,equal_initial,10800.0,28,2
S_tau,2025-04-25,0.6,equal_initial,10800.0,28,1
S_tau,2025-04-26,0.6,equal_initial,10489.838016596294,28,1
S_tau,2025-04-27,0.7,equal_initial,10318.96879334259,28,2
S_tau,2025-04-28,0.7,equal_initial,10386.39152476374,28,2
S_tau,2025-04-29,0.8,equal_initial,10470.48538640978,28,3
S_tau,2025-04-30,0.8,equal_initial,10800.0,28,3
S_tau,2025-05-01,0.7,equal_initial,10800.0,28,2
S_tau,2025-05-02,0.7,equal_initial,10170.719492356753,28,2
S_tau,2025-05-03,0.7,equal_initial,9707.502824506919,28,2
S_tau,2025-05-04,0.8,equal_initial,9566.822567199688,28,3
S_tau,2025-05-05,0.8,equal_initial,9452.31864852916,28,3
S_tau,2025-05-06,0.8,equal_initial,9312.514438597374,28,3
S_tau,2025-05-07,0.8,equal_initial,8928.070208826157,28,3
S_tau,2025-05-08,0.8,equal_initial,8860.197920102273,28,3
S_tau,2025-05-09,0.8,equal_initial,9905.41787359348,28,3
S_tau,2025-05-10,0.8,equal_initial,10800.0,28,3
S_tau,2025-05-11,0.8,equal_initial,10800.0,28,3
S_tau,2025-05-12,0.8,equal_initial,10800.0,28,3
S_tau,2025-05-13,0.8,equal_initial,10800.0,28,3
S_tau,2025-05-14,0.8,equal_initial,10800.0,28,3
S_tau,2025-05-15,0.8,equal_initial,10800.0,28,3
