date,slot_id,load_actual_kw,interval_end,interval_start,load_raw_time_label,load_source_row,load_source_column,pv_actual_kw,pv_raw_time_label,pv_source_row,pv_source_column,actual_price_yuan_per_kwh,price_raw_time_label,price_source_row,price_source_column,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kw,net_load_actual_kwh,available_time,issue_time,forecast_history_end,dispatch_time,decision_input_cutoff,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,risk_delta_kwh,plan_load_kwh,plan_pv_kwh,selected_index,selected_tau,selected_terminal,selected_terminal_energy_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-15,1,3620.6386,2025-01-15T00:10:00,2025-01-15T00:00:00,00:10:00,16,B,0.0,00:10:00,16,B,0.4662,00:10:00,16,B,0.4248,603.4397666666667,0.0,3620.6386,603.4397666666667,2025-01-15T00:10:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:10:00,2025-01-15T00:10:00,0.4248,634.1137833333333,0.0,24.16499999999997,658.2787833333333,0.0,0,0.8,1200.0,1200.0,1491.6121166666667,833.3333333333333,0.0,6000.0,6750.0,0.0,1.0,833.3333333333334,0.0,0.0,54.839016666666566,54.839016666666566,0.0,6000.0,6750.0,633.63682716,0.0,633.63682716
2025-01-15,2,3708.3377,2025-01-15T00:20:00,2025-01-15T00:10:00,00:20:00,16,C,0.0,00:20:00,16,C,0.4762,00:20:00,16,C,0.4245,618.0562833333333,0.0,3708.3377,618.0562833333333,2025-01-15T00:20:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:20:00,2025-01-15T00:20:00,0.4245,652.5348833333334,0.0,24.16499999999997,676.6998833333333,0.0,0,0.8,1200.0,1200.0,1510.0332166666667,833.3333333333333,0.0,6750.0,7500.0,0.0,1.0,833.3333333333334,0.0,0.0,58.64359999999999,58.64359999999999,0.0,6750.0,7500.0,641.009100475,0.0,641.009100475
2025-01-15,3,3838.32,2025-01-15T00:30:00,2025-01-15T00:20:00,00:30:00,16,D,0.0,00:30:00,16,D,0.4606,00:30:00,16,D,0.4269,639.72,0.0,3838.32,639.72,2025-01-15T00:30:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:30:00,2025-01-15T00:30:00,0.4269,626.1716666666667,0.0,24.16499999999997,650.3366666666667,0.0,0,0.8,1200.0,1200.0,1483.67,833.3333333333333,0.0,7500.0,8250.0,0.0,1.0,833.3333333333334,0.0,0.0,10.616666666666674,10.616666666666674,0.0,7500.0,8250.0,633.378723,0.0,633.378723
2025-01-15,4,3697.5425,2025-01-15T00:40:00,2025-01-15T00:30:00,00:40:00,16,E,0.0,00:40:00,16,E,0.4507,00:40:00,16,E,0.4272,616.2570833333333,0.0,3697.5425,616.2570833333333,2025-01-15T00:40:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:40:00,2025-01-15T00:40:00,0.4272,566.1060166666667,0.0,24.16499999999997,590.2710166666667,0.0,0,0.8,1200.0,1200.0,1423.60435,833.3333333333333,0.0,8250.0,9000.0,0.0,1.0,807.3472666666668,0.0,0.0,0.0,0.0,0.0,8250.0,8976.61254,608.1637783200001,0.0,608.1637783200001
2025-01-15,5,3616.2551,2025-01-15T00:50:00,2025-01-15T00:40:00,00:50:00,16,F,0.0,00:50:00,16,F,0.4401,00:50:00,16,F,0.4271,602.7091833333333,0.0,3616.2551,602.7091833333333,2025-01-15T00:50:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:50:00,2025-01-15T00:50:00,0.4271,567.17295,0.0,24.16499999999997,591.33795,0.0,0,0.8,1200.0,1200.0,1424.6712833333331,833.3333333333331,0.0,9000.0,9750.0,0.0,0.9999999999999999,821.9620999999999,0.0,0.0,0.0,0.0,0.0,8976.61254,9716.37843,608.4771051116666,0.0,608.4771051116666
2025-01-15,6,3730.26,2025-01-15T01:00:00,2025-01-15T00:50:00,01:00:00,16,G,0.0,01:00:00,16,G,0.4398,01:00:00,16,G,0.4285,621.71,0.0,3730.26,621.71,2025-01-15T01:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:00:00,2025-01-15T01:00:00,0.4285,619.8166666666667,0.0,24.16499999999997,643.9816666666667,0.0,0,0.8,1200.0,1200.0,643.9816666666667,0.0,0.0,9750.0,9750.0,0.0,0.0,22.271666666666647,0.0,0.0,0.0,0.0,0.0,9716.37843,9736.42293,275.94614416666667,0.0,275.94614416666667
2025-01-15,7,3846.9076,2025-01-15T01:10:00,2025-01-15T01:00:00,01:10:00,16,H,0.0,01:10:00,16,H,0.4682,01:10:00,16,H,0.4311,641.1512666666666,0.0,3846.9076,641.1512666666666,2025-01-15T01:10:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:10:00,2025-01-15T01:10:00,0.4311,621.4441333333333,0.0,35.968520000000034,657.4126533333333,0.0,0,0.8,1200.0,1200.0,657.4126533333333,0.0,0.0,9750.0,9750.0,0.0,7.771561172376096e-16,16.26138666666668,0.0,0.0,0.0,0.0,0.0,9736.42293,9751.058178000001,283.410594852,0.0,283.410594852
2025-01-15,8,3898.524,2025-01-15T01:20:00,2025-01-15T01:10:00,01:20:00,16,I,0.0,01:20:00,16,I,0.4659,01:20:00,16,I,0.4302,649.754,0.0,3898.524,649.754,2025-01-15T01:20:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:20:00,2025-01-15T01:20:00,0.4302,597.452,0.0,35.968520000000034,633.42052,0.0,0,0.8,1200.0,1200.0,633.42052,0.0,0.0,9750.0,9750.0,0.0,0.0,0.0,16.33348000000001,0.0,0.0,0.0,0.0,9751.058178000001,9732.90986688889,272.49750770400004,0.0,272.49750770400004
2025-01-15,9,3875.21,2025-01-15T01:30:00,2025-01-15T01:20:00,01:30:00,16,J,0.0,01:30:00,16,J,0.4332,01:30:00,16,J,0.4279,645.8683333333333,0.0,3875.21,645.8683333333333,2025-01-15T01:30:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:30:00,2025-01-15T01:30:00,0.4279,602.7116666666667,0.0,35.968520000000034,638.6801866666667,0.0,0,0.8,1200.0,1200.0,972.01352,333.3333333333333,0.0,9750.0,10050.0,0.0,0.9999999999999992,326.14518666666663,0.0,0.0,0.0,0.0,0.0,9732.90986688889,10026.440534888889,415.924585208,0.0,415.924585208
2025-01-15,10,3815.078,2025-01-15T01:40:00,2025-01-15T01:30:00,01:40:00,16,K,0.0,01:40:00,16,K,0.4363,01:40:00,16,K,0.4312,635.8463333333333,0.0,3815.078,635.8463333333333,2025-01-15T01:40:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:40:00,2025-01-15T01:40:00,0.4312,655.6580666666667,0.0,35.968520000000034,691.6265866666668,0.0,0,0.8,1200.0,1200.0,691.6265866666668,0.0,0.0,10050.0,10050.0,0.0,0.0,55.78025333333346,0.0,0.0,0.0,0.0,0.0,10026.440534888889,10076.642762888889,298.2293841706667,0.0,298.2293841706667
