month,B0,B1,P,P_terminal,S_tau,S_terminal,S_joint,S_w14,S_w56,S_no_inventory,P_floor,P_B1,P_B1_floor,S_joint_saving_vs_B0,S_joint_saving_vs_B1,S_joint_saving_vs_P,S_joint_saving_vs_P_terminal,S_joint_saving_vs_P_floor,P_B1_floor_saving_vs_B0,P_B1_floor_saving_vs_B1,P_B1_floor_saving_vs_P,P_B1_floor_saving_vs_P_terminal,P_B1_floor_saving_vs_P_floor
2025-02,1288181.070871107,1232335.3965844128,1214271.4400430715,1205301.6266941712,1205177.8202668212,1203344.032732042,1199796.0868590495,1198362.428400432,1199819.262261722,1199763.6826912093,1203345.321086006,1228142.2205320494,1216199.2701185734,88384.98401205745,32539.309725363237,14475.353184021948,5505.539835121643,3549.2342269563014,71981.80075253364,16136.12646583944,-1927.83007550185,-10897.643424402155,-12853.949032567496
2025-03,1295139.8247385956,1243923.1428996897,1150897.633277178,1139330.5327786221,1158426.8170411403,1138692.8942568682,1151738.321269162,1141591.236968356,1141811.2517809297,1148392.7132645529,1138692.8942568682,1159250.820806408,1146792.6229547895,143401.50346943352,92184.82163052764,-840.6879919840012,-12407.788490539953,-13045.427012293943,148347.20178380617,97130.51994490028,4105.01032238864,-7462.090176167312,-8099.728697921302
2025-04,1124344.05194995,1066757.7570405572,971322.8903103238,960062.4268539054,974742.0734927541,958307.4109204874,960270.3159281592,966607.73392779,968524.7220825874,967781.0680700561,958307.4109204874,973083.6266012805,959875.8012692704,164073.7360217907,106487.44111239791,11052.574382164583,-207.88907425374418,-1962.9050076718613,164468.25068067957,106881.95577128677,11447.089041053456,186.6255846351287,-1568.3903487829884
2025-05,1160585.4300086207,1159264.2783873102,1018486.8658030627,999689.442866488,1017754.2034732528,997805.5826914336,1003655.7807645391,1010167.9179545215,986582.9025577285,999645.0415860739,997941.6880742894,1047249.6453991277,1029287.4423774981,156929.64924408164,155608.49762277104,14831.085038523564,-3966.3378980511316,-5714.09269024975,131297.98763112264,129976.83600981205,-10800.576574435438,-29597.999511010134,-31345.754303208752
2025-06,1713557.6427231247,1686778.3702477552,1540979.387376441,1517544.33048037,1590868.5415132127,1518162.6965633302,1557124.4660885818,1509602.5445312874,1554034.9152112452,1578125.8715884886,1518168.1212240064,1477441.5283042837,1459670.8059696513,156433.176634543,129653.90415917338,-16145.0787121408,-39580.13560821165,-38956.344864575236,253886.83675347333,227107.5642781037,81308.58140678953,57873.52451071868,58497.31525435509
2025-07,1729319.6586137174,1856533.0358747677,1605033.4056356794,1580017.1702560594,1605033.4056356794,1578883.732326323,1570900.8127797684,1604731.0162035788,1584415.1205617685,1588137.9434569166,1579052.4866998768,1729432.0966676874,1700992.628395637,158418.8458339491,285632.2230949995,34132.59285591116,9116.35747629124,8151.6739201087,28327.03021808032,155540.40747913066,-95959.22275995763,-120975.45813957756,-121940.1416957601
2025-08,1521160.398889044,1381904.1896577103,1304311.6174849782,1292223.8232858463,1335811.1684222405,1289804.8524732853,1310594.6888716347,1305871.1380035419,1288095.854869329,1327818.3793010078,1289968.211783756,1313903.5696864757,1294396.1493200986,210565.71001740938,71309.50078607567,-6283.071386656331,-18370.865585788328,-20626.47708787853,226764.2495689453,87508.04033761157,9915.468164879563,-2172.3260342524336,-4427.937536342637
2025-09,1570874.4089630824,1267726.0737223292,1179978.6873753427,1161486.8796492796,1175037.9232649766,1159365.2112032892,1155003.9732123306,1156162.0156947412,1191701.2247635396,1160535.9491810447,1160018.0191942728,1188018.0465792154,1162801.0057728698,415870.4357507518,112722.10050999856,24974.714163012104,6482.906436949059,5014.045981942192,408073.4031902126,104925.06794945934,17177.68160247288,-1314.1261235901657,-2782.9865785970323
2025-10,1450306.491060727,1224263.3633050036,1161709.3553653283,1142287.269985957,1145903.8367518792,1140367.8725816887,1131502.6673045887,1131525.0784333434,1125367.220324538,1131384.3728973195,1140400.9186491894,1153677.423151243,1135114.2180569458,318803.8237561384,92760.69600041493,30206.688060739503,10784.602681368324,8898.251344600645,315192.2730037813,89149.1452480578,26595.137308382382,7173.051929011202,5286.700592243524
2025-11,1536633.5835704342,1357722.8582229882,1290103.2995565562,1275793.4330104813,1264096.0978789781,1275678.3560749812,1252176.7216583847,1259730.0729485773,1269189.4009596722,1258208.5529299635,1275678.3560749812,1282380.1180059498,1271354.5674963181,284456.8619120495,105546.13656460358,37926.577898171374,23616.711352096576,23501.634416596495,265279.0160741161,86368.29072667021,18748.732060238002,4438.865514163204,4323.788578663123
2025-12,1943580.8314622466,1900998.8848506855,1772415.263125569,1761891.8575884823,1799087.9834855278,1761265.1705348133,1788008.9362938034,1745497.4309905686,1761226.5538263714,1788010.0695045996,1761265.1705348133,1761249.2941067545,1750738.347006156,155571.89516844318,112989.94855688221,-15593.673168234356,-26117.07870532105,-26743.76575898998,192842.4844560903,150260.53784452932,21676.916119412745,11153.51058232605,10526.823528657122
