date,interval_start,interval_end,grid_plan_kwh,planned_cost_yuan
2025-03-20,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0
2025-03-20,2025-03-20T12:00:00,2025-03-20T12:10:00,583.2403533333334,257.2673198553333
2025-03-20,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0
2025-03-20,2025-03-20T16:00:00,2025-03-20T16:10:00,455.90474000000006,377.078810454
2025-03-20,2025-03-20T18:00:00,2025-03-20T18:10:00,715.9001933333334,899.2422328460001
2025-03-20,2025-03-20T20:00:00,2025-03-20T20:10:00,0.0,0.0
2025-06-21,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0
2025-06-21,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0
2025-06-21,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0
2025-06-21,2025-06-21T16:00:00,2025-06-21T16:10:00,203.9542533333331,168.6905629319998
2025-06-21,2025-06-21T18:00:00,2025-06-21T18:10:00,85.48402000000135,107.3764775220017
2025-06-21,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0
2025-09-23,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0
2025-09-23,2025-09-23T12:00:00,2025-09-23T12:10:00,553.7526533333332,244.26029538533328
2025-09-23,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0
2025-09-23,2025-09-23T16:00:00,2025-09-23T16:10:00,587.2749433333335,485.73510563100007
2025-09-23,2025-09-23T18:00:00,2025-09-23T18:10:00,782.2787266666668,982.6203085660002
2025-09-23,2025-09-23T20:00:00,2025-09-23T20:10:00,0.0,0.0
2025-12-21,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0
2025-12-21,2025-12-21T12:00:00,2025-12-21T12:10:00,994.6667366666667,438.74749754366667
2025-12-21,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0
2025-12-21,2025-12-21T16:00:00,2025-12-21T16:10:00,811.7850966666664,671.4274534529998
2025-12-21,2025-12-21T18:00:00,2025-12-21T18:10:00,747.4162666666666,938.82957256
2025-12-21,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0
