date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,8018.481451133266,87.16430200937998
2025-03-20,4,1852.1318664111332,5053.1651928532165
2025-03-20,8,6291.457016666667,2777.3772166666668
2025-03-20,12,3431.0592787997693,358.75832982568215
2025-03-20,16,233.87575864455576,5474.152125778725
2025-03-20,20,618.5965146022343,2956.072081928929
2025-06-21,0,3006.2886864502343,0.0
2025-06-21,4,1513.9644210957465,1725.3805536500117
2025-06-21,8,4861.362099511633,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,0.0,4755.361533333334
2025-06-21,20,2492.851225944032,2485.896583333333
2025-09-23,0,9195.355188671834,8.769190633760331
2025-09-23,4,1335.336373280999,5886.870498910074
2025-09-23,8,5676.172419998765,1896.6157166666667
2025-09-23,12,4210.652512048036,525.3700149384837
2025-09-23,16,218.55468596167805,5686.810566633332
2025-09-23,20,1146.2100672244055,2889.7898631301155
2025-12-21,0,9067.305393683053,17.233948858870008
2025-12-21,4,1455.8412680025403,1362.652644212075
2025-12-21,8,6035.587755605484,6799.9018109284825
2025-12-21,12,6077.156665294814,2220.1094166666667
2025-12-21,16,70.60359979971403,5532.727632810782
2025-12-21,20,991.3745966061323,2842.5257666666666
