date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,selected_tau,selected_terminal
2025-02-01,48970.56829983539,25434.67841635632,0.0,0.0,25434.67841635632,19418.315560699586,14613.819309999999,9787.89611580247,5277.190984320985,4510.705131481484,7268.4231640740745,8507.330157592593,0.8,equal_initial
2025-02-02,94705.74918185185,60162.4741702048,0.0,0.0,60162.4741702048,22084.675748559675,17023.506860000005,11288.302343292176,11157.242213168722,131.06013012345488,8507.330157592593,9468.530709074072,0.8,equal_initial
2025-02-03,91616.60856641975,57824.907216030144,0.0,0.0,57824.907216030144,22779.482249876542,17793.720493333334,6413.93030987654,6413.93030987654,0.0,9468.530709074072,10199.264185814814,0.8,equal_initial
2025-02-04,93434.38827300411,58941.280048464265,0.0,0.0,58941.280048464265,23859.915986954733,18785.869716666668,7165.478052716043,7165.478052716043,0.0,10199.264185814814,10800.0,0.8,equal_initial
2025-02-05,94210.05441131687,59871.18658932247,0.0,0.0,59871.18658932247,22298.50897119342,18061.792266666667,9224.910723456787,9222.858223456788,2.052500000000123,10800.0,10800.0,0.8,equal_initial
2025-02-06,93805.92151333333,59550.43075106966,0.0,0.0,59550.43075106966,21539.978905349795,17447.382913333335,9442.268304650202,9440.867487983534,1.400816666666742,10800.0,10800.0,0.8,equal_initial
2025-02-07,46147.5399627572,23908.842891101405,0.0,0.0,23908.842891101405,18778.611337448558,15210.675183333333,10773.924141975309,5259.408719917692,5514.515422057616,10800.0,10800.0,0.8,equal_initial
2025-02-08,40229.17307333333,20872.441992759,0.0,0.0,20872.441992759,19247.566037037046,15590.528490000004,4994.972809629621,1902.368225514399,3092.6045841152227,10800.0,10800.0,0.8,equal_initial
2025-02-09,86386.95153333333,54139.305991845664,65.78819426666641,262.8238360953323,54402.129827941,24330.864743703707,19708.0004424,2274.4594596296233,2274.4594596296233,0.0,10800.0,10800.0,0.8,equal_initial
2025-02-10,89555.37377069959,56298.091938434925,0.0,0.0,56298.091938434925,20226.83764197532,16383.73849,11385.637035390935,10885.974002057601,499.6630333333336,10800.0,10800.0,0.8,equal_initial
2025-02-11,83085.29138045268,51763.26913786603,0.0,0.0,51763.26913786603,23370.827440329223,18930.370226666666,3424.2370334567827,3369.560701440326,54.67633201645708,10800.0,10800.0,0.8,equal_initial
2025-02-12,84442.90828769546,52747.509772411155,0.0,0.0,52747.509772411155,22363.70369958848,18114.599996666668,4927.068451440318,4763.6841681069845,163.38428333333331,10800.0,10800.0,0.8,equal_initial
2025-02-13,84715.62390534978,53091.47290227894,0.0,0.0,53091.47290227894,19950.339440329222,16159.774946666666,9595.580395020565,9036.942611687231,558.6377833333337,10800.0,10800.0,0.8,equal_initial
2025-02-14,37433.806723333335,19438.513168301666,0.0,0.0,19438.513168301666,20941.041637860082,16962.243726666664,3653.20699547325,935.576872386832,2717.6301230864183,10800.0,10800.0,0.8,equal_initial
2025-02-15,37761.664058199996,19687.268004999565,0.0,0.0,19687.268004999565,20392.146730617285,16517.638851800002,4607.065079382717,852.1198009876548,3754.945278395062,10800.0,10800.0,0.8,equal_initial
2025-02-16,83223.8155801,51727.850212302255,19.683666666666454,89.55084149999904,51817.401053802256,22599.56852251029,18305.650503233333,3572.2021274897074,3554.9958774897077,17.206249999999727,10800.0,10800.0,0.8,equal_initial
2025-02-17,84050.73922432098,52202.73917209212,0.0,0.0,52202.73917209212,19615.122650205765,15888.249346666666,9140.002754115216,8191.560470781881,948.442283333334,10800.0,10800.0,0.8,equal_initial
2025-02-18,80110.5902929,49491.499608792146,25.51533333333316,116.08200899999922,49607.58161779215,22078.968733045265,17883.96467376667,3849.713783621397,3743.99957168724,105.71421193415664,10800.0,10800.0,0.8,equal_initial
2025-02-19,80638.34970246913,49939.734116909305,52.403406666666456,233.19755989666578,50172.931676805965,23280.50521505869,18857.209224197537,3388.1297349413053,3252.1973849413052,135.93235000000004,10800.0,10800.0,0.8,equal_initial
2025-02-20,80621.43820991811,50186.0293187825,27.939433333333,130.86830573333177,50316.897624515834,20712.051505308646,16776.761719300004,5720.954123909462,5167.360223909463,553.5939000000001,10800.0,10800.0,0.8,equal_initial
2025-02-21,36731.62935333334,19033.444234840335,0.0,0.0,19033.444234840335,20272.878625514404,16421.031686666665,7319.520381152262,1429.4935039094637,5890.026877242799,10800.0,10800.0,0.8,equal_initial
2025-02-22,36716.53718666667,19039.855677916,0.0,0.0,19039.855677916,20471.866399176954,16582.211783333332,4982.119687489712,1106.9504076954713,3875.169279794241,10800.0,10800.0,0.8,equal_initial
2025-02-23,82060.71439522634,51040.81566809585,0.0,0.0,51040.81566809585,20889.385609053497,16920.40234333333,6559.877446172843,6071.558746172843,488.31870000000004,10800.0,10800.0,0.8,equal_initial
2025-02-24,79767.00022873333,49045.44707317308,16.17165666666631,75.74803982666499,49121.19511299975,20631.534497942394,16711.542943333337,7660.146714124273,6435.79333079094,1224.3533833333336,10800.0,10800.0,0.8,equal_initial
2025-02-25,77335.38722304527,47518.57391479817,29.374459999999885,128.94168163666617,47647.51559643484,21114.334481481477,17102.61093,7531.714898230461,6333.748531563793,1197.966366666667,10800.0,10800.0,0.8,equal_initial
2025-02-26,74689.53086337449,45832.318692799425,0.0,0.0,45832.318692799425,22263.26370781894,18033.243603333336,1644.6627255555459,1435.3040425102827,209.3586830452631,10800.0,10800.0,0.8,equal_initial
2025-02-27,77340.18745786666,47442.21146789733,502.2208819666637,2442.7184107699527,49884.92987866729,22906.054736831276,18553.904336833337,6533.673739835388,6020.355076502055,513.3186633333328,10800.0,10800.0,0.8,equal_initial
2025-02-28,35874.81371,18430.097697746336,0.0,0.0,18430.097697746336,20643.417909465014,16721.168506666665,8659.970757201654,1523.2631049382783,7136.707652263376,10800.0,10800.0,0.8,equal_initial
