policy,tau,terminal,days
P_B1,0.8,equal_initial,334
P_B1_floor,0.8,1200.0,334
P_floor,0.8,1200.0,334
S_joint,0.6,equal_initial,4
S_joint,0.7,1200.0,100
S_joint,0.7,equal_initial,47
S_joint,0.8,1200.0,139
S_joint,0.8,equal_initial,28
S_joint,0.9,1200.0,12
S_joint,0.9,equal_initial,4
S_no_inventory,0.6,1200.0,6
S_no_inventory,0.6,equal_initial,4
S_no_inventory,0.7,1200.0,165
S_no_inventory,0.7,equal_initial,18
S_no_inventory,0.8,1200.0,124
S_no_inventory,0.8,equal_initial,11
S_no_inventory,0.9,1200.0,5
S_no_inventory,0.9,equal_initial,1
S_tau,0.6,equal_initial,8
S_tau,0.7,equal_initial,183
S_tau,0.8,equal_initial,137
S_tau,0.9,equal_initial,6
S_terminal,0.8,1200.0,295
S_terminal,0.8,equal_initial,39
S_w14,0.5,1200.0,4
S_w14,0.5,equal_initial,11
S_w14,0.6,1200.0,30
S_w14,0.6,equal_initial,13
S_w14,0.7,1200.0,97
S_w14,0.7,equal_initial,43
S_w14,0.8,1200.0,65
S_w14,0.8,equal_initial,18
S_w14,0.9,1200.0,39
S_w14,0.9,equal_initial,14
S_w56,0.6,1200.0,1
S_w56,0.6,equal_initial,1
S_w56,0.7,1200.0,101
S_w56,0.7,equal_initial,51
S_w56,0.8,1200.0,115
S_w56,0.8,equal_initial,44
S_w56,0.9,1200.0,17
S_w56,0.9,equal_initial,4
