month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
2025-02,1136377.8843320017,151803.18653910546,1288181.070871107,25534.96220022854,1885936.7771873118,54050.43167813505,B0
2025-03,1018651.9644208234,276487.8603177722,1295139.8247385956,49613.18891513535,1728616.4317131285,32864.18535330867,B0
2025-04,836500.6244502033,287843.4274997467,1124344.05194995,51017.162702706635,1446717.5005807339,16997.529322979124,B0
2025-05,835007.7820375098,325577.6479711109,1160585.4300086207,57657.64220054797,1419687.4313311335,12876.253188241239,B0
2025-06,1117385.3011013556,596172.3416217691,1713557.6427231247,104055.36236436912,1843109.062502675,38212.54866595788,B0
2025-07,1304761.649938045,424558.0086756724,1729319.6586137174,75680.10391850659,2108987.444599497,46459.77731050576,B0
2025-08,1140962.2467783124,380198.1521107315,1521160.398889044,62687.417099486105,1832343.3265953243,25149.017487666682,B0
2025-09,955684.1956288969,615190.2133341855,1570874.4089630824,103395.02436973139,1576139.4518370884,41987.8780237967,B0
2025-10,975610.9092029216,474695.58185780543,1450306.491060727,82836.18540707558,1646189.2141868814,15806.161928353185,B0
2025-11,1139812.1083983812,396821.4751720529,1536633.5835704342,67151.7133505631,1883010.2348751132,9520.113901308267,B0
2025-12,1527076.9010929153,416503.93036933127,1943580.8314622466,72255.35916654726,2469193.522878594,36439.253214841025,B0
2025-02,1148866.9593852316,83468.4371991812,1232335.3965844128,13958.65309366666,1906676.1733776357,56132.79162705964,B1
2025-03,1042534.7472761851,201388.39562350468,1243923.1428996897,32104.059140888883,1766193.5676458536,44160.628181687214,B1
2025-04,860379.5024807085,206378.25455984857,1066757.7570405572,32216.308287345662,1483165.7177976228,26374.44072708314,B1
2025-05,842743.9664987866,316520.3118885235,1159264.2783873102,49658.596647769475,1436147.418330686,16283.21261978992,B1
2025-06,1124712.7147464287,562065.6555013264,1686778.3702477552,95147.76476555168,1857448.9148464284,45669.79537716048,B1
2025-07,1274714.2671029456,581818.7687718222,1856533.0358747677,104389.27763769371,2056239.9869270106,28147.2941373952,B1
2025-08,1174371.1056274993,207533.08403021103,1381904.1896577103,31238.421239999985,1877491.5083337803,25732.950775791258,B1
2025-09,1053889.5629500523,213836.51077227684,1267726.0737223292,34455.141787927954,1718168.0925382036,87128.90389970277,B1
2025-10,1046869.8776715468,177393.4856334569,1224263.3633050036,29398.641728999966,1747405.5889511337,45380.69887242794,B1
2025-11,1173523.4697626184,184199.3884603698,1357722.8582229882,30496.049580987637,1934550.1266631295,19481.3473880658,B1
2025-12,1521051.4030044496,379947.48184623604,1900998.8848506855,66786.67762976133,2460004.9902331275,26159.63749609048,B1
2025-02,1200946.2711582577,2399.049927748167,1203345.3210860058,522.0206828403311,1967687.5722590303,107145.92110172198,P_floor
2025-03,1104794.3580141054,33898.53624276279,1138692.8942568682,5249.146437312009,1850250.2928608258,88481.80843851784,P_floor
2025-04,925356.7243395223,32950.68658096506,958307.4109204874,5181.0502103933995,1583618.9084062977,65610.04627384261,P_floor
2025-05,949090.8034539935,48850.884620295816,997941.6880742894,8990.29448776564,1576061.1850780197,79087.9452148118,P_floor
2025-06,1303015.8426742624,215152.27854974414,1518168.1212240064,36456.515972468515,2084110.6726995895,199827.47042334292,P_floor
2025-07,1451937.6222128428,127114.86448703414,1579052.4866998768,23556.282114494803,2297952.761660361,166342.28414940802,P_floor
2025-08,1239347.8826246373,50620.32915911882,1289968.211783756,8054.200142496972,1980827.269069063,79312.24012441737,P_floor
2025-09,1091010.5112350744,69007.5079591985,1160018.0191942728,12118.794618739437,1760310.82278357,94054.94109299764,P_floor
2025-10,1128515.8949549603,11885.023694228996,1140400.9186491894,2148.52607393349,1853572.8413527403,102008.14951846642,P_floor
2025-11,1274693.4401686506,984.9159063306178,1275678.3560749812,205.69996543704372,2059223.4678301448,102894.40079720553,P_floor
2025-12,1692855.5948468596,68409.57568795388,1761265.1705348133,13606.822293699259,2696230.8763550846,202904.28784770035,P_floor
2025-02,1195886.60890425,5764.092647936919,1201650.701552187,1004.1628996854099,1944486.7908936313,86941.03511536866,X_strong_morning85
2025-03,1099020.3898489473,43209.256166408624,1142229.6460153558,6532.8554441074175,1824355.2850240811,67424.3733646358,X_strong_morning85
2025-04,919403.6184369045,49058.521525476855,968462.1399623813,7493.885603083174,1556770.7825540402,48346.24690547796,X_strong_morning85
2025-05,956591.0212556436,24424.934937924187,981015.9561935677,4570.9959549988735,1554918.5704335084,60189.83733953594,X_strong_morning85
2025-06,1299692.0211646135,216912.72017917363,1516604.7413437872,35965.98374372947,2039920.8829786682,161199.62721177854,X_strong_morning85
2025-07,1465556.5639747968,85160.97511813731,1550717.5390929342,16114.643190260875,2276325.7002678225,139688.89135664396,X_strong_morning85
2025-08,1239523.7051522208,51892.92721623067,1291416.6323684515,7934.697694236553,1955073.5674557816,60916.88870898949,X_strong_morning85
2025-09,1092911.4977585224,72353.42388808861,1165264.921646611,11949.12492190856,1736956.220223677,76875.67466790167,X_strong_morning85
